time,Utah,pts.away,score,pts.home,Denver
3:11.0,,,62-75,2,N. Jokic makes 2-pt shot from 10 ft (assist by W. Chandler)
2:54.0,Shooting foul by D. Arthur (drawn by T. Lyles),,62-75,,
2:54.0,T. Lyles makes free throw 1 of 3,1,63-75,,
2:54.0,T. Lyles misses free throw 2 of 3,,63-75,,
2:54.0,Offensive rebound by Team,,63-75,,
2:54.0,T. Lyles misses free throw 3 of 3,,63-75,,
2:52.0,,,63-75,,Defensive rebound by N. Jokic
2:46.0,,,63-75,,W. Barton misses 3-pt shot from 25 ft
2:45.0,,,63-75,,Offensive rebound by Team
2:45.0,Loose ball foul by B. Diaw (drawn by N. Jokic),,63-75,,
2:45.0,Technical foul by B. Diaw (drawn by N. Jokic),,63-75,,
2:45.0,,,63-76,1,W. Barton makes technical free throw
2:25.0,,,63-76,,Turnover by W. Chandler (traveling)
2:25.0,G. Hill enters the game for A. Burks,,63-76,,
2:01.0,S. Mack misses 2-pt shot from 3 ft (block by N. Jokic),,63-76,,
2:00.0,,,63-76,,Defensive rebound by D. Arthur
1:54.0,,,63-78,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Nelson)
1:37.0,Turnover by T. Lyles (bad pass; steal by W. Chandler),,63-78,,
1:31.0,,,63-78,,W. Barton misses 3-pt shot from 26 ft
1:28.0,Defensive rebound by S. Mack,,63-78,,
1:23.0,B. Diaw misses 2-pt shot from 20 ft,,63-78,,
1:22.0,,,63-78,,Defensive rebound by Team
1:22.0,,,63-78,,J. Murray enters the game for J. Nelson
1:22.0,D. Favors enters the game for T. Lyles,,63-78,,
1:05.0,,,63-80,2,D. Arthur makes 2-pt shot from 2 ft (assist by J. Murray)
0:49.0,G. Hill makes 2-pt shot from 18 ft,2,65-80,,
0:34.0,,,65-80,,W. Chandler misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by D. Favors,,65-80,,
0:24.0,G. Hill misses 2-pt shot from 12 ft,,65-80,,
