time,Utah,pts.away,score,pts.home,Atlanta
3:22.0,R. Gobert makes 2-pt shot from 12 ft (assist by A. Burks),2,111-89,,
3:00.0,,,111-91,2,D. Bembry makes 2-pt shot at rim (assist by M. Muscala)
2:44.0,T. Lyles makes 3-pt shot from 24 ft (assist by G. Hill),3,114-91,,
2:27.0,,,114-93,2,M. Scott makes 2-pt shot from 11 ft (assist by T. Waller-Prince)
2:10.0,T. Lyles makes 2-pt shot from 13 ft (assist by G. Hill),2,116-93,,
1:51.0,,,116-93,,L. Patterson misses 2-pt shot from 1 ft
1:50.0,Defensive rebound by T. Lyles,,116-93,,
1:37.0,T. Lyles misses 3-pt shot from 25 ft,,116-93,,
1:34.0,Offensive rebound by J. Johnson,,116-93,,
1:20.0,T. Lyles makes 2-pt shot at rim (assist by A. Burks),2,118-93,,
1:19.0,Personal take foul by G. Hill (drawn by L. Patterson),,118-93,,
1:19.0,,,118-94,1,L. Patterson makes free throw 1 of 2
1:19.0,,,118-95,1,L. Patterson makes free throw 2 of 2
1:19.0,S. Mack enters the game for R. Gobert,,118-93,,
1:19.0,D. Exum enters the game for G. Hill,,118-93,,
1:19.0,J. Withey enters the game for A. Burks,,118-93,,
1:19.0,R. Neto enters the game for J. Johnson,,118-93,,
1:04.0,Turnover by D. Exum (lost ball),,118-95,,
0:47.0,,,118-95,,L. Patterson misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by J. Withey,,118-95,,
0:24.0,D. Exum makes 2-pt shot from 5 ft,2,120-95,,
0:05.0,,,120-95,,L. Patterson misses 2-pt shot from 2 ft
0:04.0,Defensive rebound by J. Withey,,120-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
