time,Washington,pts.away,score,pts.home,Oklahoma City
5:35.0,Defensive rebound by M. Morris,,94-90,,
5:19.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Morris),3,97-90,,
5:08.0,,,97-90,,R. Westbrook misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by K. Oubre,,97-90,,
4:48.0,J. Wall misses 2-pt shot from 5 ft,,97-90,,
4:48.0,,,97-90,,Defensive rebound by Team
4:39.0,,,97-90,,Shooting foul by B. Beal (drawn by S. Adams)
4:39.0,,,97-90,,S. Adams misses free throw 1 of 2
4:39.0,,,97-90,,Offensive rebound by Team
4:39.0,,,97-90,,S. Adams misses free throw 2 of 2
4:39.0,Defensive rebound by B. Beal,,97-90,,
4:26.0,Shooting foul by J. Grant (drawn by M. Morris),,97-90,,
4:26.0,M. Morris misses free throw 1 of 2,,97-90,,
4:26.0,Offensive rebound by Team,,97-90,,
4:26.0,,,97-90,,Oklahoma City full timeout
4:26.0,M. Morris misses free throw 2 of 2,,97-90,,
4:26.0,,,97-90,,A. Morrow enters the game for S. Adams
4:26.0,,,97-90,,D. Sabonis enters the game for J. Grant
4:25.0,,,97-90,,Defensive rebound by R. Westbrook
4:06.0,,,97-90,,V. Oladipo misses 2-pt shot from 1 ft (block by M. Morris)
4:06.0,Defensive rebound by M. Morris,,97-90,,
3:47.0,J. Wall misses 2-pt shot from 16 ft,,97-90,,
3:47.0,,,97-90,,Defensive rebound by R. Westbrook
3:40.0,,,97-90,,R. Westbrook misses 2-pt shot from 14 ft
3:39.0,Defensive rebound by M. Morris,,97-90,,
3:37.0,Turnover by M. Morris (lost ball; steal by R. Westbrook),,97-90,,
3:33.0,,,97-90,,V. Oladipo misses 3-pt shot from 26 ft
3:32.0,,,97-90,,Offensive rebound by R. Westbrook
3:32.0,,,97-92,2,R. Westbrook makes 2-pt shot from 2 ft
3:10.0,Shooting foul by D. Sabonis (drawn by M. Morris),,97-92,,
3:10.0,M. Morris makes free throw 1 of 2,1,98-92,,
3:10.0,M. Morris makes free throw 2 of 2,1,99-92,,
3:03.0,,,99-95,3,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:02.0,Washington full timeout,,99-95,,
3:02.0,,,99-95,,J. Grant enters the game for D. Sabonis
3:02.0,,,99-95,,S. Christon enters the game for A. Morrow
2:45.0,O. Porter makes 2-pt shot from 4 ft (assist by J. Wall),2,101-95,,
2:26.0,,,101-98,3,V. Oladipo makes 3-pt shot from 25 ft (assist by J. Grant)
2:03.0,Turnover by B. Beal (lost ball; steal by S. Christon),,101-98,,
2:00.0,,,101-100,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
1:42.0,M. Morris makes 2-pt shot from 4 ft,2,103-100,,
1:36.0,,,103-102,2,R. Westbrook makes 2-pt shot from 2 ft
1:22.0,J. Wall makes 2-pt shot from 1 ft,2,105-102,,
1:14.0,,,105-102,,A. Morrow enters the game for A. Roberson
1:08.0,,,105-102,,R. Westbrook misses 2-pt shot from 2 ft
1:07.0,Defensive rebound by M. Morris,,105-102,,
0:45.0,J. Wall misses 2-pt shot from 12 ft,,105-102,,
0:42.0,Offensive rebound by J. Wall,,105-102,,
0:22.0,M. Morris misses 2-pt shot from 13 ft,,105-102,,
0:20.0,,,105-102,,Defensive rebound by R. Westbrook
0:18.0,,,105-102,,Oklahoma City full timeout
0:18.0,,,105-102,,S. Adams enters the game for S. Christon
0:09.0,,,105-105,3,R. Westbrook makes 3-pt shot from 25 ft
0:09.0,Washington full timeout,,105-105,,
0:09.0,,,105-105,,S. Christon enters the game for S. Adams
0:09.0,,,105-105,,A. Roberson enters the game for A. Morrow
0:00.0,O. Porter misses 2-pt shot from 13 ft,,105-105,,
0:00.0,Offensive rebound by Team,,105-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:46.0,,,105-105,,R. Westbrook misses 2-pt shot from 14 ft
4:45.0,,,105-105,,Offensive rebound by J. Grant
4:45.0,,,105-105,,Shooting foul by M. Morris (drawn by J. Grant)
4:45.0,,,105-106,1,J. Grant makes free throw 1 of 2
4:45.0,,,105-106,,J. Grant misses free throw 2 of 2
4:44.0,,,105-106,,Offensive rebound by R. Westbrook
4:43.0,,,105-108,2,R. Westbrook makes 2-pt shot from 1 ft
4:22.0,B. Beal misses 3-pt shot from 24 ft,,105-108,,
4:22.0,,,105-108,,Defensive rebound by V. Oladipo
4:11.0,Shooting block foul by B. Beal (drawn by R. Westbrook),,105-108,,
4:11.0,,,105-109,1,R. Westbrook makes free throw 1 of 2
4:11.0,,,105-110,1,R. Westbrook makes free throw 2 of 2
3:54.0,J. Wall misses 2-pt shot from 2 ft,,105-110,,
3:54.0,,,105-110,,Defensive rebound by J. Grant
3:48.0,,,105-113,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:48.0,Washington full timeout,,105-113,,
3:48.0,M. Gortat enters the game for K. Oubre,,105-113,,
3:31.0,Shooting foul by J. Grant (drawn by B. Beal),,105-113,,
3:31.0,B. Beal makes free throw 1 of 2,1,106-113,,
3:31.0,B. Beal makes free throw 2 of 2,1,107-113,,
3:31.0,,,106-113,,S. Adams enters the game for J. Grant
3:18.0,,,107-115,2,R. Westbrook makes 2-pt shot from 17 ft
3:08.0,B. Beal misses 3-pt shot from 25 ft,,107-115,,
3:08.0,,,107-115,,Defensive rebound by V. Oladipo
2:50.0,,,107-117,2,R. Westbrook makes 2-pt shot from 18 ft
2:35.0,M. Morris misses 2-pt shot from 7 ft,,107-117,,
2:34.0,,,107-117,,Defensive rebound by V. Oladipo
2:18.0,,,107-117,,Shooting foul by M. Morris (drawn by S. Adams)
2:18.0,,,107-117,,S. Adams misses free throw 1 of 2
2:18.0,,,107-117,,Offensive rebound by Team
2:18.0,,,107-118,1,S. Adams makes free throw 2 of 2
2:07.0,J. Wall misses 3-pt shot from 24 ft,,107-118,,
2:07.0,Offensive rebound by M. Gortat,,107-118,,
2:02.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Gortat),3,110-118,,
1:38.0,,,110-118,,R. Westbrook misses 3-pt shot from 27 ft
1:37.0,Defensive rebound by M. Gortat,,110-118,,
1:23.0,B. Beal makes 2-pt shot from 1 ft,2,112-118,,
1:17.0,,,112-118,,Oklahoma City full timeout
1:17.0,,,112-118,,J. Grant enters the game for S. Adams
1:03.0,,,112-120,2,R. Westbrook makes 2-pt shot from 16 ft
0:54.0,B. Beal misses 3-pt shot from 26 ft,,112-120,,
0:54.0,Offensive rebound by M. Gortat,,112-120,,
0:45.0,J. Wall makes 3-pt shot from 24 ft,3,115-120,,
0:33.0,Personal take foul by B. Beal (drawn by R. Westbrook),,115-120,,
0:33.0,,,115-121,1,R. Westbrook makes free throw 1 of 2
0:33.0,,,115-122,1,R. Westbrook makes free throw 2 of 2
0:33.0,Washington full timeout,,115-122,,
0:33.0,,,115-122,,S. Christon enters the game for A. Morrow
0:29.0,J. Wall misses 3-pt shot from 25 ft,,115-122,,
0:27.0,,,115-122,,Defensive rebound by V. Oladipo
0:23.0,,,115-122,,Shooting foul by B. Beal (drawn by J. Grant)
0:23.0,,,115-123,1,J. Grant makes free throw 1 of 2
0:23.0,,,115-124,1,J. Grant makes free throw 2 of 2
0:19.0,,,115-124,,Personal take foul by R. Westbrook (drawn by J. Wall)
0:15.0,B. Beal misses 3-pt shot from 25 ft,,115-124,,
0:14.0,,,115-124,,Defensive rebound by J. Grant
0:10.0,Personal take foul by M. Gortat (drawn by R. Westbrook),,115-124,,
0:10.0,,,115-125,1,R. Westbrook makes free throw 1 of 2
0:10.0,,,115-126,1,R. Westbrook makes free throw 2 of 2
0:01.0,B. Beal misses 3-pt shot from 24 ft,,115-126,,
0:00.0,Offensive rebound by Team,,115-126,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
