time,Sacramento,pts.away,score,pts.home,Miami
4:50.0,Turnover by D. Cousins (offensive foul),,78-82,,
4:39.0,,,78-82,,Shooting foul by T. Lawson (drawn by H. Whiteside)
4:39.0,,,78-83,1,H. Whiteside makes free throw 1 of 2
4:39.0,,,78-84,1,H. Whiteside makes free throw 2 of 2
4:23.0,R. Gay makes 2-pt shot from 7 ft,2,80-84,,
4:05.0,,,80-86,2,H. Whiteside makes 2-pt shot from 8 ft
4:05.0,,,80-86,,Shooting foul by D. Cousins (drawn by H. Whiteside)
4:05.0,,,80-86,,H. Whiteside misses free throw 1 of 1
4:04.0,Defensive rebound by R. Gay,,80-86,,
3:40.0,D. Cousins makes 2-pt shot from 16 ft,2,82-86,,
3:28.0,Personal block foul by G. Temple (drawn by G. Dragic),,82-86,,
3:28.0,,,82-87,1,G. Dragic makes free throw 1 of 2
3:28.0,,,82-87,,G. Dragic misses free throw 2 of 2
3:27.0,Defensive rebound by D. Cousins,,82-87,,
3:12.0,Sacramento full timeout,,82-87,,
3:06.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins),3,85-87,,
2:45.0,,,85-87,,Turnover by D. Waiters (bad pass; steal by R. Gay)
2:43.0,Shooting foul by J. Winslow (drawn by R. Gay),,85-87,,
2:43.0,R. Gay makes free throw 1 of 2,1,86-87,,
2:43.0,R. Gay makes free throw 2 of 2,1,87-87,,
2:30.0,,,87-87,,G. Dragic misses 2-pt shot from 19 ft
2:29.0,Defensive rebound by R. Gay,,87-87,,
2:12.0,R. Gay makes 2-pt shot from 19 ft,2,89-87,,
1:48.0,,,89-87,,J. Winslow misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by A. Afflalo,,89-87,,
1:24.0,D. Cousins misses 2-pt shot from 3 ft,,89-87,,
1:23.0,,,89-87,,Defensive rebound by H. Whiteside
1:20.0,,,89-87,,Turnover by H. Whiteside (bad pass; steal by A. Afflalo)
1:08.0,Turnover by D. Cousins (lost ball; steal by J. Winslow),,89-87,,
1:03.0,,,89-89,2,T. Johnson makes 2-pt shot from 2 ft (assist by J. Winslow)
0:48.0,D. Cousins makes 2-pt shot from 3 ft (assist by R. Gay),2,91-89,,
0:35.0,,,91-91,2,D. Waiters makes 2-pt shot from 20 ft
0:35.0,Sacramento full timeout,,91-91,,
0:31.0,Offensive foul by D. Cousins,,91-91,,
0:31.0,Turnover by D. Cousins (offensive foul),,91-91,,
0:31.0,,,91-91,,Miami full timeout
0:31.0,K. Koufos enters the game for D. Cousins,,91-91,,
0:11.0,,,91-91,,D. Waiters misses 2-pt shot from 22 ft
0:10.0,Defensive rebound by T. Lawson,,91-91,,
0:10.0,Sacramento full timeout,,91-91,,
0:01.0,R. Gay misses 3-pt shot from 25 ft,,91-91,,
0:00.0,Offensive rebound by Team,,91-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:34.0,,,91-91,,T. Johnson misses 2-pt shot from 21 ft
4:33.0,,,91-91,,Offensive rebound by Team
4:33.0,,,91-91,,Turnover by Team (shot clock)
4:19.0,A. Afflalo misses 2-pt shot from 15 ft,,91-91,,
4:18.0,,,91-91,,Defensive rebound by J. Winslow
4:06.0,,,91-94,3,G. Dragic makes 3-pt shot from 24 ft (assist by J. Winslow)
3:53.0,R. Gay makes 2-pt shot from 2 ft,2,93-94,,
3:53.0,Shooting foul by J. Winslow (drawn by R. Gay),,93-94,,
3:53.0,R. Gay makes free throw 1 of 1,1,94-94,,
3:41.0,,,94-96,2,J. Winslow makes 2-pt shot from 2 ft
3:18.0,T. Lawson misses 3-pt shot from 24 ft (block by T. Johnson),,94-96,,
3:17.0,Offensive rebound by Team,,94-96,,
3:14.0,R. Gay misses 2-pt shot from 2 ft,,94-96,,
3:13.0,,,94-96,,Defensive rebound by H. Whiteside
2:54.0,,,94-98,2,T. Johnson makes 2-pt shot from 8 ft (assist by G. Dragic)
2:54.0,Sacramento full timeout,,94-98,,
2:27.0,R. Gay misses 2-pt shot from 20 ft,,94-98,,
2:26.0,,,94-98,,Defensive rebound by G. Dragic
2:07.0,,,94-101,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Winslow)
1:46.0,G. Temple misses 2-pt shot from 20 ft,,94-101,,
1:45.0,,,94-101,,Defensive rebound by H. Whiteside
1:27.0,,,94-101,,Turnover by H. Whiteside (traveling)
1:20.0,Flagrant foul type 1 by A. Afflalo (drawn by T. Johnson),,94-101,,
1:20.0,Turnover by A. Afflalo (offensive foul),,94-101,,
1:20.0,,,94-102,1,T. Johnson makes flagrant free throw 1 of 2
1:20.0,,,94-103,1,T. Johnson makes flagrant free throw 2 of 2
1:06.0,,,94-103,,J. Winslow misses 2-pt shot from 1 ft
1:05.0,,,94-103,,Offensive rebound by H. Whiteside
1:04.0,,,94-105,2,H. Whiteside makes 2-pt shot at rim
0:51.0,A. Afflalo misses 2-pt shot from 12 ft (block by H. Whiteside),,94-105,,
0:51.0,,,94-105,,Defensive rebound by T. Johnson
0:30.0,,,94-105,,J. Winslow misses 2-pt shot from 1 ft (block by G. Temple)
0:29.0,Defensive rebound by T. Lawson,,94-105,,
0:29.0,Shooting foul by G. Dragic (drawn by A. Afflalo),,94-105,,
0:29.0,A. Afflalo makes free throw 1 of 2,1,95-105,,
0:29.0,A. Afflalo makes free throw 2 of 2,1,96-105,,
0:07.0,,,96-108,3,G. Dragic makes 3-pt shot from 25 ft
0:00.0,End of 1st overtime,,,,End of 1st overtime
