time,Atlanta,pts.away,score,pts.home,Dallas
3:34.0,Defensive rebound by M. Delaney,,90-76,,
3:17.0,D. Schroder misses 2-pt shot from 3 ft,,90-76,,
3:16.0,,,90-76,,Defensive rebound by D. Williams
3:09.0,,,90-76,,D. Williams misses 3-pt shot from 25 ft
3:08.0,,,90-76,,Offensive rebound by D. Williams
3:02.0,,,90-79,3,W. Matthews makes 3-pt shot from 26 ft (assist by D. Williams)
2:38.0,Shooting foul by H. Barnes (drawn by P. Millsap),,90-79,,
2:38.0,P. Millsap makes free throw 1 of 2,1,91-79,,
2:38.0,P. Millsap makes free throw 2 of 2,1,92-79,,
2:38.0,,,91-79,,N. Brussino enters the game for H. Barnes
2:38.0,,,91-79,,D. Finney-Smith enters the game for W. Matthews
2:38.0,,,91-79,,J. Anderson enters the game for D. Williams
2:27.0,,,92-79,,D. Finney-Smith misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by P. Millsap,,92-79,,
2:20.0,Atlanta full timeout,,92-79,,
2:20.0,,,92-79,,S. Mejri enters the game for D. Powell
2:20.0,T. Waller-Prince enters the game for P. Millsap,,92-79,,
2:20.0,K. Humphries enters the game for D. Schroder,,92-79,,
2:10.0,M. Delaney misses 2-pt shot from 18 ft,,92-79,,
2:08.0,,,92-79,,Defensive rebound by S. Mejri
1:56.0,,,92-82,3,J. Anderson makes 3-pt shot from 23 ft (assist by S. Curry)
1:40.0,M. Muscala makes 2-pt shot from 1 ft (assist by T. Hardaway),2,94-82,,
1:28.0,,,94-82,,S. Curry misses 2-pt shot from 12 ft
1:27.0,Defensive rebound by K. Humphries,,94-82,,
1:18.0,M. Muscala makes 3-pt shot from 25 ft (assist by T. Hardaway),3,97-82,,
0:56.0,,,97-82,,N. Brussino misses 3-pt shot from 29 ft
0:56.0,Defensive rebound by M. Delaney,,97-82,,
0:38.0,Turnover by M. Delaney (bad pass; steal by J. Anderson),,97-82,,
0:30.0,Personal foul by M. Delaney (drawn by J. Anderson),,97-82,,
0:28.0,,,97-82,,Turnover by N. Brussino (bad pass; steal by M. Muscala)
0:25.0,Turnover by K. Humphries (lost ball; steal by D. Finney-Smith),,97-82,,
0:13.0,,,97-82,,Turnover by S. Curry (bad pass; steal by T. Waller-Prince)
0:00.0,End of 4th quarter,,,,End of 4th quarter
