time,Chicago,pts.away,score,pts.home,LA Lakers
2:55.0,T. Gibson makes 2-pt shot from 6 ft,2,113-100,,
2:55.0,Shooting foul by J. Randle (drawn by T. Gibson),,113-100,,
2:55.0,Chicago full timeout,,113-100,,
2:55.0,T. Gibson misses free throw 1 of 1,,113-100,,
2:54.0,,,113-100,,Defensive rebound by J. Randle
2:42.0,,,113-102,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
2:26.0,Turnover by T. Gibson (bad pass; steal by L. Williams),,113-102,,
2:22.0,,,113-104,2,L. Williams makes 2-pt shot from 1 ft
2:06.0,N. Mirotic misses 3-pt shot from 22 ft,,113-104,,
2:04.0,Offensive rebound by J. Butler,,113-104,,
2:04.0,J. Butler makes 2-pt shot from 1 ft,2,115-104,,
1:54.0,,,115-104,,D. Russell misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by R. Rondo,,115-104,,
1:49.0,Turnover by I. Canaan (bad pass; steal by L. Williams),,115-104,,
1:39.0,,,115-107,3,N. Young makes 3-pt shot from 23 ft (assist by L. Deng)
1:19.0,N. Mirotic misses 3-pt shot from 25 ft,,115-107,,
1:18.0,,,115-107,,Defensive rebound by L. Deng
1:12.0,,,115-110,3,D. Russell makes 3-pt shot from 26 ft
1:12.0,Chicago full timeout,,115-110,,
1:09.0,J. Butler misses 2-pt shot from 1 ft,,115-110,,
1:08.0,Offensive rebound by J. Butler,,115-110,,
1:08.0,J. Butler misses 2-pt shot from 2 ft (block by J. Randle),,115-110,,
0:58.0,,,115-110,,Defensive rebound by N. Young
0:58.0,,,115-110,,N. Young misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by Team,,115-110,,
0:58.0,Chicago full timeout,,115-110,,
0:58.0,Turnover by Team (turnover),,115-110,,
0:58.0,,,115-110,,LA Lakers full timeout
0:50.0,,,115-110,,D. Russell misses 3-pt shot from 27 ft
0:48.0,Offensive rebound by J. Butler,,115-110,,
0:48.0,Jump ball: J. Butler vs. J. Randle (N. Mirotic gains possession),,,,Jump ball: J. Butler vs. J. Randle (N. Mirotic gains possession)
0:29.0,R. Rondo makes 2-pt shot from 4 ft (assist by J. Butler),2,117-110,,
0:29.0,,,117-110,,LA Lakers full timeout
0:25.0,,,117-110,,N. Young misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by N. Mirotic,,117-110,,
0:21.0,,,117-110,,Personal take foul by L. Deng (drawn by J. Butler)
0:20.0,,,117-110,,Personal take foul by L. Deng (drawn by J. Butler)
0:20.0,J. Butler makes free throw 1 of 2,1,118-110,,
0:20.0,J. Butler misses free throw 2 of 2,,118-110,,
0:18.0,,,118-110,,Defensive rebound by L. Deng
0:11.0,,,118-110,,D. Russell misses 3-pt shot from 29 ft
0:10.0,Defensive rebound by N. Mirotic,,118-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
