time,Phoenix,pts.away,score,pts.home,Toronto
5:27.0,P. Tucker misses free throw 2 of 2,,100-97,,
5:27.0,,,100-97,,L. Nogueira enters the game for C. Joseph
5:26.0,,,100-97,,Defensive rebound by J. Valanciunas
5:15.0,,,100-97,,K. Lowry misses 3-pt shot from 26 ft
5:14.0,Defensive rebound by D. Booker,,100-97,,
4:57.0,P. Tucker makes 2-pt shot from 7 ft,2,102-97,,
4:32.0,,,102-97,,D. Carroll misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by P. Tucker,,102-97,,
4:15.0,B. Knight misses 2-pt shot from 4 ft (block by J. Valanciunas),,102-97,,
4:13.0,,,102-97,,Defensive rebound by D. Carroll
4:09.0,,,102-97,,Shooting foul by D. Booker (drawn by D. Carroll)
4:09.0,,,102-97,,Technical foul by K. Lowry
4:09.0,E. Bledsoe makes technical free throw,1,103-97,,
4:09.0,,,103-98,1,D. Carroll makes free throw 1 of 2
4:09.0,,,103-99,1,D. Carroll makes free throw 2 of 2
4:09.0,T. Warren enters the game for D. Booker,,103-97,,
4:09.0,,,103-97,,C. Joseph enters the game for J. Valanciunas
3:58.0,E. Bledsoe makes 2-pt shot from 2 ft,2,105-99,,
3:40.0,Personal foul by P. Tucker (drawn by D. DeRozan),,105-99,,
3:40.0,,,105-100,1,D. DeRozan makes free throw 1 of 2
3:40.0,,,105-100,,D. DeRozan misses free throw 2 of 2
3:39.0,Defensive rebound by P. Tucker,,105-100,,
3:26.0,E. Bledsoe makes 2-pt shot from 11 ft,2,107-100,,
3:07.0,,,107-100,,K. Lowry misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by P. Tucker,,107-100,,
2:48.0,E. Bledsoe misses 3-pt shot from 26 ft,,107-100,,
2:48.0,,,107-100,,Defensive rebound by Team
2:48.0,Official timeout,,107-100,,
2:48.0,,,107-100,,T. Ross enters the game for D. Carroll
2:48.0,D. Booker enters the game for T. Warren,,107-100,,
2:31.0,,,107-100,,D. DeRozan misses 2-pt shot from 8 ft
2:31.0,Defensive rebound by T. Chandler,,107-100,,
2:08.0,P. Tucker misses 2-pt shot from 3 ft,,107-100,,
2:07.0,Offensive rebound by T. Chandler,,107-100,,
2:04.0,T. Chandler makes 2-pt shot at rim,2,109-100,,
1:53.0,,,109-100,,Turnover by C. Joseph (bad pass)
1:30.0,,,109-100,,Flagrant foul type 1 by K. Lowry (drawn by B. Knight)
1:30.0,B. Knight makes flagrant free throw 1 of 2,1,110-100,,
1:30.0,B. Knight makes flagrant free throw 2 of 2,1,111-100,,
1:30.0,,,109-100,,N. Powell enters the game for K. Lowry
1:30.0,,,109-100,,D. Carroll enters the game for D. DeRozan
1:12.0,E. Bledsoe makes 2-pt shot from 2 ft,2,113-100,,
0:51.0,,,113-100,,N. Powell misses 3-pt shot from 25 ft
0:50.0,,,113-100,,Offensive rebound by D. Carroll
0:48.0,,,113-100,,D. Carroll misses 2-pt shot from 3 ft
0:47.0,Defensive rebound by E. Bledsoe,,113-100,,
0:37.0,T. Chandler misses 2-pt shot from 3 ft (block by D. Carroll),,113-100,,
0:37.0,Offensive rebound by Team,,113-100,,
0:28.0,Shooting foul by C. Joseph (drawn by E. Bledsoe),,113-100,,
0:28.0,E. Bledsoe makes free throw 1 of 2,1,114-100,,
0:28.0,E. Bledsoe makes free throw 2 of 2,1,115-100,,
0:28.0,,,115-100,,Toronto full timeout
0:28.0,A. Williams enters the game for T. Chandler,,114-100,,
0:28.0,T. Ulis enters the game for D. Booker,,114-100,,
0:28.0,M. Chriss enters the game for P. Tucker,,114-100,,
0:28.0,A. Len enters the game for B. Knight,,114-100,,
0:28.0,T. Warren enters the game for E. Bledsoe,,115-100,,
0:18.0,,,115-103,3,N. Powell makes 3-pt shot from 25 ft (assist by T. Ross)
0:00.0,End of 4th quarter,,,,End of 4th quarter
