time,Memphis,pts.away,score,pts.home,Washington
3:11.0,Shooting foul by B. Beal (drawn by M. Conley),,89-97,,
3:11.0,M. Conley makes free throw 1 of 3,1,90-97,,
3:11.0,M. Conley makes free throw 2 of 3,1,91-97,,
3:11.0,M. Conley makes free throw 3 of 3,1,92-97,,
2:56.0,,,92-97,,J. Smith misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by J. Ennis,,92-97,,
2:36.0,M. Conley makes 3-pt shot from 28 ft (assist by M. Gasol),3,95-97,,
2:34.0,,,95-97,,Washington full timeout
2:34.0,,,95-97,,M. Morris enters the game for J. Smith
2:11.0,,,95-99,2,J. Wall makes 2-pt shot from 1 ft
1:52.0,Turnover by M. Conley (lost ball; steal by O. Porter),,95-99,,
1:45.0,,,95-101,2,J. Wall makes 2-pt shot from 2 ft
1:45.0,Memphis full timeout,,95-101,,
1:34.0,,,95-101,,Shooting block foul by M. Gortat (drawn by J. Green)
1:34.0,J. Green makes free throw 1 of 2,1,96-101,,
1:34.0,J. Green misses free throw 2 of 2,,96-101,,
1:33.0,,,96-101,,Defensive rebound by M. Gortat
1:13.0,,,96-101,,Offensive charge foul by J. Wall
1:13.0,,,96-101,,Turnover by J. Wall (offensive foul)
0:54.0,Turnover by M. Conley (lost ball; steal by M. Morris),,96-101,,
0:30.0,,,96-101,,J. Wall misses 3-pt shot from 29 ft
0:28.0,,,96-101,,Offensive rebound by M. Gortat
0:20.0,Personal take foul by M. Conley (drawn by J. Wall),,96-101,,
0:20.0,,,96-102,1,J. Wall makes free throw 1 of 2
0:20.0,,,96-103,1,J. Wall makes free throw 2 of 2
0:20.0,Memphis full timeout,,96-103,,
0:20.0,,,96-103,,K. Oubre enters the game for M. Gortat
0:17.0,Shooting foul by K. Oubre (drawn by M. Conley),,96-103,,
0:17.0,M. Conley misses free throw 1 of 3,,96-103,,
0:17.0,Offensive rebound by Team,,96-103,,
0:17.0,M. Conley makes free throw 2 of 3,1,97-103,,
0:17.0,M. Conley makes free throw 3 of 3,1,98-103,,
0:17.0,,,97-103,,M. Gortat enters the game for K. Oubre
0:15.0,Personal take foul by J. Green (drawn by B. Beal),,98-103,,
0:15.0,,,98-103,,B. Beal misses free throw 1 of 2
0:15.0,,,98-103,,Offensive rebound by Team
0:15.0,,,98-104,1,B. Beal makes free throw 2 of 2
0:15.0,Memphis full timeout,,98-104,,
0:15.0,,,98-103,,K. Oubre enters the game for M. Gortat
0:10.0,V. Carter makes 3-pt shot from 31 ft (assist by M. Gasol),3,101-104,,
0:09.0,,,101-104,,Official timeout
0:07.0,Jump ball: B. Beal vs. J. Ennis (M. Gasol gains possession),,,,Jump ball: B. Beal vs. J. Ennis (M. Gasol gains possession)
0:07.0,,,101-104,,Turnover by B. Beal (lost ball; steal by J. Ennis)
0:01.0,J. Ennis misses 3-pt shot from 25 ft,,101-104,,
0:00.0,Offensive rebound by Team,,101-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
