time,Oklahoma City,pts.away,score,pts.home,Brooklyn
6:29.0,R. Westbrook makes free throw 1 of 3,1,100-90,,
6:29.0,R. Westbrook makes free throw 2 of 3,1,101-90,,
6:29.0,R. Westbrook makes free throw 3 of 3,1,102-90,,
6:19.0,,,102-90,,Turnover by B. Lopez (bad pass)
6:07.0,A. Roberson misses 3-pt shot from 22 ft,,102-90,,
6:06.0,,,102-90,,Defensive rebound by R. Hollis-Jefferson
6:06.0,Personal foul by R. Westbrook (drawn by R. Hollis-Jefferson),,102-90,,
6:06.0,T. Gibson enters the game for D. Sabonis,,102-90,,
6:06.0,V. Oladipo enters the game for A. Abrines,,102-90,,
5:53.0,,,102-93,3,B. Lopez makes 3-pt shot from 27 ft (assist by J. Lin)
5:34.0,V. Oladipo makes 3-pt shot from 24 ft (assist by A. Roberson),3,105-93,,
5:34.0,,,105-93,,Brooklyn full timeout
5:34.0,,,105-93,,C. LeVert enters the game for R. Foye
5:34.0,,,105-93,,I. Whitehead enters the game for S. Dinwiddie
5:15.0,Personal foul by V. Oladipo (drawn by J. Lin),,105-93,,
5:12.0,,,105-93,,Shooting foul by A. Roberson (drawn by J. Lin)
5:12.0,,,105-94,1,J. Lin makes free throw 1 of 2
5:12.0,,,105-95,1,J. Lin makes free throw 2 of 2
5:00.0,A. Roberson misses 3-pt shot from 23 ft,,105-95,,
4:59.0,,,105-95,,Defensive rebound by B. Lopez
4:51.0,,,105-95,,B. Lopez misses 3-pt shot from 26 ft
4:50.0,Defensive rebound by R. Westbrook,,105-95,,
4:43.0,V. Oladipo misses 3-pt shot from 26 ft,,105-95,,
4:43.0,Offensive rebound by Team,,105-95,,
4:43.0,,,105-95,,Loose ball foul by J. Lin (drawn by A. Roberson)
4:43.0,A. Roberson misses free throw 1 of 2,,105-95,,
4:43.0,Offensive rebound by Team,,105-95,,
4:43.0,A. Roberson makes free throw 2 of 2,1,106-95,,
4:43.0,,,105-95,,Q. Acy enters the game for R. Hollis-Jefferson
4:41.0,Personal block foul by A. Roberson (drawn by J. Lin),,106-95,,
4:41.0,Oklahoma City full timeout,,106-95,,
4:41.0,,,106-96,1,J. Lin makes free throw 1 of 2
4:41.0,,,106-97,1,J. Lin makes free throw 2 of 2
4:41.0,A. Abrines enters the game for A. Roberson,,106-95,,
4:26.0,Shooting foul by I. Whitehead (drawn by R. Westbrook),,106-97,,
4:26.0,R. Westbrook makes free throw 1 of 2,1,107-97,,
4:26.0,R. Westbrook makes free throw 2 of 2,1,108-97,,
4:13.0,,,108-97,,C. LeVert misses 2-pt shot from 4 ft
4:11.0,Defensive rebound by T. Gibson,,108-97,,
3:55.0,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook),3,111-97,,
3:43.0,,,111-97,,Shooting foul by S. Adams (drawn by J. Lin)
3:43.0,,,111-98,1,J. Lin makes free throw 1 of 2
3:43.0,,,111-99,1,J. Lin makes free throw 2 of 2
3:25.0,T. Gibson makes 2-pt shot from 19 ft (assist by A. Abrines),2,113-99,,
3:17.0,,,113-102,3,J. Lin makes 3-pt shot from 30 ft
2:59.0,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook),2,115-102,,
2:49.0,,,115-102,,B. Lopez misses 2-pt shot from 10 ft
2:46.0,Defensive rebound by R. Westbrook,,115-102,,
2:29.0,T. Gibson makes 2-pt shot from 18 ft (assist by R. Westbrook),2,117-102,,
2:29.0,,,117-102,,Brooklyn full timeout
2:29.0,,,117-102,,S. Dinwiddie enters the game for C. LeVert
2:29.0,,,117-102,,K. McDaniels enters the game for B. Lopez
2:29.0,,,117-102,,A. Nicholson enters the game for J. Lin
2:29.0,,,117-102,,J. Hamilton enters the game for Q. Acy
2:16.0,,,117-102,,Shooting foul by S. Adams (drawn by I. Whitehead)
2:16.0,,,117-102,,I. Whitehead misses free throw 1 of 2
2:16.0,,,117-102,,Offensive rebound by Team
2:16.0,,,117-102,,I. Whitehead misses free throw 2 of 2
2:13.0,Defensive rebound by R. Westbrook,,117-102,,
1:59.0,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook),3,120-102,,
1:47.0,,,120-102,,A. Nicholson misses 3-pt shot from 27 ft
1:46.0,Defensive rebound by S. Adams,,120-102,,
1:41.0,Oklahoma City full timeout,,120-102,,
1:41.0,S. Christon enters the game for R. Westbrook,,120-102,,
1:28.0,T. Gibson misses 2-pt shot from 18 ft,,120-102,,
1:27.0,,,120-102,,Defensive rebound by A. Nicholson
1:14.0,,,120-104,2,A. Nicholson makes 2-pt shot from 3 ft (assist by I. Whitehead)
0:59.0,T. Gibson misses 2-pt shot from 10 ft,,120-104,,
0:57.0,Offensive rebound by T. Gibson,,120-104,,
0:55.0,T. Gibson misses 2-pt shot from 3 ft,,120-104,,
0:53.0,Offensive rebound by T. Gibson,,120-104,,
0:38.0,T. Gibson makes 2-pt shot from 20 ft (assist by S. Christon),2,122-104,,
0:25.0,,,122-104,,Turnover by S. Dinwiddie (bad pass; steal by S. Adams)
0:00.0,End of 4th quarter,,,,End of 4th quarter
