time,Charlotte,pts.away,score,pts.home,LA Lakers
0:52.0,Defensive rebound by F. Kaminsky,,103-98,,
0:34.0,K. Walker misses 3-pt shot from 25 ft,,103-98,,
0:33.0,Offensive rebound by N. Batum,,103-98,,
0:27.0,,,103-98,,Personal take foul by B. Ingram (drawn by F. Kaminsky)
0:27.0,F. Kaminsky makes free throw 1 of 2,1,104-98,,
0:27.0,F. Kaminsky makes free throw 2 of 2,1,105-98,,
0:27.0,,,105-98,,LA Lakers full timeout
0:21.0,,,105-101,3,D. Russell makes 3-pt shot from 25 ft (assist by J. Clarkson)
0:20.0,,,105-101,,Personal take foul by N. Young (drawn by K. Walker)
0:20.0,K. Walker makes free throw 1 of 2,1,106-101,,
0:20.0,K. Walker makes free throw 2 of 2,1,107-101,,
0:14.0,,,107-104,3,D. Russell makes 3-pt shot from 25 ft
0:13.0,Charlotte full timeout,,107-104,,
0:13.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,107-104,,
0:09.0,,,107-104,,Personal take foul by J. Clarkson (drawn by K. Walker)
0:09.0,K. Walker makes free throw 1 of 2,1,108-104,,
0:09.0,K. Walker makes free throw 2 of 2,1,109-104,,
0:09.0,,,109-104,,LA Lakers full timeout
0:09.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,108-104,,
0:05.0,,,109-104,,N. Young misses 2-pt shot from 16 ft
0:02.0,Defensive rebound by N. Batum,,109-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
