time,Golden State,pts.away,score,pts.home,New York
4:20.0,Defensive rebound by P. McCaw,,102-96,,
4:12.0,S. Curry misses 3-pt shot from 25 ft,,102-96,,
4:10.0,,,102-96,,Defensive rebound by K. Porzingis
4:06.0,,,102-98,2,D. Rose makes 2-pt shot from 2 ft
4:06.0,,,102-98,,Shooting foul by S. Curry (drawn by D. Rose)
4:06.0,,,102-99,1,D. Rose makes free throw 1 of 1
4:06.0,,,102-98,,C. Lee enters the game for L. Thomas
4:06.0,K. Thompson enters the game for Z. Pachulia,,102-98,,
3:53.0,,,102-99,,Violation by R. Baker (kicked ball)
3:40.0,P. McCaw makes 2-pt shot from 2 ft (assist by A. Iguodala),2,104-99,,
3:17.0,,,104-99,,Turnover by R. Baker (bad pass; steal by K. Thompson)
3:01.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,106-99,,
3:01.0,,,106-99,,New York full timeout
3:01.0,,,106-99,,L. Thomas enters the game for R. Baker
2:38.0,,,106-99,,D. Rose misses 2-pt shot from 5 ft
2:36.0,,,106-99,,Offensive rebound by K. Porzingis
2:36.0,,,106-101,2,K. Porzingis makes 2-pt shot at rim
2:10.0,K. Thompson makes 2-pt shot from 20 ft (assist by A. Iguodala),2,108-101,,
1:48.0,,,108-101,,Turnover by K. Porzingis (lost ball; steal by D. Green)
1:40.0,K. Thompson misses 3-pt shot from 23 ft,,108-101,,
1:39.0,,,108-101,,Defensive rebound by D. Rose
1:33.0,,,108-101,,Turnover by D. Rose (bad pass; steal by S. Curry)
1:09.0,S. Curry makes 2-pt shot from 22 ft,2,110-101,,
1:09.0,,,110-101,,New York full timeout
1:04.0,,,110-103,2,K. Porzingis makes 2-pt shot from 4 ft (assist by D. Rose)
0:47.0,K. Thompson misses 3-pt shot from 24 ft,,110-103,,
0:45.0,,,110-103,,Defensive rebound by L. Thomas
0:40.0,,,110-105,2,D. Rose makes 2-pt shot from 2 ft
0:30.0,,,110-105,,Personal foul by C. Lee (drawn by S. Curry)
0:30.0,S. Curry makes free throw 1 of 2,1,111-105,,
0:30.0,S. Curry makes free throw 2 of 2,1,112-105,,
0:30.0,,,112-105,,New York full timeout
0:30.0,,,112-105,,J. Holiday enters the game for L. Thomas
0:19.0,,,112-105,,K. Porzingis misses 2-pt shot from 4 ft
0:18.0,,,112-105,,Offensive rebound by K. Porzingis
0:18.0,,,112-105,,K. Porzingis misses 2-pt shot from 4 ft
0:16.0,,,112-105,,Offensive rebound by C. Anthony
0:14.0,,,112-105,,C. Lee misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by D. Green,,112-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
