time,Charlotte,pts.away,score,pts.home,San Antonio
4:36.0,,,80-96,3,D. Bertans makes 3-pt shot from 27 ft (assist by L. Aldridge)
4:20.0,R. Sessions misses 2-pt shot from 11 ft (block by M. Ginobili),,80-96,,
4:19.0,Offensive rebound by C. Zeller,,80-96,,
4:14.0,C. Zeller misses 2-pt shot from 2 ft (block by L. Aldridge),,80-96,,
4:13.0,,,80-96,,Defensive rebound by D. Bertans
4:06.0,,,80-98,2,L. Aldridge makes 2-pt shot from 18 ft (assist by M. Ginobili)
4:06.0,J. Lamb enters the game for M. Kidd-Gilchrist,,80-98,,
4:06.0,B. Roberts enters the game for M. Williams,,80-98,,
4:06.0,F. Kaminsky enters the game for K. Walker,,80-98,,
4:06.0,T. Graham enters the game for R. Sessions,,80-98,,
4:06.0,,,80-98,,K. Anderson enters the game for T. Parker
4:06.0,,,80-98,,D. Murray enters the game for D. Bertans
3:53.0,Turnover by C. Zeller (bad pass; steal by M. Ginobili),,80-98,,
3:41.0,,,80-98,,D. Murray misses 2-pt shot from 8 ft
3:40.0,,,80-98,,Offensive rebound by L. Aldridge
3:38.0,,,80-100,2,L. Aldridge makes 2-pt shot from 2 ft
3:22.0,F. Kaminsky misses 3-pt shot from 26 ft,,80-100,,
3:21.0,,,80-100,,Defensive rebound by Team
3:21.0,,,80-100,,San Antonio full timeout
3:21.0,,,80-100,,J. Simmons enters the game for M. Ginobili
3:21.0,,,80-100,,D. Bertans enters the game for L. Aldridge
3:21.0,,,80-100,,D. Dedmon enters the game for K. Leonard
2:57.0,,,80-102,2,D. Dedmon makes 2-pt shot from 4 ft (assist by D. Murray)
2:36.0,Turnover by B. Roberts (lost ball; steal by J. Simmons),,80-102,,
2:24.0,,,80-102,,J. Simmons misses 3-pt shot from 24 ft
2:23.0,Defensive rebound by B. Roberts,,80-102,,
2:06.0,F. Kaminsky misses 3-pt shot from 27 ft,,80-102,,
2:05.0,,,80-102,,Defensive rebound by D. Dedmon
1:48.0,,,80-102,,Turnover by D. Murray (bad pass; steal by C. Zeller)
1:43.0,C. Zeller makes 2-pt shot at rim (assist by T. Graham),2,82-102,,
1:24.0,,,82-102,,J. Simmons misses 2-pt shot from 3 ft
1:22.0,Defensive rebound by C. Zeller,,82-102,,
1:13.0,J. Lamb misses 3-pt shot from 27 ft,,82-102,,
1:11.0,,,82-102,,Defensive rebound by D. Dedmon
0:52.0,,,82-102,,D. Murray misses 2-pt shot from 7 ft
0:49.0,Defensive rebound by J. Lamb,,82-102,,
0:43.0,Shooting foul by D. Dedmon (drawn by C. Zeller),,82-102,,
0:43.0,C. Zeller misses free throw 1 of 2,,82-102,,
0:43.0,Offensive rebound by Team,,82-102,,
0:43.0,C. Zeller makes free throw 2 of 2,1,83-102,,
0:22.0,,,83-102,,Turnover by K. Anderson (lost ball)
0:14.0,B. Roberts makes 2-pt shot from 19 ft,2,85-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
