time,Houston,pts.away,score,pts.home,Milwaukee
3:03.0,,,109-116,,M. Brogdon misses 2-pt shot from 6 ft
3:02.0,Defensive rebound by N. Hilario,,109-116,,
2:59.0,Shooting foul by G. Antetokounmpo (drawn by J. Harden),,109-116,,
2:59.0,Official timeout,,109-116,,
2:59.0,J. Harden makes free throw 1 of 2,1,110-116,,
2:59.0,J. Harden misses free throw 2 of 2,,110-116,,
2:59.0,E. Gordon enters the game for R. Anderson,,109-116,,
2:59.0,,,109-116,,M. Dellavedova enters the game for M. Brogdon
2:57.0,,,110-116,,Defensive rebound by G. Antetokounmpo
2:33.0,,,110-118,2,G. Monroe makes 2-pt shot from 4 ft
2:22.0,P. Beverley misses 3-pt shot from 23 ft,,110-118,,
2:21.0,,,110-118,,Defensive rebound by G. Antetokounmpo
2:02.0,,,110-118,,Shooting foul by J. Harden (drawn by G. Monroe)
2:02.0,,,110-119,1,G. Monroe makes free throw 1 of 2
2:02.0,,,110-120,1,G. Monroe makes free throw 2 of 2
1:42.0,N. Hilario makes 2-pt shot at rim (assist by E. Gordon),2,112-120,,
1:24.0,,,112-120,,Turnover by G. Monroe (bad pass)
1:19.0,Shooting foul by J. Parker (drawn by N. Hilario),,112-120,,
1:19.0,N. Hilario makes free throw 1 of 2,1,113-120,,
1:19.0,N. Hilario makes free throw 2 of 2,1,114-120,,
1:15.0,Personal foul by T. Ariza (drawn by G. Antetokounmpo),,114-120,,
1:15.0,,,114-121,1,G. Antetokounmpo makes free throw 1 of 2
1:15.0,,,114-122,1,G. Antetokounmpo makes free throw 2 of 2
1:06.0,J. Harden misses 2-pt shot from 1 ft,,114-122,,
1:04.0,,,114-122,,Defensive rebound by G. Monroe
0:53.0,Shooting block foul by P. Beverley (drawn by M. Dellavedova),,114-122,,
0:53.0,,,114-123,1,M. Dellavedova makes free throw 1 of 2
0:53.0,,,114-124,1,M. Dellavedova makes free throw 2 of 2
0:53.0,Houston full timeout,,114-124,,
0:53.0,,,114-124,,M. Brogdon enters the game for G. Monroe
0:49.0,E. Gordon misses 3-pt shot from 25 ft (block by G. Antetokounmpo),,114-124,,
0:48.0,Offensive rebound by N. Hilario,,114-124,,
0:44.0,Turnover by N. Hilario (bad pass; steal by J. Parker),,114-124,,
0:23.0,,,114-127,3,G. Antetokounmpo makes 3-pt shot from 26 ft
0:23.0,Houston full timeout,,114-127,,
0:18.0,Turnover by N. Hilario (bad pass; steal by T. Snell),,114-127,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
