time,Memphis,pts.away,score,pts.home,Brooklyn
1:07.0,,,110-97,,S. Kilpatrick misses 2-pt shot from 5 ft (block by M. Gasol)
1:06.0,,,110-97,,Offensive rebound by S. Kilpatrick
1:05.0,,,110-97,,S. Kilpatrick misses 2-pt shot from 4 ft
1:02.0,,,110-97,,Offensive rebound by Team
1:02.0,Personal foul by J. Ennis (drawn by R. Hollis-Jefferson),,110-97,,
1:02.0,,,110-98,1,R. Hollis-Jefferson makes free throw 1 of 2
1:02.0,,,110-99,1,R. Hollis-Jefferson makes free throw 2 of 2
1:02.0,V. Carter enters the game for B. Wright,,110-98,,
0:58.0,,,110-99,,Personal foul by R. Hollis-Jefferson (drawn by M. Conley)
0:58.0,M. Conley makes free throw 1 of 2,1,111-99,,
0:58.0,M. Conley makes free throw 2 of 2,1,112-99,,
0:58.0,J. Green enters the game for V. Carter,,111-99,,
0:58.0,,,111-99,,C. McCullough enters the game for B. Lopez
0:49.0,,,112-101,2,S. Kilpatrick makes 2-pt shot from 2 ft
0:27.0,T. Douglas misses 2-pt shot from 17 ft,,112-101,,
0:26.0,,,112-101,,Defensive rebound by S. Kilpatrick
0:18.0,,,112-103,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
0:00.0,End of 4th quarter,,,,End of 4th quarter
