time,Toronto,pts.away,score,pts.home,Portland
5:50.0,Shooting foul by M. Harkless (drawn by J. Valanciunas),,81-82,,
5:50.0,,,81-82,,Portland full timeout
5:50.0,J. Valanciunas makes free throw 1 of 2,1,82-82,,
5:50.0,J. Valanciunas makes free throw 2 of 2,1,83-82,,
5:35.0,,,83-82,,E. Turner misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by P. Patterson,,83-82,,
5:30.0,Shooting foul by C. McCollum (drawn by N. Powell),,83-82,,
5:30.0,N. Powell misses free throw 1 of 2,,83-82,,
5:30.0,Offensive rebound by Team,,83-82,,
5:30.0,N. Powell makes free throw 2 of 2,1,84-82,,
5:30.0,,,83-82,,A. Crabbe enters the game for E. Turner
5:21.0,,,84-82,,Turnover by M. Harkless (lost ball; steal by D. DeRozan)
5:03.0,D. DeRozan makes 2-pt shot from 14 ft,2,86-82,,
4:46.0,,,86-84,2,C. McCollum makes 2-pt shot from 1 ft
4:28.0,D. DeRozan misses 2-pt shot from 18 ft,,86-84,,
4:27.0,,,86-84,,Defensive rebound by A. Crabbe
4:15.0,,,86-84,,C. McCollum misses 2-pt shot from 14 ft
4:15.0,Defensive rebound by P. Patterson,,86-84,,
4:05.0,K. Lowry misses 3-pt shot from 25 ft,,86-84,,
4:03.0,Offensive rebound by P. Patterson,,86-84,,
3:48.0,D. DeRozan misses 2-pt shot from 10 ft,,86-84,,
3:46.0,Offensive rebound by J. Valanciunas,,86-84,,
3:46.0,J. Valanciunas misses 2-pt shot from 2 ft,,86-84,,
3:44.0,,,86-84,,Defensive rebound by M. Plumlee
3:36.0,,,86-84,,C. McCollum misses 2-pt shot from 17 ft
3:35.0,Defensive rebound by J. Valanciunas,,86-84,,
3:16.0,K. Lowry makes 3-pt shot from 25 ft,3,89-84,,
2:55.0,,,89-86,2,C. McCollum makes 2-pt shot from 16 ft
2:51.0,Toronto full timeout,,89-86,,
2:51.0,C. Joseph enters the game for J. Valanciunas,,89-86,,
2:51.0,L. Nogueira enters the game for N. Powell,,89-86,,
2:34.0,K. Lowry misses 3-pt shot from 25 ft,,89-86,,
2:34.0,,,89-86,,Defensive rebound by M. Plumlee
2:21.0,,,89-86,,M. Plumlee misses 2-pt shot at rim
2:19.0,Defensive rebound by C. Joseph,,89-86,,
2:10.0,C. Joseph makes 2-pt shot from 1 ft,2,91-86,,
2:10.0,,,91-86,,Violation by M. Plumlee (def goaltending)
1:54.0,,,91-86,,C. McCollum misses 2-pt shot from 19 ft
1:51.0,Defensive rebound by L. Nogueira,,91-86,,
1:30.0,C. Joseph misses 3-pt shot from 25 ft,,91-86,,
1:29.0,,,91-86,,Defensive rebound by M. Plumlee
1:20.0,,,91-86,,Turnover by C. McCollum (traveling)
0:55.0,K. Lowry misses 3-pt shot from 24 ft,,91-86,,
0:54.0,,,91-86,,Defensive rebound by A. Aminu
0:49.0,,,91-89,3,C. McCollum makes 3-pt shot from 24 ft (assist by A. Aminu)
0:25.0,D. DeRozan misses 3-pt shot from 29 ft,,91-89,,
0:23.0,Offensive rebound by D. DeRozan,,91-89,,
0:18.0,Toronto full timeout,,91-89,,
0:18.0,,,91-89,,E. Turner enters the game for M. Plumlee
0:16.0,,,91-89,,Personal take foul by A. Aminu (drawn by C. Joseph)
0:16.0,C. Joseph makes free throw 1 of 2,1,92-89,,
0:16.0,C. Joseph makes free throw 2 of 2,1,93-89,,
0:16.0,,,93-89,,Portland full timeout
0:11.0,,,93-89,,Shooting foul by K. Lowry (drawn by C. McCollum)
0:11.0,,,93-90,1,C. McCollum makes free throw 1 of 2
0:11.0,,,93-91,1,C. McCollum makes free throw 2 of 2
0:11.0,,,93-91,,Personal take foul by C. McCollum (drawn by D. DeRozan)
0:11.0,D. DeRozan makes free throw 1 of 2,1,94-91,,
0:11.0,D. DeRozan makes free throw 2 of 2,1,95-91,,
0:11.0,,,95-91,,Portland full timeout
0:11.0,,,95-91,,M. Plumlee enters the game for E. Turner
0:06.0,,,95-91,,C. McCollum misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by K. Lowry,,95-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
