time,Indiana,pts.away,score,pts.home,Boston
0:51.0,,,94-106,1,A. Horford makes free throw 1 of 2
0:51.0,,,94-107,1,A. Horford makes free throw 2 of 2
0:51.0,Indiana full timeout,,94-107,,
0:51.0,,,94-106,,J. Brown enters the game for I. Thomas
0:49.0,P. George makes 3-pt shot from 28 ft (assist by M. Ellis),3,97-107,,
0:45.0,Personal take foul by J. Teague (drawn by A. Bradley),,97-107,,
0:45.0,,,97-108,1,A. Bradley makes free throw 1 of 2
0:45.0,,,97-109,1,A. Bradley makes free throw 2 of 2
0:35.0,C. Miles misses 3-pt shot from 26 ft,,97-109,,
0:34.0,,,97-109,,Defensive rebound by J. Brown
0:11.0,,,97-109,,Turnover by Team (shot clock)
0:07.0,M. Turner makes 3-pt shot from 25 ft (assist by J. Teague),3,100-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
