time,Philadelphia,pts.away,score,pts.home,Portland
4:42.0,,,89-90,,J. Nurkic misses 2-pt shot from 2 ft
4:41.0,Defensive rebound by R. Covington,,89-90,,
4:31.0,J. Okafor misses 2-pt shot from 2 ft,,89-90,,
4:30.0,,,89-90,,Defensive rebound by A. Aminu
4:24.0,,,89-90,,C. McCollum misses 3-pt shot from 26 ft
4:21.0,Defensive rebound by S. Rodriguez,,89-90,,
4:00.0,N. Stauskas misses 3-pt shot from 25 ft,,89-90,,
3:59.0,,,89-90,,Defensive rebound by D. Lillard
3:53.0,Personal foul by S. Rodriguez (drawn by D. Lillard),,89-90,,
3:53.0,T. McConnell enters the game for S. Rodriguez,,89-90,,
3:53.0,G. Henderson enters the game for N. Stauskas,,89-90,,
3:53.0,R. Holmes enters the game for J. Okafor,,89-90,,
3:47.0,,,89-90,,Shooting foul by T. McConnell (drawn by D. Lillard)
3:47.0,,,89-91,1,D. Lillard makes free throw 1 of 2
3:47.0,,,89-92,1,D. Lillard makes free throw 2 of 2
3:32.0,R. Covington misses 2-pt shot from 3 ft (block by J. Nurkic),,89-92,,
3:30.0,,,89-92,,Defensive rebound by J. Nurkic
3:26.0,,,89-92,,Turnover by C. McCollum (step out of bounds)
3:11.0,D. Saric makes 2-pt shot from 3 ft,2,91-92,,
3:11.0,Shooting foul by J. Nurkic (drawn by D. Saric),,91-92,,
3:11.0,,,91-92,,Portland full timeout
3:11.0,D. Saric misses free throw 1 of 1,,91-92,,
3:09.0,,,91-92,,Defensive rebound by A. Aminu
2:55.0,Personal foul by G. Henderson (drawn by J. Nurkic),,91-92,,
2:55.0,,,91-93,1,J. Nurkic makes free throw 1 of 2
2:55.0,,,91-94,1,J. Nurkic makes free throw 2 of 2
2:38.0,G. Henderson makes 2-pt shot from 5 ft,2,93-94,,
2:20.0,,,93-94,,Turnover by A. Aminu (traveling)
2:02.0,R. Covington misses 2-pt shot from 7 ft,,93-94,,
2:01.0,,,93-94,,Defensive rebound by J. Nurkic
1:44.0,,,93-94,,A. Aminu misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by D. Saric,,93-94,,
1:31.0,T. McConnell misses 2-pt shot from 6 ft,,93-94,,
1:30.0,,,93-94,,Defensive rebound by M. Harkless
1:15.0,,,93-94,,D. Lillard misses 3-pt shot from 27 ft
1:15.0,Defensive rebound by R. Holmes,,93-94,,
0:56.0,Shooting foul by J. Nurkic (drawn by D. Saric),,93-94,,
0:56.0,,,93-94,,Violation by Team (jump ball)
0:56.0,D. Saric makes free throw 1 of 2,1,94-94,,
0:56.0,D. Saric makes free throw 2 of 2,1,95-94,,
0:56.0,,,94-94,,A. Crabbe enters the game for A. Aminu
0:54.0,,,95-94,,Portland full timeout
0:36.0,,,95-94,,A. Aminu enters the game for M. Harkless
0:34.0,,,95-94,,Shooting foul by R. Holmes (drawn by J. Nurkic)
0:34.0,,,95-94,,J. Nurkic misses free throw 1 of 2
0:34.0,,,95-94,,Offensive rebound by Team
0:34.0,,,95-95,1,J. Nurkic makes free throw 2 of 2
0:34.0,,,95-94,,M. Harkless enters the game for A. Crabbe
0:25.0,T. McConnell misses 2-pt shot from 18 ft,,95-95,,
0:24.0,,,95-95,,Defensive rebound by J. Nurkic
0:20.0,Personal take foul by R. Covington,,95-95,,
0:20.0,,,95-96,1,C. McCollum makes free throw 1 of 2
0:20.0,,,95-97,1,C. McCollum makes free throw 2 of 2
0:20.0,Philadelphia full timeout,,95-97,,
0:20.0,J. Okafor enters the game for R. Holmes,,95-97,,
0:15.0,Turnover by D. Saric (lost ball; steal by A. Aminu),,95-97,,
0:12.0,,,95-97,,Turnover by A. Aminu (bad pass)
0:12.0,Philadelphia full timeout,,95-97,,
0:12.0,R. Holmes enters the game for J. Okafor,,95-97,,
0:12.0,N. Stauskas enters the game for T. McConnell,,95-97,,
0:01.0,G. Henderson misses 2-pt shot from 14 ft,,95-97,,
0:00.0,Offensive rebound by R. Covington,,95-97,,
0:00.0,R. Covington makes 2-pt shot from 1 ft,2,97-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:42.0,,,97-97,,D. Lillard misses 2-pt shot from 14 ft
4:40.0,Defensive rebound by R. Covington,,97-97,,
4:24.0,R. Covington misses 3-pt shot from 25 ft,,97-97,,
4:24.0,,,97-97,,Defensive rebound by A. Aminu
4:14.0,,,97-97,,Shooting foul by J. Okafor (drawn by J. Nurkic)
4:14.0,,,97-98,1,J. Nurkic makes free throw 1 of 2
4:14.0,,,97-98,,J. Nurkic misses free throw 2 of 2
4:13.0,Defensive rebound by R. Covington,,97-98,,
4:01.0,D. Saric makes 2-pt shot from 7 ft,2,99-98,,
3:39.0,,,99-100,2,J. Nurkic makes 2-pt shot from 20 ft (assist by C. McCollum)
3:28.0,,,99-100,,Personal foul by A. Aminu (drawn by D. Saric)
3:16.0,R. Covington misses 2-pt shot from 3 ft (block by A. Aminu),,99-100,,
3:14.0,,,99-100,,Defensive rebound by M. Harkless
3:08.0,,,99-100,,C. McCollum misses 2-pt shot from 19 ft
3:07.0,,,99-100,,Offensive rebound by J. Nurkic
3:07.0,,,99-102,2,J. Nurkic makes 2-pt shot from 1 ft
2:58.0,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell),3,102-102,,
2:38.0,,,102-102,,C. McCollum misses 2-pt shot from 3 ft
2:36.0,,,102-102,,Offensive rebound by J. Nurkic
2:36.0,,,102-104,2,J. Nurkic makes 2-pt shot at rim
2:14.0,G. Henderson makes 2-pt shot from 19 ft,2,104-104,,
1:53.0,,,104-104,,Shooting foul by D. Saric (drawn by D. Lillard)
1:53.0,,,104-105,1,D. Lillard makes free throw 1 of 2
1:53.0,,,104-106,1,D. Lillard makes free throw 2 of 2
1:53.0,R. Holmes enters the game for J. Okafor,,104-105,,
1:35.0,Offensive foul by D. Saric,,104-106,,
1:35.0,Turnover by D. Saric (offensive foul),,104-106,,
1:18.0,,,104-108,2,D. Lillard makes 2-pt shot from 2 ft
1:18.0,Philadelphia full timeout,,104-108,,
0:59.0,,,104-108,,Shooting block foul by J. Nurkic (drawn by G. Henderson)
0:59.0,G. Henderson makes free throw 1 of 2,1,105-108,,
0:59.0,G. Henderson makes free throw 2 of 2,1,106-108,,
0:40.0,Personal foul by R. Holmes (drawn by D. Lillard),,106-108,,
0:40.0,,,106-109,1,D. Lillard makes free throw 1 of 2
0:40.0,,,106-110,1,D. Lillard makes free throw 2 of 2
0:40.0,Philadelphia full timeout,,106-110,,
0:39.0,Turnover by G. Henderson (bad pass),,106-110,,
0:39.0,,,106-110,,A. Crabbe enters the game for M. Harkless
0:21.0,,,106-112,2,A. Crabbe makes 2-pt shot from 7 ft
0:21.0,Philadelphia full timeout,,106-112,,
0:21.0,,,106-112,,M. Harkless enters the game for A. Crabbe
0:21.0,N. Stauskas enters the game for T. McConnell,,106-112,,
0:21.0,J. Okafor enters the game for R. Holmes,,106-112,,
0:20.0,Shooting foul by C. McCollum (drawn by G. Henderson),,106-112,,
0:20.0,G. Henderson misses free throw 1 of 3,,106-112,,
0:20.0,Offensive rebound by Team,,106-112,,
0:20.0,G. Henderson makes free throw 2 of 3,1,107-112,,
0:20.0,G. Henderson makes free throw 3 of 3,1,108-112,,
0:20.0,,,108-112,,Portland full timeout
0:20.0,,,108-112,,A. Crabbe enters the game for M. Harkless
0:20.0,R. Holmes enters the game for J. Okafor,,108-112,,
0:20.0,T. McConnell enters the game for N. Stauskas,,108-112,,
0:15.0,Personal take foul by G. Henderson,,108-112,,
0:15.0,,,108-113,1,C. McCollum makes free throw 1 of 2
0:15.0,,,108-114,1,C. McCollum makes free throw 2 of 2
0:15.0,,,108-113,,M. Harkless enters the game for A. Crabbe
0:09.0,R. Covington misses 3-pt shot from 30 ft,,108-114,,
0:08.0,Offensive rebound by R. Holmes,,108-114,,
0:02.0,R. Covington misses 2-pt shot from 2 ft,,108-114,,
0:01.0,,,108-114,,Defensive rebound by J. Nurkic
0:00.0,End of 1st overtime,,,,End of 1st overtime
