time,Washington,pts.away,score,pts.home,New York
0:52.0,,,109-108,,D. Rose misses 2-pt shot from 2 ft
0:50.0,,,109-108,,Offensive rebound by D. Rose
0:48.0,,,109-110,2,D. Rose makes 2-pt shot from 2 ft
0:33.0,Shooting foul by C. Anthony (drawn by J. Wall),,109-110,,
0:33.0,J. Wall makes free throw 1 of 2,1,110-110,,
0:33.0,J. Wall makes free throw 2 of 2,1,111-110,,
0:19.0,,,111-110,,C. Anthony misses 2-pt shot from 17 ft
0:17.0,Defensive rebound by J. Wall,,111-110,,
0:14.0,J. Wall makes 2-pt shot at rim,2,113-110,,
0:14.0,,,113-110,,New York full timeout
0:03.0,,,113-110,,Turnover by B. Jennings (lost ball; steal by J. Wall)
0:00.0,End of 4th quarter,,,,End of 4th quarter
