time,Sacramento,pts.away,score,pts.home,Washington
3:50.0,,,82-88,,O. Porter enters the game for K. Oubre
3:39.0,R. Gay makes 2-pt shot from 17 ft (assist by D. Cousins),2,84-88,,
3:27.0,,,84-88,,Offensive foul by M. Morris
3:27.0,,,84-88,,Turnover by M. Morris (offensive foul)
3:05.0,M. Barnes misses 3-pt shot from 27 ft,,84-88,,
3:04.0,,,84-88,,Defensive rebound by B. Beal
3:00.0,,,84-88,,Shooting foul by M. Barnes (drawn by B. Beal)
3:00.0,,,84-88,,B. Beal misses free throw 1 of 2
3:00.0,,,84-88,,Offensive rebound by Team
3:00.0,,,84-88,,B. Beal misses free throw 2 of 2
2:59.0,Defensive rebound by D. Cousins,,84-88,,
2:42.0,D. Cousins makes 2-pt shot from 1 ft (assist by M. Barnes),2,86-88,,
2:24.0,,,86-91,3,J. Wall makes 3-pt shot from 26 ft
1:56.0,D. Cousins makes 2-pt shot from 14 ft,2,88-91,,
1:43.0,,,88-91,,J. Wall misses 2-pt shot from 19 ft (block by D. Collison)
1:36.0,Defensive rebound by D. Collison,,88-91,,
1:30.0,D. Cousins misses 3-pt shot from 25 ft,,88-91,,
1:30.0,Offensive rebound by Team,,88-91,,
1:30.0,,,88-91,,Loose ball foul by J. Wall (drawn by D. Collison)
1:30.0,,,88-91,,Washington full timeout
1:12.0,D. Cousins misses 2-pt shot from 2 ft (block by M. Gortat),,88-91,,
1:12.0,,,88-91,,Defensive rebound by M. Gortat
1:12.0,Personal foul by D. Cousins (drawn by O. Porter),,88-91,,
0:45.0,,,88-91,,B. Beal misses 2-pt shot from 12 ft (block by D. Cousins)
0:43.0,Defensive rebound by D. Cousins,,88-91,,
0:34.0,D. Cousins makes 2-pt shot from 1 ft,2,90-91,,
0:14.0,,,90-91,,Shooting foul by R. Gay (drawn by M. Gortat)
0:14.0,,,90-91,,M. Gortat misses free throw 1 of 2
0:14.0,,,90-91,,Offensive rebound by Team
0:14.0,,,90-92,1,M. Gortat makes free throw 2 of 2
0:14.0,Sacramento full timeout,,90-92,,
0:11.0,D. Cousins makes 2-pt shot from 1 ft,2,92-92,,
0:10.0,,,92-92,,Washington full timeout
0:02.0,,,92-92,,J. Wall misses 2-pt shot from 18 ft
0:00.0,,,92-92,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:43.0,,,92-92,,M. Morris misses 2-pt shot from 6 ft
4:41.0,Defensive rebound by D. Cousins,,92-92,,
4:19.0,D. Collison misses 2-pt shot from 18 ft,,92-92,,
4:18.0,,,92-92,,Defensive rebound by M. Gortat
4:04.0,,,92-92,,M. Morris misses 2-pt shot from 5 ft
4:03.0,Defensive rebound by D. Cousins,,92-92,,
3:53.0,D. Cousins misses 3-pt shot from 27 ft,,92-92,,
3:51.0,,,92-92,,Defensive rebound by B. Beal
3:39.0,,,92-94,2,J. Wall makes 2-pt shot from 2 ft
3:25.0,R. Gay misses 2-pt shot from 20 ft,,92-94,,
3:23.0,,,92-94,,Defensive rebound by J. Wall
3:05.0,,,92-94,,Offensive foul by M. Morris
3:05.0,,,92-94,,Turnover by M. Morris (offensive foul)
3:05.0,M. Barnes enters the game for K. Koufos,,92-94,,
2:47.0,R. Gay misses 2-pt shot from 18 ft,,92-94,,
2:46.0,,,92-94,,Defensive rebound by B. Beal
2:46.0,Personal foul by D. Cousins (drawn by B. Beal),,92-94,,
2:33.0,,,92-94,,Turnover by J. Wall (step out of bounds)
2:18.0,R. Gay misses 3-pt shot from 22 ft,,92-94,,
2:17.0,,,92-94,,Defensive rebound by B. Beal
2:00.0,,,92-94,,B. Beal misses 3-pt shot from 26 ft
1:59.0,,,92-94,,Offensive rebound by M. Morris
1:57.0,,,92-97,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Morris)
1:57.0,Sacramento full timeout,,92-97,,
1:49.0,D. Cousins misses 2-pt shot from 15 ft,,92-97,,
1:49.0,,,92-97,,Defensive rebound by Team
1:30.0,,,92-97,,B. Beal misses 3-pt shot from 25 ft
1:28.0,,,92-97,,Offensive rebound by M. Morris
1:28.0,,,92-97,,M. Morris misses 2-pt shot from 1 ft
1:26.0,,,92-97,,Offensive rebound by O. Porter
1:18.0,,,92-97,,Washington full timeout
1:02.0,,,92-97,,O. Porter misses 2-pt shot from 22 ft (block by R. Gay)
1:02.0,,,92-97,,Offensive rebound by Team
1:02.0,,,92-97,,Turnover by Team (shot clock)
0:46.0,Turnover by D. Cousins (lost ball; steal by M. Morris),,92-97,,
0:32.0,,,92-97,,J. Wall misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by Team,,92-97,,
0:25.0,Shooting foul by M. Gortat (drawn by D. Cousins),,92-97,,
0:25.0,D. Cousins misses free throw 1 of 2,,92-97,,
0:25.0,Offensive rebound by Team,,92-97,,
0:25.0,D. Cousins misses free throw 2 of 2,,92-97,,
0:23.0,,,92-97,,Defensive rebound by O. Porter
0:23.0,Personal foul by D. Collison (drawn by O. Porter),,92-97,,
0:23.0,,,92-97,,Washington full timeout
0:23.0,,,92-97,,T. Burke enters the game for M. Gortat
0:23.0,T. Lawson enters the game for D. Cousins,,92-97,,
0:21.0,Personal take foul by D. Collison (drawn by J. Wall),,92-97,,
0:21.0,,,92-98,1,J. Wall makes free throw 1 of 2
0:21.0,,,92-99,1,J. Wall makes free throw 2 of 2
0:21.0,D. Cousins enters the game for T. Lawson,,92-98,,
0:17.0,R. Gay makes 3-pt shot from 25 ft (assist by G. Temple),3,95-99,,
0:13.0,Personal take foul by M. Barnes (drawn by J. Wall),,95-99,,
0:13.0,,,95-100,1,J. Wall makes free throw 1 of 2
0:13.0,,,95-101,1,J. Wall makes free throw 2 of 2
0:13.0,Sacramento full timeout,,95-101,,
0:13.0,,,95-101,,K. Oubre enters the game for T. Burke
0:09.0,D. Cousins misses 3-pt shot from 26 ft,,95-101,,
0:06.0,,,95-101,,Defensive rebound by J. Wall
0:00.0,End of 1st overtime,,,,End of 1st overtime
