time,Portland,pts.away,score,pts.home,Detroit
4:43.0,,,38-30,,Turnover by K. Caldwell-Pope (bad pass; steal by A. Aminu)
4:36.0,A. Aminu misses 2-pt shot from 1 ft,,38-30,,
4:36.0,,,38-30,,Defensive rebound by K. Caldwell-Pope
4:28.0,,,38-30,,M. Morris misses 3-pt shot from 26 ft
4:27.0,,,38-30,,Offensive rebound by M. Morris
4:21.0,,,38-32,2,T. Harris makes 2-pt shot at rim (assist by M. Morris)
4:01.0,J. Nurkic makes 2-pt shot from 19 ft (assist by D. Lillard),2,40-32,,
3:45.0,,,40-35,3,T. Harris makes 3-pt shot from 23 ft (assist by M. Morris)
3:29.0,A. Crabbe makes 2-pt shot from 18 ft (assist by D. Lillard),2,42-35,,
3:21.0,,,42-38,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
3:20.0,Portland full timeout,,42-38,,
3:20.0,C. McCollum enters the game for A. Crabbe,,42-38,,
3:03.0,J. Nurkic misses 2-pt shot from 2 ft,,42-38,,
3:03.0,Offensive rebound by J. Nurkic,,42-38,,
3:00.0,J. Nurkic makes 2-pt shot at rim,2,44-38,,
2:41.0,,,44-40,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:26.0,,,44-40,,Def 3 sec tech foul by T. Harris
2:26.0,,,44-40,,Detroit full timeout
2:26.0,D. Lillard makes technical free throw,1,45-40,,
2:26.0,,,44-40,,A. Baynes enters the game for A. Drummond
2:16.0,A. Aminu misses 3-pt shot from 26 ft,,45-40,,
2:16.0,,,45-40,,Defensive rebound by A. Baynes
2:05.0,,,45-42,2,R. Jackson makes 2-pt shot from 22 ft
1:38.0,C. McCollum misses 2-pt shot from 17 ft,,45-42,,
1:37.0,,,45-42,,Defensive rebound by A. Baynes
1:29.0,Personal foul by M. Harkless (drawn by T. Harris),,45-42,,
1:29.0,N. Vonleh enters the game for A. Aminu,,45-42,,
1:19.0,,,45-42,,M. Morris misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by N. Vonleh,,45-42,,
1:03.0,,,45-42,,Personal foul by A. Baynes (drawn by D. Lillard)
0:55.0,D. Lillard makes 2-pt shot from 1 ft,2,47-42,,
0:45.0,,,47-42,,R. Jackson misses 2-pt shot from 15 ft
0:44.0,Defensive rebound by D. Lillard,,47-42,,
0:36.0,D. Lillard makes 2-pt shot from 7 ft,2,49-42,,
0:23.0,,,49-44,2,A. Baynes makes 2-pt shot at rim (assist by M. Morris)
0:03.0,D. Lillard misses 3-pt shot from 28 ft,,49-44,,
0:01.0,Offensive rebound by M. Harkless,,49-44,,
0:01.0,Turnover by M. Harkless (step out of bounds),,49-44,,
0:00.0,,,49-44,,R. Jackson misses 3-pt shot from 64 ft
0:00.0,,,49-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Lillard makes 3-pt shot from 26 ft (assist by N. Vonleh),3,52-44,,
11:24.0,,,52-44,,J. Leuer misses 3-pt shot from 26 ft
11:24.0,,,52-44,,Offensive rebound by A. Drummond
11:15.0,,,52-46,2,A. Drummond makes 2-pt shot at rim
11:06.0,J. Nurkic makes 2-pt shot from 6 ft (assist by D. Lillard),2,54-46,,
10:55.0,,,54-46,,Shooting foul by D. Lillard (drawn by R. Jackson)
10:55.0,,,54-47,1,R. Jackson makes free throw 1 of 2
10:55.0,,,54-48,1,R. Jackson makes free throw 2 of 2
10:35.0,M. Harkless misses 2-pt shot from 5 ft,,54-48,,
10:35.0,Offensive rebound by J. Nurkic,,54-48,,
10:35.0,Shooting foul by R. Jackson (drawn by J. Nurkic),,54-48,,
10:35.0,J. Nurkic misses free throw 1 of 2,,54-48,,
10:35.0,Offensive rebound by Team,,54-48,,
10:35.0,J. Nurkic makes free throw 2 of 2,1,55-48,,
10:13.0,,,55-50,2,M. Morris makes 2-pt shot from 21 ft (assist by R. Jackson)
10:00.0,Turnover by D. Lillard (bad pass; steal by A. Drummond),,55-50,,
9:51.0,,,55-50,,R. Jackson misses 3-pt shot from 26 ft
9:51.0,Defensive rebound by C. McCollum,,55-50,,
9:45.0,Turnover by C. McCollum (bad pass; steal by K. Caldwell-Pope),,55-50,,
9:39.0,,,55-52,2,R. Jackson makes 2-pt shot at rim (assist by K. Caldwell-Pope)
9:20.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,57-52,,
