time,LA Lakers,pts.away,score,pts.home,Philadelphia
5:40.0,Turnover by T. Mozgov (3 sec),,89-77,,
5:32.0,,,89-80,3,N. Stauskas makes 3-pt shot from 25 ft (assist by R. Covington)
5:07.0,L. Deng makes 3-pt shot from 26 ft (assist by T. Mozgov),3,92-80,,
5:00.0,Violation by L. Williams (kicked ball),,92-80,,
4:51.0,,,92-80,,Turnover by R. Covington (bad pass)
4:28.0,Offensive foul by T. Mozgov,,92-80,,
4:28.0,Turnover by T. Mozgov (offensive foul),,92-80,,
4:28.0,D. Russell enters the game for L. Williams,,92-80,,
4:05.0,,,92-80,,N. Stauskas misses 2-pt shot from 17 ft
4:04.0,Defensive rebound by L. Nance,,92-80,,
4:02.0,,,92-80,,Personal foul by T. McConnell (drawn by J. Clarkson)
3:51.0,T. Mozgov makes 2-pt shot at rim (assist by L. Nance),2,94-80,,
3:50.0,,,94-80,,Philadelphia full timeout
3:40.0,,,94-82,2,R. Covington makes 2-pt shot at rim (assist by N. Stauskas)
3:19.0,L. Deng misses 3-pt shot from 26 ft,,94-82,,
3:17.0,Offensive rebound by L. Nance,,94-82,,
2:58.0,Offensive charge foul by L. Nance,,94-82,,
2:58.0,Turnover by L. Nance (offensive foul),,94-82,,
2:58.0,LA Lakers full timeout,,94-82,,
2:58.0,J. Randle enters the game for T. Mozgov,,94-82,,
2:49.0,,,94-82,,Shooting foul by D. Russell (drawn by N. Stauskas)
2:49.0,,,94-83,1,N. Stauskas makes free throw 1 of 2
2:49.0,,,94-84,1,N. Stauskas makes free throw 2 of 2
2:29.0,D. Russell misses 3-pt shot from 26 ft,,94-84,,
2:27.0,,,94-84,,Defensive rebound by J. Embiid
2:19.0,,,94-87,3,J. Embiid makes 3-pt shot from 28 ft (assist by T. McConnell)
1:56.0,Turnover by J. Randle (3 sec),,94-87,,
1:56.0,L. Williams enters the game for J. Clarkson,,94-87,,
1:47.0,,,94-87,,Turnover by T. McConnell (step out of bounds)
1:29.0,Turnover by D. Russell (lost ball),,94-87,,
1:17.0,,,94-87,,J. Embiid misses 2-pt shot from 13 ft
1:16.0,Defensive rebound by L. Nance,,94-87,,
0:55.0,J. Randle makes 2-pt shot from 11 ft (assist by L. Williams),2,96-87,,
0:55.0,,,96-87,,Philadelphia full timeout
0:55.0,,,96-87,,S. Rodriguez enters the game for T. McConnell
0:49.0,,,96-87,,Turnover by N. Stauskas (bad pass; steal by L. Williams)
0:26.0,,,96-87,,Personal foul by R. Covington (drawn by J. Randle)
0:26.0,J. Randle makes free throw 1 of 2,1,97-87,,
0:26.0,J. Randle makes free throw 2 of 2,1,98-87,,
0:09.0,,,98-87,,E. Ilyasova misses 3-pt shot from 25 ft
0:08.0,,,98-87,,Offensive rebound by R. Covington
0:08.0,,,98-89,2,R. Covington makes 2-pt shot at rim
0:08.0,,,98-89,,Personal foul by E. Ilyasova (drawn by J. Randle)
0:08.0,J. Randle makes free throw 1 of 2,1,99-89,,
0:08.0,J. Randle makes free throw 2 of 2,1,100-89,,
0:03.0,,,100-89,,J. Embiid misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by L. Deng,,100-89,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
