time,Orlando,pts.away,score,pts.home,Sacramento
2:48.0,,,107-109,,Turnover by D. Collison (lost ball)
2:48.0,Orlando full timeout,,107-109,,
2:38.0,E. Fournier makes 2-pt shot from 4 ft (assist by E. Payton),2,109-109,,
2:23.0,,,109-111,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
1:58.0,E. Payton misses 2-pt shot from 20 ft,,109-111,,
1:58.0,,,109-111,,Defensive rebound by B. Hield
1:34.0,,,109-111,,G. Temple misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by T. Ross,,109-111,,
1:18.0,N. Vucevic misses 2-pt shot from 12 ft,,109-111,,
1:17.0,,,109-111,,Defensive rebound by D. Collison
1:10.0,,,109-113,2,A. Tolliver makes 2-pt shot from 2 ft (assist by G. Temple)
1:10.0,Orlando full timeout,,109-113,,
0:58.0,A. Gordon makes 3-pt shot from 27 ft (assist by T. Ross),3,112-113,,
0:43.0,,,112-116,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Collison)
0:43.0,Orlando full timeout,,112-116,,
0:35.0,E. Fournier misses 3-pt shot from 24 ft,,112-116,,
0:34.0,,,112-116,,Defensive rebound by W. Cauley-Stein
0:30.0,Personal take foul by N. Vucevic (drawn by D. Collison),,112-116,,
0:30.0,,,112-116,,Sacramento full timeout
0:30.0,Away from play foul by E. Payton (drawn by B. Hield),,112-116,,
0:30.0,,,112-116,,B. Hield misses free throw 1 of 1
0:30.0,,,112-116,,Offensive rebound by Team
0:27.0,,,112-118,2,B. Hield makes 2-pt shot from 2 ft (assist by G. Temple)
0:08.0,E. Payton misses 3-pt shot from 27 ft,,112-118,,
0:07.0,Offensive rebound by N. Vucevic,,112-118,,
0:03.0,T. Ross makes 3-pt shot from 25 ft (assist by N. Vucevic),3,115-118,,
0:02.0,Personal foul by A. Gordon (drawn by D. Collison),,115-118,,
0:02.0,,,115-119,1,D. Collison makes free throw 1 of 2
0:02.0,,,115-120,1,D. Collison makes free throw 2 of 2
0:02.0,Orlando full timeout,,115-120,,
0:00.0,E. Fournier misses 3-pt shot from 25 ft,,115-120,,
0:00.0,Offensive rebound by Team,,115-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
