time,Portland,pts.away,score,pts.home,Houston
5:25.0,,,94-117,,M. Harrell misses 2-pt shot from 2 ft
5:24.0,,,94-117,,Offensive rebound by M. Harrell
5:23.0,,,94-119,2,M. Harrell makes 2-pt shot at rim
4:56.0,Shooting foul by J. Harden (drawn by N. Vonleh),,94-119,,
4:56.0,N. Vonleh makes free throw 1 of 2,1,95-119,,
4:56.0,N. Vonleh makes free throw 2 of 2,1,96-119,,
4:56.0,,,95-119,,B. Brown enters the game for T. Ariza
4:56.0,,,95-119,,T. Ennis enters the game for J. Harden
4:56.0,,,95-119,,K. McDaniels enters the game for C. Brewer
4:38.0,,,96-119,,M. Harrell misses 2-pt shot from 19 ft
4:37.0,Defensive rebound by J. Layman,,96-119,,
4:27.0,M. Leonard makes 3-pt shot from 23 ft (assist by S. Napier),3,99-119,,
4:14.0,,,99-119,,Turnover by M. Harrell (bad pass; steal by S. Napier)
4:08.0,S. Napier misses 3-pt shot from 26 ft,,99-119,,
4:06.0,,,99-119,,Defensive rebound by M. Harrell
3:58.0,,,99-119,,Turnover by B. Brown (lost ball; steal by S. Napier)
3:52.0,P. Connaughton makes 2-pt shot from 2 ft (assist by S. Napier),2,101-119,,
3:25.0,,,101-122,3,T. Ennis makes 3-pt shot from 26 ft (assist by M. Harrell)
2:59.0,N. Vonleh makes 2-pt shot from 18 ft (assist by S. Napier),2,103-122,,
2:42.0,,,103-124,2,B. Brown makes 2-pt shot from 20 ft (assist by S. Dekker)
2:29.0,S. Napier misses 3-pt shot from 26 ft,,103-124,,
2:29.0,,,103-124,,Defensive rebound by S. Dekker
2:20.0,,,103-124,,B. Brown misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by S. Napier,,103-124,,
2:07.0,M. Leonard makes 3-pt shot from 25 ft (assist by S. Napier),3,106-124,,
1:39.0,,,106-126,2,S. Dekker makes 2-pt shot from 22 ft
1:29.0,S. Napier misses 3-pt shot from 26 ft,,106-126,,
1:29.0,,,106-126,,Defensive rebound by K. McDaniels
1:19.0,,,106-126,,B. Brown misses 2-pt shot from 2 ft (block by N. Vonleh)
1:18.0,Defensive rebound by N. Vonleh,,106-126,,
1:15.0,,,106-126,,Personal foul by K. McDaniels (drawn by J. Layman)
1:15.0,Portland full timeout,,106-126,,
1:15.0,J. Layman makes free throw 1 of 3,1,107-126,,
1:15.0,J. Layman makes free throw 2 of 3,1,108-126,,
1:15.0,J. Layman makes free throw 3 of 3,1,109-126,,
1:00.0,,,109-126,,B. Brown misses 2-pt shot from 18 ft
1:00.0,Defensive rebound by P. Connaughton,,109-126,,
0:54.0,S. Napier misses 3-pt shot from 28 ft,,109-126,,
0:52.0,Offensive rebound by M. Leonard,,109-126,,
0:49.0,J. Layman misses 3-pt shot from 25 ft,,109-126,,
0:48.0,,,109-126,,Defensive rebound by B. Brown
0:27.0,,,109-126,,T. Ennis misses 2-pt shot from 8 ft
0:27.0,,,109-126,,Offensive rebound by M. Harrell
0:27.0,,,109-126,,M. Harrell misses 2-pt shot from 1 ft (block by N. Vonleh)
0:27.0,,,109-126,,Offensive rebound by Team
0:18.0,,,109-126,,M. Harrell misses 2-pt shot from 12 ft
0:17.0,Defensive rebound by N. Vonleh,,109-126,,
0:00.0,N. Vonleh misses 2-pt shot from 8 ft,,109-126,,
0:00.0,Offensive rebound by Team,,109-126,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
