time,Miami,pts.away,score,pts.home,Brooklyn
8:45.0,,,54-60,,Defensive rebound by Team
8:31.0,,,54-60,,R. Foye misses 2-pt shot from 5 ft
8:30.0,Defensive rebound by H. Whiteside,,54-60,,
8:15.0,R. McGruder misses 3-pt shot from 25 ft,,54-60,,
8:14.0,,,54-60,,Defensive rebound by B. Lopez
8:07.0,,,54-60,,Shooting foul by G. Dragic (drawn by B. Lopez)
8:07.0,,,54-62,2,B. Lopez makes 2-pt shot at rim (assist by S. Dinwiddie)
8:07.0,,,54-62,,B. Lopez misses free throw 1 of 1
8:06.0,,,54-62,,Offensive rebound by B. Lopez
8:03.0,,,54-62,,Turnover by B. Lopez (lost ball; steal by R. McGruder)
7:58.0,R. McGruder makes 2-pt shot at rim,2,56-62,,
7:55.0,,,56-65,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
7:55.0,Miami full timeout,,56-65,,
7:55.0,T. Johnson enters the game for W. Ellington,,56-65,,
7:55.0,J. Johnson enters the game for L. Babbitt,,56-65,,
7:41.0,G. Dragic misses 2-pt shot from 7 ft,,56-65,,
7:40.0,,,56-65,,Defensive rebound by S. Dinwiddie
7:35.0,,,56-65,,B. Bogdanovic misses 3-pt shot from 23 ft
7:33.0,,,56-65,,Offensive rebound by R. Hollis-Jefferson
7:24.0,,,56-67,2,B. Lopez makes 2-pt shot from 9 ft (assist by R. Hollis-Jefferson)
7:05.0,H. Whiteside makes 2-pt shot from 6 ft (assist by G. Dragic),2,58-67,,
6:44.0,,,58-67,,Brooklyn full timeout
6:44.0,W. Reed enters the game for H. Whiteside,,58-67,,
6:44.0,,,58-67,,Turnover by S. Dinwiddie (bad pass)
6:30.0,Turnover by T. Johnson (lost ball; steal by S. Dinwiddie),,58-67,,
6:20.0,,,58-67,,Turnover by R. Foye (bad pass)
6:05.0,T. Johnson misses 2-pt shot from 10 ft,,58-67,,
6:04.0,,,58-67,,Defensive rebound by B. Lopez
5:58.0,Personal foul by W. Reed (drawn by S. Dinwiddie),,58-67,,
5:58.0,,,58-67,,I. Whitehead enters the game for R. Hollis-Jefferson
5:58.0,O. White enters the game for W. Reed,,58-67,,
5:58.0,,,58-67,,T. Booker enters the game for S. Dinwiddie
5:51.0,,,58-67,,Turnover by B. Bogdanovic (bad pass; steal by J. Johnson)
5:48.0,Turnover by J. Johnson (step out of bounds),,58-67,,
5:26.0,,,58-67,,Turnover by I. Whitehead (bad pass; steal by T. Johnson)
5:17.0,T. Johnson makes 2-pt shot from 20 ft,2,60-67,,
5:06.0,Personal foul by G. Dragic (drawn by I. Whitehead),,60-67,,
5:06.0,,,60-67,,J. Harris enters the game for B. Bogdanovic
5:06.0,,,60-67,,S. Kilpatrick enters the game for R. Foye
