time,Minnesota,pts.away,score,pts.home,Cleveland
2:21.0,,,93-121,2,R. Jefferson makes 2-pt shot from 1 ft (assist by D. Liggins)
2:01.0,N. Bjelica makes 2-pt shot from 1 ft (assist by T. Jones),2,95-121,,
1:42.0,,,95-124,3,J. McRae makes 3-pt shot from 25 ft (assist by K. Felder)
1:23.0,S. Muhammad misses 2-pt shot from 10 ft,,95-124,,
1:23.0,Offensive rebound by Team,,95-124,,
1:12.0,N. Bjelica misses 3-pt shot from 25 ft,,95-124,,
1:11.0,Offensive rebound by S. Muhammad,,95-124,,
1:11.0,S. Muhammad makes 2-pt shot from 1 ft,2,97-124,,
0:55.0,,,97-124,,K. Felder misses 2-pt shot from 1 ft
0:53.0,Defensive rebound by A. Payne,,97-124,,
0:46.0,A. Payne misses 2-pt shot from 18 ft,,97-124,,
0:45.0,,,97-124,,Defensive rebound by D. Liggins
0:41.0,,,97-124,,Turnover by D. Liggins (bad pass; steal by A. Payne)
0:37.0,Turnover by T. Jones (lost ball; steal by J. McRae),,97-124,,
0:35.0,,,97-124,,Shooting foul by A. Payne (drawn by J. McRae)
0:35.0,,,97-124,,J. McRae misses free throw 1 of 2
0:35.0,,,97-124,,Offensive rebound by Team
0:35.0,,,97-125,1,J. McRae makes free throw 2 of 2
0:20.0,S. Muhammad misses 2-pt shot from 3 ft,,97-125,,
0:19.0,,,97-125,,Defensive rebound by J. McRae
0:00.0,End of 4th quarter,,,,End of 4th quarter
