time,Sacramento,pts.away,score,pts.home,Chicago
3:38.0,G. Temple enters the game for M. Barnes,,91-92,,
3:36.0,Defensive rebound by D. Cousins,,91-92,,
3:12.0,Turnover by T. Lawson (lost ball; steal by D. Wade),,91-92,,
3:08.0,,,91-92,,J. Butler misses 2-pt shot from 2 ft
3:08.0,,,91-92,,Offensive rebound by D. Wade
3:08.0,,,91-94,2,D. Wade makes 2-pt shot from 2 ft
3:08.0,,,91-94,,Shooting foul by K. Koufos (drawn by D. Wade)
3:08.0,,,91-95,1,D. Wade makes free throw 1 of 1
2:57.0,D. Cousins makes 3-pt shot from 25 ft (assist by T. Lawson),3,94-95,,
2:41.0,,,94-95,,P. Zipser misses 3-pt shot from 26 ft
2:38.0,,,94-95,,Offensive rebound by R. Lopez
2:29.0,,,94-95,,J. Butler misses 2-pt shot from 17 ft
2:28.0,Defensive rebound by D. Cousins,,94-95,,
2:13.0,D. Cousins makes 3-pt shot from 24 ft (assist by T. Lawson),3,97-95,,
1:53.0,,,97-97,2,D. Wade makes 2-pt shot from 20 ft (assist by R. Lopez)
1:39.0,D. Cousins misses 3-pt shot from 25 ft,,97-97,,
1:38.0,,,97-97,,Defensive rebound by P. Zipser
1:29.0,,,97-97,,D. Wade misses 2-pt shot from 21 ft
1:28.0,,,97-97,,Offensive rebound by Team
1:28.0,Sacramento full timeout,,97-97,,
1:08.0,,,97-97,,J. Butler misses 2-pt shot from 20 ft
1:07.0,Defensive rebound by D. Cousins,,97-97,,
0:52.0,D. Cousins makes 2-pt shot from 8 ft,2,99-97,,
0:52.0,,,99-97,,Chicago full timeout
0:46.0,,,99-97,,T. Gibson misses 2-pt shot from 3 ft
0:43.0,,,99-97,,Offensive rebound by P. Zipser
0:37.0,,,99-97,,J. Butler misses 2-pt shot from 3 ft
0:37.0,,,99-97,,Offensive rebound by R. Lopez
0:37.0,,,99-99,2,R. Lopez makes 2-pt shot from 2 ft
0:16.0,Turnover by G. Temple (lost ball; steal by D. Wade),,99-99,,
0:14.0,,,99-99,,Shooting foul by D. Cousins (drawn by D. Wade)
0:14.0,,,99-99,,D. Wade misses free throw 1 of 2
0:14.0,,,99-99,,Offensive rebound by Team
0:14.0,,,99-100,1,D. Wade makes free throw 2 of 2
0:14.0,Sacramento full timeout,,99-100,,
0:14.0,,,99-100,,M. Carter-Williams enters the game for R. Lopez
0:07.0,Turnover by D. Cousins (lost ball; steal by T. Gibson),,99-100,,
0:03.0,,,99-102,2,M. Carter-Williams makes 2-pt shot from 3 ft (assist by D. Wade)
0:00.0,G. Temple misses 3-pt shot from 41 ft,,99-102,,
0:00.0,Offensive rebound by Team,,99-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
