time,Houston,pts.away,score,pts.home,Miami
6:21.0,,,89-92,2,T. Johnson makes 2-pt shot at rim (assist by G. Dragic)
6:01.0,Turnover by C. Brewer (bad pass; steal by T. Johnson),,89-92,,
5:56.0,,,89-94,2,T. Johnson makes 2-pt shot at rim
5:43.0,Turnover by J. Harden (lost ball; steal by W. Ellington),,89-94,,
5:40.0,,,89-94,,Shooting foul by T. Ariza (drawn by G. Dragic)
5:40.0,Official timeout,,89-94,,
5:40.0,Technical foul by Team,,89-94,,
5:40.0,,,89-95,1,W. Ellington makes technical free throw
5:40.0,,,89-95,,G. Dragic misses free throw 1 of 2
5:40.0,,,89-95,,Offensive rebound by Team
5:40.0,,,89-96,1,G. Dragic makes free throw 2 of 2
5:24.0,J. Harden misses 3-pt shot from 25 ft,,89-96,,
5:23.0,Offensive rebound by N. Hilario,,89-96,,
5:19.0,J. Harden makes 2-pt shot from 2 ft (assist by P. Beverley),2,91-96,,
5:19.0,Shooting foul by H. Whiteside (drawn by J. Harden),,91-96,,
5:19.0,J. Harden misses free throw 1 of 1,,91-96,,
5:18.0,Offensive rebound by J. Harden,,91-96,,
5:06.0,J. Harden misses 3-pt shot from 26 ft,,91-96,,
5:05.0,,,91-96,,Defensive rebound by T. Johnson
4:46.0,,,91-99,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
4:31.0,Turnover by T. Ariza (lost ball),,91-99,,
4:18.0,Personal foul by J. Harden (drawn by G. Dragic),,91-99,,
4:04.0,,,91-99,,G. Dragic misses 3-pt shot from 24 ft
4:03.0,Defensive rebound by T. Ariza,,91-99,,
3:54.0,Shooting foul by H. Whiteside (drawn by N. Hilario),,91-99,,
3:54.0,N. Hilario makes free throw 1 of 2,1,92-99,,
3:54.0,N. Hilario misses free throw 2 of 2,,92-99,,
3:54.0,,,92-99,,J. Johnson enters the game for L. Babbitt
3:54.0,E. Gordon enters the game for C. Brewer,,92-99,,
3:53.0,,,92-99,,Defensive rebound by H. Whiteside
3:39.0,,,92-99,,Shooting foul by N. Hilario (drawn by H. Whiteside)
3:39.0,,,92-99,,H. Whiteside misses free throw 1 of 2
3:39.0,,,92-99,,Offensive rebound by Team
3:39.0,,,92-100,1,H. Whiteside makes free throw 2 of 2
3:30.0,E. Gordon misses 3-pt shot from 25 ft,,92-100,,
3:29.0,,,92-100,,Defensive rebound by H. Whiteside
3:15.0,,,92-100,,W. Ellington misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by P. Beverley,,92-100,,
3:05.0,J. Harden makes 2-pt shot from 6 ft,2,94-100,,
3:05.0,,,94-100,,Miami full timeout
2:45.0,,,94-100,,J. Johnson misses 2-pt shot from 6 ft
2:44.0,Defensive rebound by Team,,94-100,,
2:22.0,J. Harden misses 3-pt shot from 23 ft,,94-100,,
2:21.0,,,94-100,,Defensive rebound by G. Dragic
2:03.0,,,94-102,2,G. Dragic makes 2-pt shot from 1 ft
1:54.0,T. Ariza misses 3-pt shot from 25 ft,,94-102,,
1:53.0,,,94-102,,Defensive rebound by G. Dragic
1:41.0,,,94-105,3,W. Ellington makes 3-pt shot from 23 ft (assist by G. Dragic)
1:41.0,Houston full timeout,,94-105,,
1:41.0,M. Harrell enters the game for N. Hilario,,94-105,,
1:24.0,Turnover by E. Gordon (bad pass; steal by J. Johnson),,94-105,,
1:21.0,,,94-107,2,J. Johnson makes 2-pt shot at rim
1:13.0,T. Ariza misses 3-pt shot from 25 ft,,94-107,,
1:12.0,Offensive rebound by Team,,94-107,,
1:12.0,,,94-107,,Loose ball foul by G. Dragic (drawn by P. Beverley)
1:12.0,Technical foul by P. Beverley,,94-107,,
1:12.0,,,94-108,1,T. Johnson makes technical free throw
1:12.0,P. Beverley makes free throw 1 of 2,1,95-108,,
1:12.0,P. Beverley makes free throw 2 of 2,1,96-108,,
1:01.0,,,96-108,,Miami full timeout
1:01.0,S. Dekker enters the game for E. Gordon,,96-108,,
0:54.0,,,96-108,,Turnover by J. Johnson (traveling)
0:45.0,S. Dekker makes 2-pt shot from 2 ft,2,98-108,,
0:20.0,,,98-108,,G. Dragic misses 3-pt shot from 33 ft
0:19.0,Defensive rebound by J. Harden,,98-108,,
0:13.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,100-108,,
0:12.0,Personal foul by T. Ariza (drawn by T. Johnson),,100-108,,
0:12.0,,,100-108,,T. Johnson misses free throw 1 of 2
0:12.0,,,100-108,,Offensive rebound by Team
0:12.0,,,100-109,1,T. Johnson makes free throw 2 of 2
0:12.0,Houston full timeout,,100-109,,
0:08.0,J. Harden makes 3-pt shot from 27 ft (assist by T. Ariza),3,103-109,,
0:08.0,,,103-109,,Miami full timeout
0:08.0,,,103-109,,R. McGruder enters the game for H. Whiteside
0:05.0,Personal foul by T. Ariza (drawn by R. McGruder),,103-109,,
0:05.0,,,103-109,,R. McGruder misses free throw 1 of 2
0:05.0,,,103-109,,Offensive rebound by Team
0:05.0,,,103-109,,R. McGruder misses free throw 2 of 2
0:04.0,Defensive rebound by J. Harden,,103-109,,
0:04.0,Houston full timeout,,103-109,,
0:01.0,J. Harden misses 3-pt shot from 24 ft,,103-109,,
0:00.0,Offensive rebound by Team,,103-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
