time,Charlotte,pts.away,score,pts.home,Denver
1:54.0,K. Walker makes free throw 2 of 2,1,109-96,,
1:43.0,,,109-98,2,N. Jokic makes 2-pt shot at rim (assist by J. Nelson)
1:31.0,,,109-98,,Personal foul by W. Barton (drawn by C. Zeller)
1:31.0,C. Zeller misses free throw 1 of 2,,109-98,,
1:31.0,Offensive rebound by Team,,109-98,,
1:31.0,C. Zeller misses free throw 2 of 2,,109-98,,
1:29.0,,,109-98,,Defensive rebound by J. Murray
1:18.0,,,109-98,,J. Nelson misses 3-pt shot from 24 ft
1:18.0,,,109-98,,Offensive rebound by N. Jokic
1:18.0,,,109-98,,Shooting foul by C. Zeller (drawn by N. Jokic)
1:18.0,,,109-98,,N. Jokic misses free throw 1 of 2
1:18.0,,,109-98,,Offensive rebound by Team
1:18.0,,,109-98,,N. Jokic misses free throw 2 of 2
1:17.0,Defensive rebound by C. Zeller,,109-98,,
1:17.0,,,109-98,,Personal take foul by D. Gallinari (drawn by C. Zeller)
1:17.0,C. Zeller misses free throw 1 of 2,,109-98,,
1:17.0,Offensive rebound by Team,,109-98,,
1:17.0,C. Zeller makes free throw 2 of 2,1,110-98,,
1:17.0,,,110-98,,Denver full timeout
1:11.0,,,110-98,,W. Barton misses 2-pt shot from 6 ft
1:11.0,,,110-98,,Offensive rebound by N. Jokic
1:11.0,,,110-100,2,N. Jokic makes 2-pt shot from 1 ft
1:01.0,,,110-100,,Personal take foul by W. Barton (drawn by N. Batum)
1:01.0,N. Batum makes free throw 1 of 2,1,111-100,,
1:01.0,N. Batum makes free throw 2 of 2,1,112-100,,
0:47.0,,,112-100,,Turnover by N. Jokic (bad pass)
0:27.0,K. Walker misses 3-pt shot from 27 ft,,112-100,,
0:26.0,,,112-100,,Defensive rebound by N. Jokic
0:18.0,,,112-102,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
0:00.0,End of 4th quarter,,,,End of 4th quarter
