time,LA Clippers,pts.away,score,pts.home,Milwaukee
3:17.0,,,86-106,2,G. Antetokounmpo makes 2-pt shot at rim
2:53.0,W. Johnson makes 3-pt shot from 27 ft (assist by A. Rivers),3,89-106,,
2:52.0,,,89-106,,Milwaukee full timeout
2:52.0,J. Crawford enters the game for J. Redick,,89-106,,
2:52.0,,,89-106,,S. Hawes enters the game for G. Antetokounmpo
2:52.0,,,89-106,,M. Teletovic enters the game for G. Monroe
2:44.0,Personal foul by R. Felton (drawn by M. Dellavedova),,89-106,,
2:33.0,,,89-106,,S. Hawes misses 2-pt shot from 14 ft
2:31.0,Defensive rebound by A. Rivers,,89-106,,
2:23.0,J. Crawford makes 2-pt shot from 9 ft (assist by R. Felton),2,91-106,,
2:00.0,,,91-109,3,M. Teletovic makes 3-pt shot from 23 ft (assist by J. Terry)
1:45.0,R. Felton makes 2-pt shot from 16 ft,2,93-109,,
1:34.0,Personal foul by A. Rivers (drawn by S. Hawes),,93-109,,
1:34.0,,,93-109,,A. Toupane enters the game for J. Terry
1:34.0,,,93-109,,R. Vaughn enters the game for M. Dellavedova
1:19.0,,,93-109,,M. Teletovic misses 3-pt shot from 28 ft
1:18.0,Defensive rebound by R. Felton,,93-109,,
1:11.0,B. Bass makes 2-pt shot from 8 ft (assist by R. Felton),2,95-109,,
1:11.0,Shooting foul by M. Teletovic (drawn by B. Bass),,95-109,,
1:11.0,B. Bass makes free throw 1 of 1,1,96-109,,
0:55.0,,,96-112,3,M. Brogdon makes 3-pt shot from 26 ft (assist by S. Hawes)
0:46.0,W. Johnson misses 3-pt shot from 26 ft,,96-112,,
0:45.0,Offensive rebound by B. Bass,,96-112,,
0:41.0,J. Crawford makes 2-pt shot at rim (assist by B. Bass),2,98-112,,
0:14.0,,,98-112,,M. Teletovic misses 2-pt shot from 18 ft
0:13.0,Defensive rebound by B. Bass,,98-112,,
0:09.0,J. Crawford makes 3-pt shot from 27 ft,3,101-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
