time,Philadelphia,pts.away,score,pts.home,Minnesota
3:47.0,Defensive rebound by D. Saric,,76-104,,
3:37.0,R. Covington misses 2-pt shot from 3 ft,,76-104,,
3:35.0,,,76-104,,Defensive rebound by A. Wiggins
3:26.0,,,76-104,,G. Dieng misses 2-pt shot from 20 ft
3:25.0,Defensive rebound by T. McConnell,,76-104,,
3:18.0,D. Saric makes 3-pt shot from 24 ft (assist by T. McConnell),3,79-104,,
3:18.0,,,79-104,,Minnesota full timeout
3:18.0,R. Holmes enters the game for J. Okafor,,79-104,,
3:18.0,H. Thompson enters the game for R. Covington,,79-104,,
3:18.0,,,79-104,,T. Jones enters the game for Z. LaVine
3:18.0,,,79-104,,A. Payne enters the game for K. Towns
3:05.0,,,79-104,,A. Wiggins misses 3-pt shot from 24 ft
3:03.0,,,79-104,,Offensive rebound by T. Jones
2:48.0,,,79-104,,Turnover by G. Dieng (lost ball; steal by R. Holmes)
2:42.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,79-104,,
2:41.0,Offensive rebound by R. Holmes,,79-104,,
2:41.0,R. Holmes makes 2-pt shot from 1 ft,2,81-104,,
2:15.0,,,81-104,,K. Dunn misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by R. Holmes,,81-104,,
2:06.0,R. Holmes misses 3-pt shot from 24 ft,,81-104,,
2:06.0,,,81-104,,Defensive rebound by T. Jones
1:59.0,,,81-104,,G. Dieng misses 2-pt shot from 3 ft (block by R. Holmes)
1:58.0,Defensive rebound by T. McConnell,,81-104,,
1:52.0,R. Holmes makes 2-pt shot at rim (assist by D. Saric),2,83-104,,
1:44.0,,,83-106,2,A. Payne makes 2-pt shot at rim (assist by T. Jones)
1:30.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell),3,86-106,,
1:22.0,,,86-106,,Minnesota full timeout
1:22.0,,,86-106,,J. Lucas III enters the game for A. Wiggins
1:22.0,,,86-106,,N. Bjelica enters the game for G. Dieng
1:13.0,,,86-106,,Shooting foul by T. Luwawu-Cabarrot (drawn by T. Jones)
1:13.0,,,86-107,1,T. Jones makes free throw 1 of 2
1:13.0,,,86-108,1,T. Jones makes free throw 2 of 2
1:01.0,Turnover by R. Holmes (bad pass),,86-108,,
0:51.0,,,86-108,,Shooting foul by D. Saric (drawn by A. Payne)
0:51.0,,,86-109,1,A. Payne makes free throw 1 of 2
0:51.0,,,86-110,1,A. Payne makes free throw 2 of 2
0:34.0,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft (block by A. Payne),,86-110,,
0:32.0,Offensive rebound by T. Luwawu-Cabarrot,,86-110,,
0:29.0,Turnover by T. Luwawu-Cabarrot (step out of bounds),,86-110,,
0:05.0,,,86-110,,N. Bjelica misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by T. McConnell,,86-110,,
0:00.0,T. McConnell misses 2-pt shot from 22 ft,,86-110,,
0:00.0,Offensive rebound by Team,,86-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
