time,New York,pts.away,score,pts.home,LA Clippers
2:44.0,Shooting foul by R. Felton (drawn by C. Randle),,94-109,,
2:44.0,C. Randle makes free throw 1 of 1,1,95-109,,
2:33.0,Personal block foul by C. Randle (drawn by R. Felton),,95-109,,
2:24.0,,,95-109,,R. Felton misses 2-pt shot from 17 ft
2:19.0,Defensive rebound by M. Plumlee,,95-109,,
2:05.0,S. Vujacic makes 3-pt shot from 25 ft (assist by C. Randle),3,98-109,,
1:47.0,,,98-109,,W. Johnson misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by R. Baker,,98-109,,
1:33.0,R. Baker makes 3-pt shot from 25 ft (assist by M. Plumlee),3,101-109,,
1:11.0,,,101-109,,J. Crawford misses 2-pt shot from 4 ft
1:09.0,,,101-109,,Offensive rebound by B. Bass
1:09.0,Personal foul by R. Baker (drawn by J. Crawford),,101-109,,
1:09.0,,,101-110,1,J. Crawford makes free throw 1 of 2
1:09.0,,,101-111,1,J. Crawford makes free throw 2 of 2
1:09.0,New York full timeout,,101-111,,
1:05.0,S. Vujacic misses 3-pt shot from 26 ft,,101-111,,
1:04.0,Offensive rebound by C. Randle,,101-111,,
1:03.0,Shooting foul by A. Rivers (drawn by M. Plumlee),,101-111,,
1:03.0,M. Plumlee misses free throw 1 of 2,,101-111,,
1:03.0,Offensive rebound by Team,,101-111,,
1:03.0,M. Plumlee misses free throw 2 of 2,,101-111,,
1:02.0,,,101-111,,Defensive rebound by W. Johnson
0:44.0,,,101-111,,B. Bass misses 2-pt shot from 15 ft
0:42.0,Defensive rebound by K. Porzingis,,101-111,,
0:37.0,Shooting foul by A. Rivers (drawn by C. Randle),,101-111,,
0:37.0,C. Randle makes free throw 1 of 3,1,102-111,,
0:37.0,C. Randle misses free throw 2 of 3,,102-111,,
0:37.0,Offensive rebound by Team,,102-111,,
0:37.0,C. Randle makes free throw 3 of 3,1,103-111,,
0:36.0,,,103-111,,LA Clippers full timeout
0:35.0,Personal take foul by S. Vujacic (drawn by J. Crawford),,103-111,,
0:35.0,,,103-111,,J. Crawford misses free throw 1 of 2
0:35.0,,,103-111,,Offensive rebound by Team
0:35.0,,,103-112,1,J. Crawford makes free throw 2 of 2
0:22.0,C. Randle makes 2-pt shot from 2 ft (assist by M. Plumlee),2,105-112,,
0:16.0,Personal take foul by C. Randle (drawn by R. Felton),,105-112,,
0:16.0,,,105-113,1,R. Felton makes free throw 1 of 2
0:16.0,,,105-114,1,R. Felton makes free throw 2 of 2
0:07.0,S. Vujacic misses 3-pt shot from 25 ft,,105-114,,
0:05.0,,,105-114,,Defensive rebound by R. Felton
0:00.0,End of 4th quarter,,,,End of 4th quarter
