time,Phoenix,pts.away,score,pts.home,Philadelphia
8:46.0,M. Chriss misses 3-pt shot from 25 ft,,77-101,,
8:44.0,,,77-101,,Defensive rebound by H. Thompson
8:32.0,,,77-103,2,J. Embiid makes 2-pt shot from 17 ft (assist by T. McConnell)
8:20.0,,,77-103,,Personal foul by H. Thompson (drawn by A. Williams)
8:16.0,T. Ulis misses 2-pt shot from 17 ft,,77-103,,
8:15.0,,,77-103,,Defensive rebound by N. Stauskas
8:06.0,,,77-103,,D. Saric misses 3-pt shot from 28 ft
8:05.0,Defensive rebound by A. Williams,,77-103,,
7:45.0,D. Bender misses 3-pt shot from 25 ft,,77-103,,
7:44.0,Offensive rebound by A. Williams,,77-103,,
7:42.0,A. Williams makes 2-pt shot from 2 ft,2,79-103,,
7:28.0,Personal foul by A. Williams (drawn by J. Embiid),,79-103,,
7:28.0,,,79-103,,R. Holmes enters the game for J. Embiid
7:14.0,,,79-103,,Shooting foul by M. Chriss (drawn by D. Saric)
7:14.0,,,79-104,1,D. Saric makes free throw 1 of 2
7:14.0,,,79-105,1,D. Saric makes free throw 2 of 2
6:58.0,E. Bledsoe makes 2-pt shot from 8 ft,2,81-105,,
6:47.0,,,81-105,,R. Holmes misses 2-pt shot from 18 ft
6:46.0,Defensive rebound by Team,,81-105,,
6:46.0,D. Jones enters the game for E. Bledsoe,,81-105,,
6:35.0,Shooting foul by T. McConnell (drawn by T. Ulis),,81-105,,
6:35.0,T. Ulis makes free throw 1 of 2,1,82-105,,
6:35.0,T. Ulis makes free throw 2 of 2,1,83-105,,
6:35.0,,,83-105,,Philadelphia full timeout
6:27.0,,,83-105,,Turnover by T. McConnell (bad pass)
6:21.0,Turnover by M. Chriss (bad pass; steal by T. McConnell),,83-105,,
6:15.0,,,83-107,2,D. Saric makes 2-pt shot at rim (assist by T. McConnell)
6:03.0,,,83-107,,Personal foul by R. Holmes (drawn by A. Williams)
6:03.0,A. Williams misses free throw 1 of 2,,83-107,,
6:03.0,Offensive rebound by Team,,83-107,,
6:03.0,A. Williams makes free throw 2 of 2,1,84-107,,
5:40.0,,,84-110,3,N. Stauskas makes 3-pt shot from 24 ft
5:30.0,Turnover by D. Bender (traveling),,84-110,,
5:30.0,,,84-110,,S. Rodriguez enters the game for T. McConnell
5:11.0,,,84-113,3,H. Thompson makes 3-pt shot from 23 ft (assist by D. Saric)
4:56.0,T. Ulis makes 2-pt shot from 19 ft,2,86-113,,
4:37.0,,,86-113,,Shooting foul by T. Ulis (drawn by R. Holmes)
4:37.0,,,86-113,,Violation by Team (jump ball)
4:37.0,,,86-114,1,R. Holmes makes free throw 1 of 2
4:37.0,,,86-114,,R. Holmes misses free throw 2 of 2
4:37.0,,,86-114,,T. Luwawu-Cabarrot enters the game for N. Stauskas
4:36.0,Defensive rebound by A. Williams,,86-114,,
4:17.0,M. Chriss makes 3-pt shot from 24 ft (assist by T. Ulis),3,89-114,,
4:08.0,,,89-114,,Turnover by S. Rodriguez (bad pass; steal by A. Williams)
4:05.0,A. Williams makes 2-pt shot at rim,2,91-114,,
4:05.0,,,91-114,,Philadelphia full timeout
4:05.0,J. Jenkins enters the game for D. Jones,,91-114,,
3:42.0,,,91-114,,H. Thompson misses 2-pt shot from 16 ft
3:41.0,Defensive rebound by A. Williams,,91-114,,
3:23.0,J. Jenkins misses 2-pt shot from 20 ft,,91-114,,
3:22.0,,,91-114,,Defensive rebound by S. Rodriguez
3:08.0,,,91-114,,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft (block by D. Bender)
3:07.0,Defensive rebound by T. Ulis,,91-114,,
3:01.0,M. Chriss makes 3-pt shot from 24 ft (assist by T. Ulis),3,94-114,,
2:52.0,,,94-116,2,R. Holmes makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot)
2:16.0,T. Ulis makes 2-pt shot from 13 ft,2,96-116,,
2:09.0,,,96-116,,S. Rodriguez misses 2-pt shot from 21 ft
2:08.0,Defensive rebound by A. Williams,,96-116,,
2:00.0,Shooting foul by R. Holmes (drawn by A. Williams),,96-116,,
2:00.0,A. Williams misses free throw 1 of 2,,96-116,,
2:00.0,Offensive rebound by Team,,96-116,,
2:00.0,A. Williams makes free throw 2 of 2,1,97-116,,
1:51.0,,,97-116,,H. Thompson misses 3-pt shot from 26 ft
1:50.0,Defensive rebound by J. Jenkins,,97-116,,
1:45.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Jenkins),,97-116,,
1:45.0,J. Jenkins makes free throw 1 of 2,1,98-116,,
1:45.0,J. Jenkins makes free throw 2 of 2,1,99-116,,
1:38.0,,,99-116,,T. Luwawu-Cabarrot misses 2-pt shot at rim (block by A. Williams)
1:37.0,Defensive rebound by Team,,99-116,,
1:29.0,T. Ulis misses 2-pt shot from 15 ft,,99-116,,
1:28.0,,,99-116,,Defensive rebound by D. Saric
1:21.0,,,99-116,,Turnover by S. Rodriguez (bad pass; steal by A. Williams)
1:18.0,A. Williams makes 2-pt shot from 1 ft,2,101-116,,
0:59.0,,,101-116,,Turnover by H. Thompson (bad pass; steal by T. Ulis)
0:55.0,D. Bender makes 2-pt shot from 1 ft (assist by T. Ulis),2,103-116,,
0:55.0,Shooting foul by D. Saric (drawn by D. Bender),,103-116,,
0:55.0,D. Bender misses free throw 1 of 1,,103-116,,
0:55.0,,,103-116,,Defensive rebound by R. Holmes
0:44.0,,,103-118,2,H. Thompson makes 2-pt shot at rim (assist by R. Holmes)
0:40.0,M. Chriss misses 3-pt shot from 26 ft,,103-118,,
0:39.0,,,103-118,,Defensive rebound by D. Saric
0:25.0,,,103-120,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by S. Rodriguez)
0:12.0,M. Chriss misses 3-pt shot from 25 ft,,103-120,,
0:11.0,Offensive rebound by A. Williams,,103-120,,
0:08.0,A. Williams makes 2-pt shot from 9 ft,2,105-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
