time,Boston,pts.away,score,pts.home,Indiana
5:27.0,Defensive rebound by K. Olynyk,,35-38,,
5:12.0,I. Thomas misses 2-pt shot from 6 ft,,35-38,,
5:11.0,,,35-38,,Defensive rebound by M. Turner
5:06.0,,,35-40,2,J. Teague makes 2-pt shot from 3 ft
4:43.0,K. Olynyk misses 2-pt shot from 16 ft,,35-40,,
4:42.0,,,35-40,,Defensive rebound by M. Ellis
4:40.0,,,35-40,,Shooting foul by I. Thomas (drawn by T. Young)
4:40.0,,,35-40,,T. Young misses free throw 1 of 2
4:40.0,,,35-40,,Offensive rebound by Team
4:40.0,,,35-40,,T. Young misses free throw 2 of 2
4:40.0,A. Bradley enters the game for I. Thomas,,35-40,,
4:40.0,T. Rozier enters the game for M. Smart,,35-40,,
4:39.0,,,35-40,,Offensive rebound by T. Young
4:32.0,,,35-43,3,M. Ellis makes 3-pt shot from 25 ft (assist by J. Teague)
4:17.0,T. Rozier misses 3-pt shot from 25 ft,,35-43,,
4:15.0,Offensive rebound by A. Johnson,,35-43,,
4:12.0,T. Rozier misses 3-pt shot from 24 ft,,35-43,,
4:11.0,,,35-43,,Defensive rebound by M. Ellis
4:08.0,,,35-43,,Turnover by M. Ellis (bad pass)
4:08.0,Boston full timeout,,35-43,,
4:08.0,J. Jerebko enters the game for T. Rozier,,35-43,,
4:08.0,T. Rozier enters the game for A. Johnson,,35-43,,
3:54.0,K. Olynyk misses 3-pt shot from 25 ft,,35-43,,
3:53.0,Offensive rebound by A. Bradley,,35-43,,
3:49.0,A. Bradley misses 3-pt shot from 25 ft,,35-43,,
3:49.0,,,35-43,,Defensive rebound by M. Turner
3:33.0,,,35-43,,Shooting foul by K. Olynyk (drawn by M. Turner)
3:33.0,,,35-44,1,M. Turner makes free throw 1 of 2
3:33.0,,,35-45,1,M. Turner makes free throw 2 of 2
3:33.0,M. Smart enters the game for J. Young,,35-44,,
3:18.0,M. Smart misses 2-pt shot from 5 ft (block by C. Miles),,35-45,,
3:17.0,,,35-45,,Defensive rebound by J. Teague
3:01.0,,,35-45,,J. Teague misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by A. Bradley,,35-45,,
2:53.0,T. Rozier makes 3-pt shot from 24 ft (assist by A. Bradley),3,38-45,,
2:35.0,,,38-45,,C. Miles misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by M. Smart,,38-45,,
2:25.0,K. Olynyk makes 3-pt shot from 25 ft (assist by A. Bradley),3,41-45,,
2:08.0,,,41-45,,M. Ellis misses 2-pt shot from 18 ft
2:07.0,Defensive rebound by T. Rozier,,41-45,,
1:46.0,K. Olynyk makes 3-pt shot from 23 ft (assist by A. Bradley),3,44-45,,
1:29.0,,,44-45,,J. Teague misses 2-pt shot from 14 ft (block by K. Olynyk)
1:29.0,Defensive rebound by T. Rozier,,44-45,,
1:29.0,,,44-45,,Personal take foul by J. Teague (drawn by T. Rozier)
1:22.0,Offensive charge foul by K. Olynyk,,44-45,,
1:22.0,Turnover by K. Olynyk (offensive foul),,44-45,,
1:22.0,,,44-45,,Indiana full timeout
1:22.0,A. Johnson enters the game for K. Olynyk,,44-45,,
1:22.0,,,44-45,,A. Brooks enters the game for J. Teague
1:07.0,,,44-45,,T. Young misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by T. Rozier,,44-45,,
0:57.0,,,44-45,,Personal foul by T. Young (drawn by A. Johnson)
0:57.0,A. Johnson makes free throw 1 of 2,1,45-45,,
0:57.0,A. Johnson makes free throw 2 of 2,1,46-45,,
0:37.0,,,46-45,,A. Brooks misses 2-pt shot from 2 ft (block by A. Johnson)
0:36.0,Defensive rebound by A. Johnson,,46-45,,
0:29.0,A. Bradley misses 3-pt shot from 24 ft,,46-45,,
0:29.0,Offensive rebound by M. Smart,,46-45,,
0:09.0,A. Johnson makes 2-pt shot from 4 ft (assist by M. Smart),2,48-45,,
0:00.0,,,48-45,,T. Young misses 3-pt shot from 25 ft
0:00.0,,,48-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,48-47,2,M. Turner makes 2-pt shot from 18 ft
11:24.0,Turnover by K. Olynyk (bad pass; steal by M. Turner),,48-47,,
11:13.0,,,48-47,,M. Turner misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by A. Bradley,,48-47,,
10:58.0,Shooting foul by C. Miles (drawn by A. Johnson),,48-47,,
10:58.0,A. Johnson makes free throw 1 of 2,1,49-47,,
10:58.0,A. Johnson makes free throw 2 of 2,1,50-47,,
10:44.0,,,50-49,2,M. Ellis makes 2-pt shot from 5 ft
10:35.0,,,50-49,,Violation by M. Turner (kicked ball)
10:30.0,Shooting foul by C. Miles (drawn by A. Johnson),,50-49,,
10:30.0,A. Johnson makes free throw 1 of 2,1,51-49,,
10:30.0,A. Johnson makes free throw 2 of 2,1,52-49,,
10:24.0,Personal foul by K. Olynyk (drawn by M. Turner),,52-49,,
10:15.0,,,52-51,2,T. Young makes 2-pt shot from 18 ft (assist by M. Ellis)
9:57.0,K. Olynyk misses 3-pt shot from 25 ft,,52-51,,
9:57.0,,,52-51,,Defensive rebound by C. Miles
9:44.0,,,52-53,2,M. Turner makes 2-pt shot from 3 ft (assist by T. Young)
9:34.0,I. Thomas misses 2-pt shot from 4 ft (block by M. Turner),,52-53,,
9:33.0,,,52-53,,Defensive rebound by C. Miles
9:28.0,,,52-53,,Offensive charge foul by C. Miles
9:28.0,,,52-53,,Turnover by C. Miles (offensive foul)
9:17.0,M. Smart misses 2-pt shot from 10 ft,,52-53,,
9:17.0,,,52-53,,Defensive rebound by T. Young
9:13.0,,,52-53,,Turnover by J. Teague (lost ball; steal by A. Bradley)
9:09.0,Shooting foul by C. Miles (drawn by I. Thomas),,52-53,,
9:09.0,I. Thomas misses free throw 1 of 2,,52-53,,
9:09.0,Offensive rebound by Team,,52-53,,
9:09.0,I. Thomas makes free throw 2 of 2,1,53-53,,
9:09.0,,,52-53,,G. Robinson enters the game for C. Miles
9:01.0,Personal foul by A. Bradley (drawn by M. Ellis),,53-53,,
8:44.0,,,53-53,,G. Robinson misses 2-pt shot from 13 ft
8:43.0,Defensive rebound by A. Bradley,,53-53,,
8:36.0,Turnover by A. Bradley (bad pass; steal by M. Turner),,53-53,,
8:21.0,,,53-53,,Turnover by M. Ellis (bad pass)
8:13.0,Turnover by K. Olynyk (bad pass; steal by M. Turner),,53-53,,
8:04.0,Shooting block foul by M. Smart (drawn by M. Turner),,53-53,,
8:04.0,,,53-54,1,M. Turner makes free throw 1 of 2
8:04.0,,,53-55,1,M. Turner makes free throw 2 of 2
7:43.0,K. Olynyk makes 2-pt shot from 3 ft,2,55-55,,
7:23.0,,,55-55,,Shooting foul by A. Johnson (drawn by J. Teague)
7:23.0,,,55-56,1,J. Teague makes free throw 1 of 2
7:23.0,,,55-57,1,J. Teague makes free throw 2 of 2
7:09.0,M. Smart misses 2-pt shot from 8 ft,,55-57,,
7:09.0,Offensive rebound by A. Johnson,,55-57,,
7:07.0,Turnover by A. Johnson (bad pass; steal by T. Young),,55-57,,
6:52.0,Personal foul by M. Smart (drawn by J. Teague),,55-57,,
6:52.0,,,55-58,1,J. Teague makes free throw 1 of 2
6:52.0,,,55-59,1,J. Teague makes free throw 2 of 2
6:52.0,J. Young enters the game for M. Smart,,55-58,,
6:52.0,J. Jerebko enters the game for A. Johnson,,55-58,,
6:37.0,J. Young misses 3-pt shot from 25 ft,,55-59,,
6:37.0,Offensive rebound by Team,,55-59,,
6:36.0,Shooting foul by M. Turner (drawn by K. Olynyk),,55-59,,
6:36.0,K. Olynyk makes free throw 1 of 2,1,56-59,,
6:36.0,K. Olynyk misses free throw 2 of 2,,56-59,,
6:36.0,,,56-59,,Defensive rebound by G. Robinson
6:23.0,,,56-59,,M. Ellis misses 2-pt shot from 19 ft
6:23.0,Defensive rebound by J. Jerebko,,56-59,,
6:10.0,J. Young makes 2-pt shot from 3 ft (assist by K. Olynyk),2,58-59,,
6:04.0,,,58-59,,Indiana full timeout
5:47.0,,,58-59,,J. Teague misses 2-pt shot from 2 ft (block by A. Bradley)
5:46.0,,,58-59,,Offensive rebound by Team
5:46.0,,,58-59,,L. Allen enters the game for M. Turner
5:43.0,,,58-59,,L. Allen misses 2-pt shot from 7 ft
5:42.0,,,58-59,,Offensive rebound by T. Young
5:42.0,,,58-61,2,T. Young makes 2-pt shot from 2 ft
5:23.0,K. Olynyk misses 3-pt shot from 25 ft,,58-61,,
5:22.0,,,58-61,,Defensive rebound by T. Young
5:13.0,,,58-61,,L. Allen misses 2-pt shot from 1 ft (block by J. Jerebko)
5:12.0,,,58-61,,Offensive rebound by T. Young
5:10.0,,,58-63,2,T. Young makes 2-pt shot from 3 ft
5:02.0,,,58-63,,Personal foul by T. Young (drawn by K. Olynyk)
5:02.0,K. Olynyk misses free throw 1 of 2,,58-63,,
5:02.0,Offensive rebound by Team,,58-63,,
5:02.0,K. Olynyk makes free throw 2 of 2,1,59-63,,
5:02.0,,,58-63,,A. Jefferson enters the game for T. Young
4:49.0,,,59-65,2,A. Jefferson makes 2-pt shot from 5 ft
4:37.0,A. Bradley misses 2-pt shot from 16 ft,,59-65,,
4:36.0,Offensive rebound by J. Young,,59-65,,
4:31.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Young),3,62-65,,
4:22.0,,,62-67,2,A. Jefferson makes 2-pt shot from 3 ft (assist by M. Ellis)
4:22.0,Boston full timeout,,62-67,,
4:22.0,T. Zeller enters the game for K. Olynyk,,62-67,,
4:12.0,Shooting foul by M. Ellis (drawn by A. Bradley),,62-67,,
4:12.0,A. Bradley makes free throw 1 of 2,1,63-67,,
4:12.0,A. Bradley makes free throw 2 of 2,1,64-67,,
3:52.0,,,64-67,,A. Jefferson misses 2-pt shot from 14 ft
3:50.0,Defensive rebound by J. Jerebko,,64-67,,
3:42.0,J. Young makes 3-pt shot from 24 ft (assist by A. Bradley),3,67-67,,
3:24.0,,,67-67,,G. Robinson misses 3-pt shot from 23 ft
3:22.0,Defensive rebound by A. Bradley,,67-67,,
3:12.0,J. Jerebko misses 3-pt shot from 26 ft,,67-67,,
3:11.0,,,67-67,,Defensive rebound by G. Robinson
2:56.0,,,67-67,,J. Teague misses 2-pt shot from 4 ft (block by T. Zeller)
2:56.0,Defensive rebound by J. Jerebko,,67-67,,
2:56.0,,,67-67,,Personal foul by J. Teague (drawn by I. Thomas)
2:56.0,I. Thomas makes free throw 1 of 2,1,68-67,,
2:56.0,I. Thomas makes free throw 2 of 2,1,69-67,,
2:56.0,,,68-67,,A. Brooks enters the game for J. Teague
2:37.0,Def 3 sec tech foul by J. Young,,69-67,,
2:37.0,,,69-68,1,M. Ellis makes technical free throw
2:29.0,,,69-68,,A. Brooks misses 3-pt shot from 27 ft
2:27.0,,,69-68,,Offensive rebound by Team
2:02.0,,,69-68,,M. Ellis misses 3-pt shot from 26 ft
2:02.0,,,69-68,,Offensive rebound by L. Allen
1:57.0,,,69-71,3,A. Brooks makes 3-pt shot from 26 ft (assist by L. Allen)
1:43.0,J. Jerebko misses 2-pt shot from 4 ft,,69-71,,
1:41.0,Offensive rebound by J. Young,,69-71,,
