time,Houston,pts.away,score,pts.home,Boston
5:25.0,Defensive rebound by R. Anderson,,96-98,,
5:19.0,,,96-98,,Personal foul by I. Thomas (drawn by M. Harrell)
5:19.0,,,96-98,,A. Horford enters the game for K. Olynyk
5:12.0,Shooting foul by J. Crowder (drawn by J. Harden),,96-98,,
5:12.0,Flagrant foul type 1 by J. Harden (drawn by J. Jerebko),,96-98,,
5:12.0,J. Harden makes free throw 1 of 2,1,97-98,,
5:12.0,J. Harden makes free throw 2 of 2,1,98-98,,
5:12.0,,,98-99,1,I. Thomas makes flagrant free throw 1 of 2
5:12.0,,,98-100,1,I. Thomas makes flagrant free throw 2 of 2
5:12.0,,,96-98,,T. Rozier enters the game for J. Jerebko
4:58.0,,,98-102,2,I. Thomas makes 2-pt shot from 22 ft
4:41.0,J. Harden misses 3-pt shot from 25 ft,,98-102,,
4:41.0,,,98-102,,Defensive rebound by J. Crowder
4:20.0,,,98-104,2,I. Thomas makes 2-pt shot from 5 ft (assist by J. Crowder)
4:10.0,J. Harden makes 2-pt shot from 1 ft,2,100-104,,
3:51.0,,,100-107,3,T. Rozier makes 3-pt shot from 26 ft (assist by I. Thomas)
3:34.0,Turnover by J. Harden (bad pass; steal by M. Smart),,100-107,,
3:18.0,,,100-109,2,A. Horford makes 2-pt shot from 2 ft (assist by M. Smart)
3:03.0,Turnover by T. Ariza (bad pass; steal by A. Horford),,100-109,,
2:59.0,,,100-111,2,J. Crowder makes 2-pt shot at rim (assist by A. Horford)
2:59.0,Houston full timeout,,100-111,,
2:59.0,S. Dekker enters the game for M. Harrell,,100-111,,
2:41.0,S. Dekker misses 2-pt shot at rim,,100-111,,
2:40.0,Offensive rebound by R. Anderson,,100-111,,
2:40.0,R. Anderson makes 2-pt shot from 1 ft,2,102-111,,
2:21.0,,,102-111,,I. Thomas misses 3-pt shot from 23 ft
2:19.0,,,102-111,,Offensive rebound by M. Smart
2:19.0,,,102-111,,M. Smart misses 2-pt shot at rim
2:18.0,,,102-111,,Offensive rebound by M. Smart
2:17.0,,,102-111,,J. Crowder misses 3-pt shot from 26 ft
2:16.0,,,102-111,,Offensive rebound by Team
2:16.0,Loose ball foul by P. Beverley (drawn by M. Smart),,102-111,,
2:16.0,,,102-111,,Boston full timeout
2:01.0,,,102-113,2,M. Smart makes 2-pt shot from 1 ft (assist by I. Thomas)
1:51.0,J. Harden makes 3-pt shot from 26 ft,3,105-113,,
1:29.0,,,105-115,2,A. Horford makes 2-pt shot from 13 ft (assist by J. Crowder)
1:17.0,J. Harden makes 2-pt shot from 2 ft,2,107-115,,
0:57.0,,,107-117,2,I. Thomas makes 2-pt shot from 2 ft
0:47.0,R. Anderson misses 3-pt shot from 27 ft,,107-117,,
0:47.0,,,107-117,,Defensive rebound by M. Smart
0:41.0,Personal take foul by P. Beverley (drawn by M. Smart),,107-117,,
0:41.0,C. Brewer enters the game for P. Beverley,,107-117,,
0:26.0,,,107-120,3,J. Crowder makes 3-pt shot from 23 ft (assist by I. Thomas)
0:16.0,Shooting foul by A. Horford (drawn by J. Harden),,107-120,,
0:16.0,J. Harden misses free throw 1 of 3,,107-120,,
0:16.0,Offensive rebound by Team,,107-120,,
0:16.0,J. Harden makes free throw 2 of 3,1,108-120,,
0:16.0,J. Harden makes free throw 3 of 3,1,109-120,,
0:16.0,,,108-120,,G. Green enters the game for A. Horford
0:00.0,End of 4th quarter,,,,End of 4th quarter
