time,Washington,pts.away,score,pts.home,Dallas
2:15.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,105-110,,
1:54.0,,,105-110,,H. Barnes misses 2-pt shot from 14 ft
1:53.0,Defensive rebound by M. Gortat,,105-110,,
1:45.0,B. Beal misses 3-pt shot from 25 ft,,105-110,,
1:44.0,,,105-110,,Defensive rebound by D. Finney-Smith
1:29.0,,,105-110,,D. Williams misses 3-pt shot from 22 ft
1:28.0,Defensive rebound by M. Gortat,,105-110,,
1:23.0,J. Wall misses 3-pt shot from 25 ft,,105-110,,
1:21.0,,,105-110,,Defensive rebound by D. Finney-Smith
0:59.0,,,105-110,,H. Barnes misses 2-pt shot from 16 ft
0:58.0,,,105-110,,Offensive rebound by Team
0:58.0,,,105-110,,Turnover by Team (shot clock)
0:44.0,J. Wall misses 3-pt shot from 25 ft,,105-110,,
0:43.0,,,105-110,,Defensive rebound by D. Finney-Smith
0:24.0,,,105-113,3,H. Barnes makes 3-pt shot from 24 ft (assist by W. Matthews)
0:24.0,Washington full timeout,,105-113,,
0:20.0,B. Beal misses 3-pt shot from 24 ft,,105-113,,
0:19.0,,,105-113,,Defensive rebound by D. Finney-Smith
0:00.0,End of 4th quarter,,,,End of 4th quarter
