time,Utah,pts.away,score,pts.home,Sacramento
0:00.0,G. Hill misses 2-pt shot from 13 ft,,97-97,,
0:00.0,Offensive rebound by Team,,97-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:42.0,,,97-97,,Shooting foul by J. Ingles (drawn by A. Afflalo)
4:42.0,,,97-98,1,A. Afflalo makes free throw 1 of 2
4:42.0,,,97-99,1,A. Afflalo makes free throw 2 of 2
4:28.0,G. Hayward misses 3-pt shot from 26 ft,,97-99,,
4:28.0,,,97-99,,Defensive rebound by D. Collison
4:07.0,,,97-99,,Shooting foul by G. Hill (drawn by T. Lawson)
4:07.0,,,97-100,1,T. Lawson makes free throw 1 of 2
4:07.0,,,97-101,1,T. Lawson makes free throw 2 of 2
3:52.0,J. Ingles misses 3-pt shot from 23 ft,,97-101,,
3:49.0,,,97-101,,Defensive rebound by A. Afflalo
3:31.0,,,97-101,,D. Collison misses 2-pt shot from 17 ft
3:30.0,Defensive rebound by G. Hayward,,97-101,,
3:19.0,G. Hayward makes 2-pt shot from 5 ft,2,99-101,,
2:56.0,,,99-101,,T. Lawson misses 2-pt shot from 21 ft
2:55.0,Defensive rebound by G. Hill,,99-101,,
2:48.0,Shooting foul by T. Lawson (drawn by G. Hayward),,99-101,,
2:48.0,G. Hayward makes free throw 1 of 2,1,100-101,,
2:48.0,G. Hayward misses free throw 2 of 2,,100-101,,
2:48.0,,,100-101,,A. Tolliver enters the game for W. Cauley-Stein
2:47.0,Offensive rebound by R. Gobert,,100-101,,
2:44.0,G. Hayward misses 2-pt shot from 1 ft (block by A. Tolliver),,100-101,,
2:43.0,Offensive rebound by Team,,100-101,,
2:39.0,G. Hayward misses 2-pt shot from 18 ft,,100-101,,
2:38.0,Offensive rebound by R. Gobert,,100-101,,
2:38.0,R. Gobert makes 2-pt shot from 2 ft,2,102-101,,
2:18.0,,,102-101,,Shooting foul by J. Ingles (drawn by A. Afflalo)
2:18.0,,,102-102,1,A. Afflalo makes free throw 1 of 2
2:18.0,,,102-103,1,A. Afflalo makes free throw 2 of 2
2:18.0,,,102-102,,W. Cauley-Stein enters the game for A. Tolliver
1:54.0,Turnover by Team (shot clock),,102-103,,
1:54.0,,,102-103,,A. Tolliver enters the game for W. Cauley-Stein
1:39.0,,,102-105,2,D. Collison makes 2-pt shot from 8 ft
1:39.0,Utah full timeout,,102-105,,
1:39.0,,,102-105,,W. Cauley-Stein enters the game for A. Tolliver
1:34.0,Shooting foul by K. Koufos (drawn by G. Hill),,102-105,,
1:34.0,G. Hill misses free throw 1 of 2,,102-105,,
1:34.0,Offensive rebound by Team,,102-105,,
1:34.0,G. Hill makes free throw 2 of 2,1,103-105,,
1:34.0,,,102-105,,A. Tolliver enters the game for K. Koufos
1:22.0,,,103-107,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by T. Lawson)
1:07.0,J. Ingles makes 3-pt shot from 25 ft (assist by G. Hill),3,106-107,,
0:53.0,,,106-107,,Shooting foul by R. Gobert (drawn by W. Cauley-Stein)
0:53.0,,,106-107,,W. Cauley-Stein misses free throw 1 of 2
0:53.0,,,106-107,,Offensive rebound by Team
0:53.0,,,106-107,,W. Cauley-Stein misses free throw 2 of 2
0:52.0,Defensive rebound by R. Gobert,,106-107,,
0:33.0,G. Hill makes 2-pt shot from 6 ft,2,108-107,,
0:33.0,,,108-107,,Sacramento full timeout
0:22.0,,,108-107,,D. Collison misses 2-pt shot from 6 ft
0:21.0,Defensive rebound by R. Gobert,,108-107,,
0:18.0,,,108-107,,Personal foul by W. Cauley-Stein (drawn by G. Hill)
0:18.0,G. Hill misses free throw 1 of 2,,108-107,,
0:18.0,Offensive rebound by Team,,108-107,,
0:18.0,G. Hill misses free throw 2 of 2,,108-107,,
0:16.0,,,108-107,,Defensive rebound by W. Cauley-Stein
0:09.0,,,108-107,,Shooting foul by R. Gobert (drawn by W. Cauley-Stein)
0:09.0,,,108-108,1,W. Cauley-Stein makes free throw 1 of 2
0:09.0,,,108-109,1,W. Cauley-Stein makes free throw 2 of 2
0:09.0,Utah full timeout,,108-109,,
0:09.0,D. Favors enters the game for R. Hood,,108-108,,
0:09.0,R. Hood enters the game for D. Favors,,108-109,,
0:09.0,,,108-109,,G. Temple enters the game for A. Tolliver
0:02.0,G. Hill misses 2-pt shot from 17 ft,,108-109,,
0:00.0,Offensive rebound by R. Gobert,,108-109,,
0:00.0,R. Gobert makes 2-pt shot from 1 ft,2,110-109,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
