time,Brooklyn,pts.away,score,pts.home,Washington
2:41.0,,,91-113,2,J. Smith makes 2-pt shot from 19 ft (assist by M. Thornton)
2:29.0,Shooting foul by J. Smith (drawn by R. Hollis-Jefferson),,91-113,,
2:29.0,Brooklyn full timeout,,91-113,,
2:29.0,R. Hollis-Jefferson makes free throw 1 of 2,1,92-113,,
2:29.0,R. Hollis-Jefferson makes free throw 2 of 2,1,93-113,,
2:29.0,,,91-113,,D. Ochefu enters the game for J. Smith
2:29.0,,,91-113,,A. Nicholson enters the game for M. Thornton
2:14.0,,,93-115,2,D. Ochefu makes 2-pt shot at rim (assist by S. Mac)
1:53.0,R. Foye misses 3-pt shot from 26 ft,,93-115,,
1:52.0,Offensive rebound by R. Hollis-Jefferson,,93-115,,
1:41.0,R. Foye makes 2-pt shot from 1 ft,2,95-115,,
1:21.0,,,95-115,,D. Ochefu misses 2-pt shot from 4 ft
1:20.0,Defensive rebound by R. Foye,,95-115,,
1:12.0,I. Whitehead misses 2-pt shot from 1 ft,,95-115,,
1:11.0,,,95-115,,Defensive rebound by D. Ochefu
1:00.0,,,95-115,,Turnover by T. Satoransky (bad pass)
0:48.0,I. Whitehead misses 2-pt shot from 2 ft,,95-115,,
0:46.0,Offensive rebound by J. Hamilton,,95-115,,
0:45.0,J. Hamilton misses 2-pt shot from 1 ft,,95-115,,
0:44.0,,,95-115,,Defensive rebound by D. Ochefu
0:17.0,,,95-118,3,T. Burke makes 3-pt shot from 28 ft
0:02.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,95-118,,
0:01.0,,,95-118,,Defensive rebound by D. Ochefu
0:00.0,End of 4th quarter,,,,End of 4th quarter
