time,Boston,pts.away,score,pts.home,New York
9:01.0,I. Thomas misses 3-pt shot from 24 ft,,67-55,,
8:59.0,,,67-55,,Defensive rebound by C. Lee
8:49.0,,,67-57,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by C. Lee)
8:30.0,A. Horford misses 3-pt shot from 25 ft,,67-57,,
8:29.0,,,67-57,,Defensive rebound by Team
8:15.0,Personal foul by J. Brown (drawn by K. Porzingis),,67-57,,
8:08.0,,,67-57,,W. Hernangomez misses 2-pt shot from 2 ft
8:07.0,Defensive rebound by A. Johnson,,67-57,,
7:57.0,A. Horford makes 3-pt shot from 24 ft (assist by I. Thomas),3,70-57,,
7:57.0,Technical foul by I. Thomas,,70-57,,
7:57.0,,,70-57,,S. Vujacic misses technical free throw
7:57.0,,,70-57,,Offensive rebound by Team
7:46.0,,,70-57,,Shooting foul by A. Horford (drawn by K. Porzingis)
7:46.0,,,70-58,1,K. Porzingis makes free throw 1 of 2
7:46.0,,,70-58,,K. Porzingis misses free throw 2 of 2
7:46.0,M. Smart enters the game for J. Brown,,70-58,,
7:44.0,Defensive rebound by A. Horford,,70-58,,
7:21.0,A. Johnson makes 2-pt shot from 9 ft (assist by I. Thomas),2,72-58,,
7:01.0,Personal foul by M. Smart (drawn by K. Porzingis),,72-58,,
6:55.0,,,72-58,,S. Vujacic misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by I. Thomas,,72-58,,
6:32.0,A. Johnson makes 2-pt shot from 10 ft,2,74-58,,
6:15.0,,,74-60,2,W. Hernangomez makes 2-pt shot from 11 ft (assist by S. Vujacic)
5:59.0,A. Horford makes 2-pt shot at rim (assist by I. Thomas),2,76-60,,
5:40.0,,,76-62,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by R. Baker)
5:23.0,I. Thomas makes 3-pt shot from 25 ft,3,79-62,,
5:14.0,Technical foul by M. Smart,,79-62,,
5:14.0,,,79-63,1,C. Lee makes technical free throw
5:14.0,,,79-63,,J. Holiday enters the game for W. Hernangomez
5:14.0,,,79-63,,K. O'Quinn enters the game for S. Vujacic
5:02.0,,,79-65,2,J. Holiday makes 2-pt shot from 21 ft
4:40.0,I. Thomas misses 3-pt shot from 25 ft,,79-65,,
4:38.0,Offensive rebound by M. Smart,,79-65,,
4:33.0,J. Crowder misses 3-pt shot from 23 ft,,79-65,,
4:31.0,,,79-65,,Defensive rebound by K. O'Quinn
4:24.0,,,79-65,,Shooting foul by M. Smart (drawn by C. Lee)
4:24.0,,,79-66,1,C. Lee makes free throw 1 of 2
4:24.0,,,79-67,1,C. Lee makes free throw 2 of 2
4:24.0,T. Rozier enters the game for I. Thomas,,79-66,,
4:24.0,K. Olynyk enters the game for A. Johnson,,79-66,,
3:58.0,M. Smart makes 2-pt shot from 23 ft,2,81-67,,
3:46.0,,,81-67,,Turnover by C. Lee (traveling)
3:29.0,Turnover by T. Rozier (traveling),,81-67,,
3:18.0,Violation by J. Crowder (kicked ball),,81-67,,
3:10.0,,,81-67,,J. Holiday misses 2-pt shot from 20 ft
3:09.0,Defensive rebound by T. Rozier,,81-67,,
2:58.0,K. Olynyk makes 2-pt shot from 2 ft,2,83-67,,
2:58.0,Shooting foul by K. O'Quinn (drawn by K. Olynyk),,83-67,,
2:58.0,,,83-67,,New York full timeout
2:58.0,K. Olynyk misses free throw 1 of 1,,83-67,,
2:57.0,,,83-67,,Defensive rebound by K. O'Quinn
2:32.0,,,83-67,,Turnover by R. Baker (bad pass; steal by T. Rozier)
2:22.0,Shooting foul by K. O'Quinn (drawn by K. Olynyk),,83-67,,
2:22.0,K. Olynyk misses free throw 1 of 2,,83-67,,
2:22.0,Offensive rebound by Team,,83-67,,
2:22.0,K. Olynyk makes free throw 2 of 2,1,84-67,,
2:22.0,,,83-67,,M. Ndour enters the game for K. Porzingis
2:22.0,J. Jerebko enters the game for A. Horford,,83-67,,
2:09.0,,,84-67,,J. Holiday misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by T. Rozier,,84-67,,
1:49.0,M. Smart misses 2-pt shot from 3 ft,,84-67,,
1:48.0,,,84-67,,Defensive rebound by K. O'Quinn
