time,Atlanta,pts.away,score,pts.home,Houston
6:33.0,Defensive rebound by D. Howard,,86-99,,
6:24.0,T. Hardaway makes 2-pt shot from 1 ft,2,88-99,,
6:24.0,Shooting foul by N. Hilario (drawn by T. Hardaway),,88-99,,
6:24.0,T. Hardaway makes free throw 1 of 1,1,89-99,,
6:24.0,,,88-99,,C. Capela enters the game for N. Hilario
6:24.0,,,88-99,,T. Ariza enters the game for P. Beverley
6:09.0,,,89-101,2,J. Harden makes 2-pt shot from 13 ft
5:55.0,D. Howard makes 2-pt shot at rim (assist by D. Bembry),2,91-101,,
5:39.0,,,91-101,,R. Anderson misses 2-pt shot from 3 ft
5:37.0,Defensive rebound by M. Delaney,,91-101,,
5:32.0,T. Hardaway makes 3-pt shot from 26 ft (assist by M. Delaney),3,94-101,,
5:17.0,,,94-101,,T. Ariza misses 3-pt shot from 26 ft
5:16.0,Defensive rebound by D. Howard,,94-101,,
4:55.0,M. Delaney misses 2-pt shot from 2 ft,,94-101,,
4:54.0,Offensive rebound by D. Howard,,94-101,,
4:52.0,D. Howard makes 2-pt shot from 1 ft,2,96-101,,
4:41.0,,,96-104,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
4:19.0,T. Hardaway makes 3-pt shot from 25 ft,3,99-104,,
4:03.0,,,99-104,,Shooting foul by D. Bembry (drawn by J. Harden)
4:03.0,,,99-105,1,J. Harden makes free throw 1 of 3
4:03.0,,,99-106,1,J. Harden makes free throw 2 of 3
4:03.0,,,99-106,,J. Harden misses free throw 3 of 3
4:03.0,Defensive rebound by D. Howard,,99-106,,
4:03.0,,,99-106,,P. Beverley enters the game for R. Anderson
3:48.0,T. Hardaway makes 2-pt shot from 4 ft,2,101-106,,
3:48.0,Shooting foul by C. Capela (drawn by T. Hardaway),,101-106,,
3:48.0,T. Hardaway misses free throw 1 of 1,,101-106,,
3:48.0,,,101-106,,Defensive rebound by J. Harden
3:28.0,,,101-106,,E. Gordon misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by D. Bembry,,101-106,,
3:20.0,T. Hardaway makes 3-pt shot from 26 ft (assist by D. Bembry),3,104-106,,
3:02.0,,,104-106,,J. Harden misses 2-pt shot from 7 ft
3:01.0,Defensive rebound by M. Delaney,,104-106,,
2:52.0,D. Bembry misses 3-pt shot from 24 ft,,104-106,,
2:50.0,,,104-106,,Defensive rebound by Team
2:50.0,Official timeout,,104-106,,
2:35.0,,,104-106,,T. Ariza misses 2-pt shot from 12 ft
2:34.0,Defensive rebound by D. Howard,,104-106,,
2:25.0,T. Hardaway makes 2-pt shot from 3 ft,2,106-106,,
2:25.0,Shooting foul by C. Capela (drawn by T. Hardaway),,106-106,,
2:25.0,T. Hardaway makes free throw 1 of 1,1,107-106,,
2:12.0,,,107-106,,J. Harden misses 3-pt shot from 25 ft
2:12.0,,,107-106,,Offensive rebound by C. Capela
2:07.0,,,107-106,,T. Ariza misses 3-pt shot from 27 ft
2:05.0,,,107-106,,Offensive rebound by C. Capela
1:47.0,,,107-106,,P. Beverley misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by M. Delaney,,107-106,,
1:35.0,,,107-106,,Personal foul by T. Ariza (drawn by T. Hardaway)
1:35.0,T. Hardaway makes free throw 1 of 2,1,108-106,,
1:35.0,T. Hardaway makes free throw 2 of 2,1,109-106,,
1:35.0,,,108-106,,R. Anderson enters the game for E. Gordon
1:19.0,,,109-108,2,P. Beverley makes 2-pt shot from 8 ft (assist by J. Harden)
1:05.0,T. Hardaway misses 3-pt shot from 28 ft,,109-108,,
1:04.0,,,109-108,,Defensive rebound by R. Anderson
0:57.0,,,109-108,,J. Harden misses 2-pt shot from 3 ft (block by D. Howard)
0:57.0,Defensive rebound by Team,,109-108,,
0:42.0,T. Hardaway makes 2-pt shot at rim (assist by K. Bazemore),2,111-108,,
0:42.0,,,111-108,,Turnover by C. Capela (bad pass; steal by K. Bazemore)
0:24.0,M. Delaney misses 3-pt shot from 24 ft,,111-108,,
0:22.0,,,111-108,,Defensive rebound by R. Anderson
0:07.0,,,111-108,,T. Ariza misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by K. Bazemore,,111-108,,
0:03.0,D. Bembry makes 2-pt shot at rim (assist by K. Bazemore),2,113-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
