time,Sacramento,pts.away,score,pts.home,Brooklyn
4:08.0,,,115-96,3,S. Kilpatrick makes 3-pt shot from 24 ft
3:45.0,R. Gay misses 2-pt shot from 16 ft,,115-96,,
3:44.0,,,115-96,,Defensive rebound by J. Hamilton
3:36.0,,,115-96,,R. Foye misses 2-pt shot from 19 ft
3:35.0,Defensive rebound by Team,,115-96,,
3:35.0,,,115-96,,J. Harris enters the game for S. Kilpatrick
3:35.0,,,115-96,,I. Whitehead enters the game for R. Foye
3:35.0,,,115-96,,C. McCullough enters the game for T. Booker
3:18.0,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison),2,117-96,,
3:18.0,Shooting foul by J. Harris (drawn by D. Cousins),,117-96,,
3:18.0,D. Cousins makes free throw 1 of 1,1,118-96,,
3:18.0,,,117-96,,Y. Ferrell enters the game for B. Bogdanovic
3:18.0,T. Lawson enters the game for R. Gay,,117-96,,
3:18.0,W. Cauley-Stein enters the game for K. Koufos,,117-96,,
3:00.0,,,118-99,3,J. Harris makes 3-pt shot from 25 ft
2:53.0,Sacramento full timeout,,118-99,,
2:53.0,B. McLemore enters the game for D. Cousins,,118-99,,
2:34.0,G. Temple misses 3-pt shot from 24 ft,,118-99,,
2:34.0,,,118-99,,Defensive rebound by C. McCullough
2:16.0,,,118-99,,C. McCullough misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by B. McLemore,,118-99,,
1:59.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,118-99,,
1:58.0,,,118-99,,Defensive rebound by J. Hamilton
1:43.0,,,118-102,3,I. Whitehead makes 3-pt shot from 24 ft (assist by J. Harris)
1:24.0,B. McLemore misses 3-pt shot from 24 ft,,118-102,,
1:23.0,,,118-102,,Defensive rebound by I. Whitehead
1:17.0,,,118-102,,I. Whitehead misses 2-pt shot from 20 ft
1:16.0,Defensive rebound by T. Lawson,,118-102,,
1:07.0,T. Lawson makes 2-pt shot from 2 ft,2,120-102,,
0:56.0,,,120-105,3,I. Whitehead makes 3-pt shot from 23 ft (assist by Y. Ferrell)
0:35.0,B. McLemore makes 2-pt shot from 16 ft,2,122-105,,
0:27.0,,,122-105,,Y. Ferrell misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by W. Cauley-Stein,,122-105,,
0:02.0,Turnover by Team (shot clock),,122-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
