time,Charlotte,pts.away,score,pts.home,Houston
2:27.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by K. Walker),3,111-110,,
2:26.0,,,111-110,,Houston full timeout
2:14.0,,,111-113,3,R. Anderson makes 3-pt shot from 23 ft (assist by J. Harden)
1:58.0,K. Walker misses 2-pt shot from 5 ft (block by M. Harrell),,111-113,,
1:56.0,,,111-113,,Defensive rebound by P. Beverley
1:51.0,,,111-115,2,J. Harden makes 2-pt shot from 2 ft
1:51.0,Charlotte full timeout,,111-115,,
1:30.0,M. Belinelli misses 3-pt shot from 26 ft,,111-115,,
1:28.0,,,111-115,,Defensive rebound by M. Harrell
1:14.0,,,111-115,,Offensive charge foul by J. Harden
1:14.0,,,111-115,,Turnover by J. Harden (offensive foul)
0:56.0,K. Walker misses 3-pt shot from 26 ft (block by M. Harrell),,111-115,,
0:55.0,Offensive rebound by Team,,111-115,,
0:55.0,,,111-115,,Loose ball foul by P. Beverley (drawn by K. Walker)
0:44.0,K. Walker makes 3-pt shot from 25 ft,3,114-115,,
0:29.0,,,114-117,2,J. Harden makes 2-pt shot from 2 ft
0:29.0,Charlotte full timeout,,114-117,,
0:29.0,,,114-117,,C. Brewer enters the game for R. Anderson
0:29.0,J. Lamb enters the game for M. Kidd-Gilchrist,,114-117,,
0:25.0,F. Kaminsky misses 3-pt shot from 26 ft,,114-117,,
0:24.0,,,114-117,,Defensive rebound by J. Harden
0:21.0,Personal foul by F. Kaminsky (drawn by J. Harden),,114-117,,
0:21.0,M. Kidd-Gilchrist enters the game for J. Lamb,,114-117,,
0:21.0,,,114-117,,R. Anderson enters the game for C. Brewer
0:21.0,,,114-117,,Houston full timeout
0:21.0,J. Lamb enters the game for M. Belinelli,,114-117,,
0:19.0,Personal take foul by M. Williams (drawn by M. Harrell),,114-117,,
0:19.0,,,114-118,1,M. Harrell makes free throw 1 of 2
0:19.0,,,114-119,1,M. Harrell makes free throw 2 of 2
0:19.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,114-118,,
0:19.0,,,114-118,,C. Brewer enters the game for R. Anderson
0:13.0,M. Belinelli misses 3-pt shot from 25 ft,,114-119,,
0:11.0,,,114-119,,Defensive rebound by C. Brewer
0:07.0,Personal take foul by M. Belinelli (drawn by J. Harden),,114-119,,
0:07.0,,,114-120,1,J. Harden makes free throw 1 of 2
0:07.0,,,114-121,1,J. Harden makes free throw 2 of 2
0:01.0,J. Lamb misses 3-pt shot from 29 ft,,114-121,,
0:00.0,,,114-121,,Defensive rebound by J. Harden
0:00.0,End of 4th quarter,,,,End of 4th quarter
