time,Toronto,pts.away,score,pts.home,Dallas
1:13.0,S. Ibaka misses 2-pt shot from 10 ft,,89-83,,
1:12.0,Offensive rebound by P. Patterson,,89-83,,
0:59.0,P. Patterson makes 3-pt shot from 23 ft (assist by C. Joseph),3,92-83,,
0:59.0,,,92-83,,Dallas full timeout
0:59.0,,,92-83,,Technical foul by Team
0:59.0,Technical foul by P. Patterson,,92-83,,
0:53.0,,,92-83,,H. Barnes misses 2-pt shot from 19 ft
0:52.0,Defensive rebound by C. Joseph,,92-83,,
0:34.0,,,92-83,,Personal foul by W. Matthews (drawn by D. DeRozan)
0:34.0,,,92-83,,D. Powell enters the game for D. Nowitzki
0:34.0,,,92-83,,D. Finney-Smith enters the game for W. Matthews
0:18.0,C. Joseph makes 2-pt shot from 10 ft,2,94-83,,
0:12.0,,,94-83,,D. Finney-Smith misses 3-pt shot from 22 ft
0:10.0,,,94-83,,Offensive rebound by D. Powell
0:08.0,,,94-86,3,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes)
0:00.0,End of 4th quarter,,,,End of 4th quarter
