time,LA Lakers,pts.away,score,pts.home,Chicago
9:06.0,,,78-77,,T. Gibson enters the game for B. Portis
9:06.0,,,78-77,,R. Rondo enters the game for J. Grant
9:06.0,,,78-77,,J. Butler enters the game for I. Canaan
8:55.0,,,78-77,,J. Butler misses 2-pt shot from 18 ft
8:51.0,Defensive rebound by L. Nance,,78-77,,
8:42.0,L. Nance misses 2-pt shot at rim,,78-77,,
8:41.0,,,78-77,,Defensive rebound by R. Rondo
8:22.0,,,78-77,,Shooting foul by L. Nance (drawn by T. Gibson)
8:22.0,,,78-78,1,T. Gibson makes free throw 1 of 2
8:22.0,,,78-79,1,T. Gibson makes free throw 2 of 2
8:09.0,J. Clarkson makes 2-pt shot from 4 ft,2,80-79,,
7:53.0,,,80-81,2,R. Rondo makes 2-pt shot from 2 ft
7:37.0,L. Williams misses 2-pt shot from 2 ft,,80-81,,
7:36.0,,,80-81,,Defensive rebound by N. Mirotic
7:32.0,Violation by L. Nance (kicked ball),,80-81,,
7:23.0,,,80-81,,Turnover by D. Wade (lost ball; steal by J. Clarkson)
7:16.0,J. Clarkson misses 2-pt shot from 2 ft,,80-81,,
7:15.0,Offensive rebound by T. Robinson,,80-81,,
7:15.0,T. Robinson misses 2-pt shot from 1 ft,,80-81,,
7:14.0,,,80-81,,Defensive rebound by T. Gibson
7:08.0,,,80-81,,Shooting foul by T. Robinson (drawn by J. Butler)
7:08.0,,,80-82,1,J. Butler makes free throw 1 of 2
7:08.0,,,80-82,,J. Butler misses free throw 2 of 2
7:08.0,,,80-82,,I. Canaan enters the game for D. Wade
7:08.0,J. Randle enters the game for T. Robinson,,80-82,,
7:06.0,Defensive rebound by J. Clarkson,,80-82,,
6:50.0,L. Williams makes 2-pt shot from 11 ft (assist by J. Randle),2,82-82,,
6:33.0,,,82-82,,N. Mirotic misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by J. Randle,,82-82,,
6:30.0,Turnover by J. Randle (lost ball; steal by R. Rondo),,82-82,,
6:25.0,,,82-85,3,I. Canaan makes 3-pt shot from 25 ft (assist by R. Rondo)
6:25.0,LA Lakers full timeout,,82-85,,
6:06.0,J. Clarkson misses 2-pt shot from 9 ft (block by N. Mirotic),,82-85,,
6:03.0,Offensive rebound by J. Randle,,82-85,,
6:03.0,J. Randle makes 2-pt shot from 1 ft,2,84-85,,
5:50.0,Personal foul by J. Randle (drawn by T. Gibson),,84-85,,
5:35.0,,,84-85,,J. Butler misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by Team,,84-85,,
5:19.0,L. Nance misses 2-pt shot from 21 ft,,84-85,,
5:18.0,,,84-85,,Defensive rebound by J. Butler
4:57.0,,,84-85,,R. Rondo misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by J. Randle,,84-85,,
4:50.0,,,84-85,,R. Lopez enters the game for N. Mirotic
4:39.0,L. Nance misses 2-pt shot from 7 ft (block by R. Lopez),,84-85,,
4:37.0,Offensive rebound by L. Nance,,84-85,,
4:30.0,J. Clarkson misses 2-pt shot from 22 ft,,84-85,,
4:29.0,,,84-85,,Defensive rebound by R. Lopez
4:26.0,,,84-85,,Turnover by R. Lopez (bad pass; steal by L. Nance)
4:13.0,LA Lakers full timeout,,84-85,,
4:06.0,Shooting foul by R. Rondo (drawn by B. Ingram),,84-85,,
4:06.0,B. Ingram makes free throw 1 of 3,1,85-85,,
4:06.0,B. Ingram misses free throw 2 of 3,,85-85,,
4:06.0,Offensive rebound by Team,,85-85,,
4:06.0,B. Ingram makes free throw 3 of 3,1,86-85,,
3:53.0,,,86-85,,J. Butler misses 2-pt shot from 2 ft
3:51.0,,,86-85,,Offensive rebound by R. Lopez
3:48.0,,,86-85,,R. Rondo misses 2-pt shot from 14 ft
3:48.0,,,86-85,,Offensive rebound by Team
3:48.0,Loose ball foul by J. Clarkson (drawn by J. Butler),,86-85,,
3:48.0,,,86-85,,D. Wade enters the game for I. Canaan
3:41.0,,,86-85,,Turnover by R. Lopez (bad pass; steal by L. Nance)
3:41.0,,,86-85,,Personal foul by T. Gibson (drawn by L. Nance)
3:29.0,Turnover by L. Williams (lost ball; steal by R. Lopez),,86-85,,
3:23.0,,,86-87,2,D. Wade makes 2-pt shot at rim (assist by T. Gibson)
3:06.0,J. Clarkson makes 2-pt shot from 8 ft,2,88-87,,
2:46.0,,,88-87,,T. Gibson misses 2-pt shot from 14 ft
2:44.0,Defensive rebound by L. Nance,,88-87,,
2:44.0,,,88-87,,Personal foul by T. Gibson (drawn by L. Nance)
2:44.0,LA Lakers full timeout,,88-87,,
2:44.0,,,88-87,,N. Mirotic enters the game for T. Gibson
2:28.0,L. Williams misses 2-pt shot from 11 ft,,88-87,,
2:28.0,,,88-87,,Defensive rebound by Team
2:06.0,,,88-87,,D. Wade misses 2-pt shot from 20 ft
2:05.0,Defensive rebound by L. Williams,,88-87,,
1:51.0,J. Clarkson makes 2-pt shot from 10 ft,2,90-87,,
1:33.0,,,90-87,,N. Mirotic misses 3-pt shot from 24 ft
1:32.0,,,90-87,,Offensive rebound by D. Wade
1:30.0,,,90-90,3,J. Butler makes 3-pt shot from 26 ft (assist by D. Wade)
1:30.0,LA Lakers full timeout,,90-90,,
1:18.0,Turnover by J. Clarkson (lost ball),,90-90,,
1:06.0,,,90-90,,J. Butler misses 2-pt shot from 1 ft (block by B. Ingram)
1:05.0,Defensive rebound by J. Randle,,90-90,,
1:05.0,,,90-90,,Personal foul by R. Rondo (drawn by J. Randle)
0:45.0,J. Randle makes 2-pt shot from 1 ft,2,92-90,,
0:45.0,,,92-90,,Chicago full timeout
0:40.0,,,92-90,,J. Butler misses 2-pt shot from 12 ft
0:38.0,Defensive rebound by L. Nance,,92-90,,
0:20.0,Shooting foul by R. Rondo,,92-90,,
0:20.0,L. Williams makes free throw 1 of 2,1,93-90,,
0:20.0,L. Williams misses free throw 2 of 2,,93-90,,
0:20.0,,,93-90,,Defensive rebound by R. Lopez
0:20.0,,,93-90,,Chicago full timeout
0:20.0,,,93-90,,Chicago full timeout
0:16.0,,,93-90,,J. Butler misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by Team,,93-90,,
0:16.0,,,93-90,,I. Canaan enters the game for R. Lopez
0:16.0,,,93-90,,J. Grant enters the game for N. Mirotic
0:12.0,,,93-90,,Personal take foul by J. Grant (drawn by J. Randle)
0:12.0,J. Randle misses free throw 1 of 2,,93-90,,
0:12.0,Offensive rebound by Team,,93-90,,
0:12.0,J. Randle makes free throw 2 of 2,1,94-90,,
0:12.0,,,93-90,,N. Mirotic enters the game for I. Canaan
0:12.0,,,93-90,,R. Lopez enters the game for J. Grant
0:06.0,,,94-90,,J. Butler misses 3-pt shot from 24 ft
0:04.0,Defensive rebound by L. Nance,,94-90,,
0:03.0,,,94-90,,Personal foul by N. Mirotic (drawn by L. Nance)
0:03.0,L. Nance makes free throw 1 of 2,1,95-90,,
0:03.0,L. Nance makes free throw 2 of 2,1,96-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
