time,Brooklyn,pts.away,score,pts.home,Oklahoma City
7:31.0,,,91-103,,R. Westbrook misses 2-pt shot from 2 ft (block by B. Lopez)
7:30.0,,,91-103,,Offensive rebound by Team
7:30.0,B. Bogdanovic enters the game for J. Harris,,91-103,,
7:30.0,,,91-103,,S. Adams enters the game for E. Kanter
7:23.0,,,91-103,,R. Westbrook misses 2-pt shot from 13 ft
7:22.0,Defensive rebound by B. Bogdanovic,,91-103,,
7:20.0,Turnover by B. Bogdanovic (lost ball; steal by A. Roberson),,91-103,,
7:16.0,,,91-103,,R. Westbrook misses 2-pt shot from 16 ft
7:15.0,,,91-103,,Offensive rebound by A. Roberson
7:13.0,,,91-103,,A. Roberson misses 2-pt shot from 1 ft
7:12.0,,,91-103,,Offensive rebound by A. Roberson
7:12.0,,,91-105,2,A. Roberson makes 2-pt shot at rim
7:00.0,S. Kilpatrick misses 2-pt shot from 1 ft,,91-105,,
6:59.0,,,91-105,,Defensive rebound by D. Sabonis
6:55.0,,,91-105,,Turnover by A. Abrines (traveling)
6:48.0,,,91-105,,Personal foul by A. Roberson (drawn by B. Bogdanovic)
6:37.0,B. Lopez makes 2-pt shot from 5 ft,2,93-105,,
6:20.0,,,93-105,,S. Adams misses 2-pt shot from 6 ft
6:20.0,Defensive rebound by A. Bennett,,93-105,,
6:08.0,A. Bennett makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,96-105,,
5:55.0,,,96-107,2,R. Westbrook makes 2-pt shot from 2 ft
5:43.0,Y. Ferrell misses 2-pt shot from 2 ft,,96-107,,
5:43.0,,,96-107,,Defensive rebound by D. Sabonis
5:41.0,Personal foul by B. Lopez (drawn by S. Adams),,96-107,,
5:41.0,,,96-107,,Oklahoma City full timeout
5:41.0,,,96-107,,V. Oladipo enters the game for A. Abrines
5:41.0,R. Hollis-Jefferson enters the game for B. Lopez,,96-107,,
5:41.0,T. Booker enters the game for S. Kilpatrick,,96-107,,
5:24.0,,,96-107,,R. Westbrook misses 2-pt shot from 2 ft
5:23.0,Defensive rebound by R. Hollis-Jefferson,,96-107,,
5:08.0,A. Bennett makes 2-pt shot from 2 ft (assist by T. Booker),2,98-107,,
4:51.0,,,98-110,3,V. Oladipo makes 3-pt shot from 24 ft
4:34.0,Turnover by T. Booker (lost ball; steal by A. Roberson),,98-110,,
4:29.0,,,98-110,,Shooting foul by Y. Ferrell (drawn by A. Roberson)
4:29.0,,,98-110,,A. Roberson misses free throw 1 of 2
4:29.0,,,98-110,,Offensive rebound by Team
4:29.0,,,98-110,,A. Roberson misses free throw 2 of 2
4:29.0,,,98-110,,Offensive rebound by Team
4:29.0,Loose ball foul by T. Booker (drawn by S. Adams),,98-110,,
4:29.0,,,98-110,,Technical foul by S. Adams
4:29.0,Technical foul by T. Booker (drawn by S. Adams),,98-110,,
4:29.0,,,98-111,1,S. Adams makes free throw 1 of 2
4:29.0,,,98-112,1,S. Adams makes free throw 2 of 2
4:10.0,Y. Ferrell misses 3-pt shot from 25 ft,,98-112,,
4:09.0,,,98-112,,Defensive rebound by R. Westbrook
3:51.0,,,98-115,3,V. Oladipo makes 3-pt shot from 23 ft (assist by A. Roberson)
3:45.0,Brooklyn full timeout,,98-115,,
3:45.0,C. McCullough enters the game for T. Booker,,98-115,,
3:45.0,I. Whitehead enters the game for B. Bogdanovic,,98-115,,
3:29.0,A. Bennett misses 3-pt shot from 25 ft,,98-115,,
3:28.0,,,98-115,,Defensive rebound by A. Roberson
3:16.0,,,98-115,,Turnover by R. Westbrook (bad pass)
3:08.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,100-115,,
3:08.0,Shooting foul by A. Roberson (drawn by R. Hollis-Jefferson),,100-115,,
3:08.0,R. Hollis-Jefferson makes free throw 1 of 1,1,101-115,,
3:08.0,,,100-115,,A. Abrines enters the game for A. Roberson
2:58.0,,,101-115,,Shooting foul by C. McCullough (drawn by R. Westbrook)
2:58.0,,,101-116,1,R. Westbrook makes free throw 1 of 2
2:58.0,,,101-117,1,R. Westbrook makes free throw 2 of 2
2:46.0,C. McCullough misses 2-pt shot at rim (block by S. Adams),,101-117,,
2:44.0,,,101-117,,Defensive rebound by V. Oladipo
2:30.0,,,101-119,2,D. Sabonis makes 2-pt shot from 20 ft (assist by R. Westbrook)
2:18.0,R. Hollis-Jefferson misses 2-pt shot from 17 ft,,101-119,,
2:17.0,,,101-119,,Defensive rebound by V. Oladipo
2:04.0,,,101-119,,D. Sabonis misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by R. Hollis-Jefferson,,101-119,,
1:59.0,C. McCullough makes 2-pt shot at rim (assist by R. Hollis-Jefferson),2,103-119,,
1:40.0,,,103-119,,Turnover by D. Sabonis (bad pass)
1:40.0,,,103-119,,J. Lauvergne enters the game for S. Adams
1:40.0,,,103-119,,J. Grant enters the game for R. Westbrook
1:22.0,,,103-119,,Shooting block foul by J. Lauvergne (drawn by Y. Ferrell)
1:22.0,Y. Ferrell makes free throw 1 of 2,1,104-119,,
1:22.0,Y. Ferrell makes free throw 2 of 2,1,105-119,,
1:11.0,,,105-122,3,V. Oladipo makes 3-pt shot from 25 ft
1:02.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Grant),,105-122,,
1:00.0,,,105-122,,Turnover by V. Oladipo (bad pass)
0:49.0,I. Whitehead misses 2-pt shot from 6 ft,,105-122,,
0:49.0,,,105-122,,Defensive rebound by J. Lauvergne
0:28.0,,,105-124,2,D. Sabonis makes 2-pt shot from 2 ft
0:18.0,Y. Ferrell misses 3-pt shot from 24 ft,,105-124,,
0:17.0,,,105-124,,Defensive rebound by V. Oladipo
0:00.0,End of 4th quarter,,,,End of 4th quarter
