time,Dallas,pts.away,score,pts.home,Indiana
7:38.0,W. Matthews makes free throw 1 of 2,1,98-98,,
7:38.0,W. Matthews makes free throw 2 of 2,1,99-98,,
7:22.0,,,99-98,,P. George misses 2-pt shot from 16 ft
7:22.0,Defensive rebound by D. Powell,,99-98,,
7:12.0,W. Matthews misses 3-pt shot from 26 ft,,99-98,,
7:10.0,Offensive rebound by Team,,99-98,,
7:02.0,J. Anderson misses 3-pt shot from 27 ft,,99-98,,
7:01.0,Offensive rebound by D. Powell,,99-98,,
6:58.0,J. Anderson misses 2-pt shot from 1 ft,,99-98,,
6:56.0,,,99-98,,Defensive rebound by M. Turner
6:51.0,,,99-100,2,J. Teague makes 2-pt shot from 1 ft
6:30.0,D. Powell misses 2-pt shot from 19 ft,,99-100,,
6:29.0,,,99-100,,Defensive rebound by P. George
6:08.0,,,99-102,2,T. Young makes 2-pt shot at rim (assist by P. George)
6:07.0,Dallas full timeout,,99-102,,
6:07.0,H. Barnes enters the game for J. Anderson,,99-102,,
6:07.0,D. Nowitzki enters the game for D. Powell,,99-102,,
5:57.0,J. Barea makes 2-pt shot from 1 ft,2,101-102,,
5:33.0,,,101-102,,J. Teague misses 3-pt shot from 28 ft
5:31.0,Defensive rebound by W. Matthews,,101-102,,
5:17.0,H. Barnes misses 2-pt shot from 1 ft (block by M. Turner),,101-102,,
5:15.0,,,101-102,,Defensive rebound by T. Young
5:10.0,,,101-102,,Shooting foul by D. Nowitzki (drawn by M. Turner)
5:10.0,,,101-103,1,M. Turner makes free throw 1 of 2
5:10.0,,,101-103,,M. Turner misses free throw 2 of 2
5:10.0,Defensive rebound by D. Nowitzki,,101-103,,
4:48.0,D. Williams misses 3-pt shot from 27 ft,,101-103,,
4:48.0,,,101-103,,Defensive rebound by T. Young
4:34.0,,,101-105,2,M. Ellis makes 2-pt shot from 19 ft
4:17.0,H. Barnes makes 2-pt shot from 1 ft,2,103-105,,
4:02.0,,,103-105,,M. Turner misses 2-pt shot from 20 ft
4:01.0,Defensive rebound by H. Barnes,,103-105,,
3:43.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea),2,105-105,,
3:22.0,,,105-105,,Turnover by P. George (lost ball; steal by W. Matthews)
3:15.0,D. Nowitzki misses 3-pt shot from 27 ft,,105-105,,
3:15.0,,,105-105,,Defensive rebound by P. George
3:01.0,,,105-107,2,M. Turner makes 2-pt shot from 19 ft (assist by J. Teague)
2:48.0,Official timeout,,105-107,,
2:33.0,H. Barnes makes 2-pt shot from 1 ft (assist by J. Barea),2,107-107,,
2:20.0,,,107-110,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
2:02.0,W. Matthews makes 3-pt shot from 27 ft (assist by D. Williams),3,110-110,,
1:49.0,,,110-110,,J. Teague misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by D. Nowitzki,,110-110,,
1:36.0,D. Nowitzki misses 3-pt shot from 26 ft,,110-110,,
1:35.0,,,110-110,,Defensive rebound by M. Ellis
1:32.0,Personal block foul by W. Matthews (drawn by M. Ellis),,110-110,,
1:21.0,,,110-112,2,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague)
1:14.0,,,110-112,,Personal foul by T. Young (drawn by H. Barnes)
0:58.0,W. Matthews misses 3-pt shot from 27 ft,,110-112,,
0:57.0,,,110-112,,Defensive rebound by M. Ellis
0:48.0,,,110-114,2,M. Ellis makes 2-pt shot from 1 ft
0:48.0,Dallas full timeout,,110-114,,
0:48.0,,,110-114,,R. Stuckey enters the game for M. Turner
0:35.0,J. Barea misses 3-pt shot from 26 ft,,110-114,,
0:34.0,Offensive rebound by H. Barnes,,110-114,,
0:29.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Williams),2,112-114,,
0:29.0,,,112-114,,Indiana full timeout
0:29.0,,,112-114,,M. Turner enters the game for R. Stuckey
0:29.0,J. Anderson enters the game for J. Barea,,112-114,,
0:18.0,,,112-114,,Turnover by M. Ellis (bad pass; steal by D. Nowitzki)
0:16.0,Turnover by D. Williams (bad pass; steal by T. Young),,112-114,,
0:14.0,Personal take foul by W. Matthews (drawn by J. Teague),,112-114,,
0:14.0,,,112-114,,J. Teague misses free throw 1 of 2
0:14.0,,,112-114,,Offensive rebound by Team
0:14.0,,,112-115,1,J. Teague makes free throw 2 of 2
0:14.0,J. Barea enters the game for J. Anderson,,112-114,,
0:14.0,,,112-114,,R. Stuckey enters the game for M. Turner
0:02.0,H. Barnes makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,115-115,,
0:02.0,,,115-115,,Indiana full timeout
0:02.0,,,115-115,,M. Turner enters the game for R. Stuckey
0:02.0,J. Anderson enters the game for D. Nowitzki,,115-115,,
0:02.0,D. Powell enters the game for J. Barea,,115-115,,
0:00.0,,,115-115,,M. Turner misses 3-pt shot from 29 ft
0:00.0,,,115-115,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:42.0,,,115-117,2,M. Ellis makes 2-pt shot from 20 ft
4:27.0,J. Barea misses 2-pt shot from 18 ft,,115-117,,
4:26.0,Offensive rebound by H. Barnes,,115-117,,
4:23.0,H. Barnes makes 2-pt shot from 4 ft,2,117-117,,
4:07.0,,,117-117,,M. Ellis misses 2-pt shot from 19 ft
4:06.0,Defensive rebound by D. Powell,,117-117,,
3:43.0,W. Matthews misses 2-pt shot from 14 ft,,117-117,,
3:42.0,,,117-117,,Defensive rebound by M. Turner
3:34.0,Personal foul by W. Matthews (drawn by M. Turner),,117-117,,
3:34.0,D. Nowitzki enters the game for D. Powell,,117-117,,
3:22.0,,,117-117,,M. Ellis misses 2-pt shot from 1 ft (block by D. Nowitzki)
3:21.0,Defensive rebound by H. Barnes,,117-117,,
3:13.0,,,117-117,,Personal foul by T. Young (drawn by H. Barnes)
3:07.0,Turnover by J. Barea (bad pass; steal by M. Turner),,117-117,,
2:44.0,,,117-119,2,P. George makes 2-pt shot from 1 ft
2:40.0,,,117-119,,Shooting block foul by T. Young (drawn by W. Matthews)
2:40.0,W. Matthews misses free throw 1 of 2,,117-119,,
2:40.0,Offensive rebound by Team,,117-119,,
2:40.0,W. Matthews makes free throw 2 of 2,1,118-119,,
2:40.0,,,117-119,,C. Miles enters the game for T. Young
2:17.0,,,118-119,,Turnover by J. Teague (lost ball)
2:04.0,D. Williams misses 2-pt shot from 3 ft,,118-119,,
2:04.0,,,118-119,,Defensive rebound by M. Turner
1:56.0,,,118-119,,Offensive foul by M. Turner
1:56.0,,,118-119,,Turnover by M. Turner (offensive foul)
1:37.0,J. Barea misses 3-pt shot from 27 ft,,118-119,,
1:36.0,,,118-119,,Defensive rebound by M. Ellis
1:18.0,,,118-122,3,M. Turner makes 3-pt shot from 25 ft (assist by P. George)
1:18.0,Dallas full timeout,,118-122,,
1:10.0,Turnover by D. Williams (lost ball; steal by M. Ellis),,118-122,,
0:55.0,,,118-125,3,P. George makes 3-pt shot from 25 ft
0:44.0,Turnover by D. Williams (bad pass; steal by J. Teague),,118-125,,
0:44.0,Jump ball: J. Barea vs. M. Turner (M. Ellis gains possession),,,,Jump ball: J. Barea vs. M. Turner (M. Ellis gains possession)
0:35.0,,,118-127,2,M. Turner makes 2-pt shot from 4 ft (assist by J. Teague)
0:35.0,Dallas full timeout,,118-127,,
0:35.0,J. Anderson enters the game for D. Nowitzki,,118-127,,
0:35.0,D. Powell enters the game for D. Williams,,118-127,,
0:35.0,Dallas full timeout,,118-127,,
0:35.0,N. Brussino enters the game for J. Barea,,118-127,,
0:32.0,H. Barnes makes 3-pt shot from 27 ft (assist by N. Brussino),3,121-127,,
0:28.0,Personal take foul by J. Anderson (drawn by M. Ellis),,121-127,,
0:27.0,Personal take foul by J. Anderson (drawn by M. Ellis),,121-127,,
0:27.0,,,121-128,1,J. Teague makes free throw 1 of 2
0:27.0,,,121-128,,J. Teague misses free throw 2 of 2
0:27.0,Defensive rebound by D. Finney-Smith,,121-128,,
0:27.0,Q. Acy enters the game for D. Powell,,121-128,,
0:27.0,D. Finney-Smith enters the game for H. Barnes,,121-128,,
0:13.0,J. Anderson misses 3-pt shot from 32 ft,,121-128,,
0:12.0,,,121-128,,Defensive rebound by J. Teague
0:05.0,Personal foul by Q. Acy (drawn by J. Teague),,121-128,,
0:05.0,,,121-129,1,J. Teague makes free throw 1 of 2
0:05.0,,,121-130,1,J. Teague makes free throw 2 of 2
0:00.0,W. Matthews misses 3-pt shot from 32 ft,,121-130,,
0:00.0,Offensive rebound by Team,,121-130,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
