time,Miami,pts.away,score,pts.home,Houston
3:53.0,Defensive rebound by H. Whiteside,,108-96,,
3:52.0,,,108-96,,Technical foul by R. Anderson
3:52.0,G. Dragic makes technical free throw,1,109-96,,
3:40.0,Turnover by H. Whiteside (offensive foul),,109-96,,
3:40.0,Offensive foul by H. Whiteside,,109-96,,
3:35.0,,,109-96,,C. Brewer misses 2-pt shot from 1 ft (block by H. Whiteside)
3:33.0,Defensive rebound by J. Johnson,,109-96,,
3:16.0,D. Waiters misses 3-pt shot from 25 ft,,109-96,,
3:14.0,,,109-96,,Defensive rebound by R. Anderson
3:07.0,,,109-96,,C. Brewer misses 3-pt shot from 23 ft
3:06.0,,,109-96,,Offensive rebound by J. Harden
2:59.0,,,109-99,3,J. Harden makes 3-pt shot from 24 ft (assist by E. Gordon)
2:58.0,Miami full timeout,,109-99,,
2:43.0,T. Johnson misses 3-pt shot from 25 ft,,109-99,,
2:42.0,,,109-99,,Defensive rebound by J. Harden
2:34.0,,,109-101,2,J. Harden makes 2-pt shot from 1 ft
2:14.0,G. Dragic makes 2-pt shot from 2 ft,2,111-101,,
1:55.0,,,111-101,,R. Anderson misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by H. Whiteside,,111-101,,
1:44.0,G. Dragic makes 2-pt shot from 1 ft,2,113-101,,
1:34.0,,,113-104,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
1:24.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,115-104,,
1:03.0,,,115-104,,R. Anderson misses 3-pt shot from 25 ft
1:01.0,,,115-104,,Offensive rebound by J. Harden
0:57.0,,,115-104,,E. Gordon misses 3-pt shot from 24 ft
0:56.0,,,115-104,,Offensive rebound by R. Anderson
0:56.0,,,115-106,2,R. Anderson makes 2-pt shot from 1 ft
0:35.0,D. Waiters misses 3-pt shot from 25 ft,,115-106,,
0:34.0,,,115-106,,Defensive rebound by T. Ariza
0:26.0,,,115-109,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
0:26.0,Miami full timeout,,115-109,,
0:26.0,,,115-109,,S. Dekker enters the game for J. Harden
0:26.0,R. McGruder enters the game for H. Whiteside,,115-109,,
0:16.0,,,115-109,,Personal foul by R. Anderson (drawn by D. Waiters)
0:16.0,D. Waiters makes free throw 1 of 2,1,116-109,,
0:16.0,D. Waiters makes free throw 2 of 2,1,117-109,,
0:16.0,,,117-109,,Houston full timeout
0:16.0,,,117-109,,J. Harden enters the game for C. Brewer
0:14.0,,,117-109,,E. Gordon misses 3-pt shot from 25 ft
0:12.0,,,117-109,,Offensive rebound by S. Dekker
0:06.0,,,117-109,,T. Ariza misses 3-pt shot from 24 ft
0:04.0,,,117-109,,Offensive rebound by S. Dekker
0:02.0,,,117-109,,J. Harden misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by J. Johnson,,117-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
