time,Oklahoma City,pts.away,score,pts.home,Philadelphia
7:01.0,,,81-82,,D. Saric enters the game for J. Grant
7:01.0,,,81-82,,R. Holmes enters the game for N. Stauskas
7:01.0,E. Ilyasova enters the game for E. Kanter,,81-82,,
6:52.0,,,81-84,2,S. Rodriguez makes 2-pt shot from 16 ft
6:40.0,S. Adams misses 2-pt shot from 10 ft (block by R. Holmes),,81-84,,
6:37.0,,,81-84,,Defensive rebound by S. Rodriguez
6:20.0,,,81-84,,G. Henderson enters the game for H. Thompson
6:20.0,V. Oladipo enters the game for A. Abrines,,81-84,,
6:17.0,,,81-87,3,R. Covington makes 3-pt shot from 26 ft (assist by S. Rodriguez)
6:01.0,R. Westbrook misses 3-pt shot from 26 ft,,81-87,,
6:00.0,Offensive rebound by Team,,81-87,,
6:00.0,,,81-87,,Loose ball foul by R. Holmes (drawn by S. Adams)
5:50.0,R. Westbrook misses 2-pt shot from 12 ft,,81-87,,
5:48.0,,,81-87,,Defensive rebound by D. Saric
5:35.0,,,81-87,,S. Rodriguez misses 3-pt shot from 28 ft
5:33.0,Defensive rebound by V. Oladipo,,81-87,,
5:25.0,V. Oladipo makes 2-pt shot from 20 ft,2,83-87,,
5:10.0,,,83-87,,D. Saric misses 2-pt shot from 5 ft
5:08.0,Defensive rebound by E. Ilyasova,,83-87,,
5:01.0,V. Oladipo makes 2-pt shot from 2 ft,2,85-87,,
4:41.0,,,85-87,,Shooting foul by V. Oladipo (drawn by R. Holmes)
4:41.0,Official timeout,,85-87,,
4:41.0,,,85-88,1,R. Holmes makes free throw 1 of 2
4:41.0,,,85-89,1,R. Holmes makes free throw 2 of 2
4:29.0,Shooting foul by R. Holmes (drawn by S. Adams),,85-89,,
4:29.0,S. Adams makes free throw 1 of 2,1,86-89,,
4:29.0,S. Adams makes free throw 2 of 2,1,87-89,,
4:29.0,,,86-89,,J. Embiid enters the game for R. Holmes
4:16.0,Shooting block foul by V. Oladipo (drawn by R. Covington),,87-89,,
4:16.0,,,87-90,1,R. Covington makes free throw 1 of 2
4:16.0,,,87-91,1,R. Covington makes free throw 2 of 2
4:09.0,R. Westbrook makes 3-pt shot from 26 ft,3,90-91,,
3:53.0,,,90-91,,D. Saric misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by R. Westbrook,,90-91,,
3:42.0,V. Oladipo misses 3-pt shot from 26 ft,,90-91,,
3:42.0,,,90-91,,Defensive rebound by Team
3:42.0,E. Kanter enters the game for E. Ilyasova,,90-91,,
3:26.0,,,90-93,2,J. Embiid makes 2-pt shot from 14 ft
3:10.0,E. Kanter makes 2-pt shot from 19 ft (assist by R. Westbrook),2,92-93,,
2:58.0,Personal foul by E. Kanter (drawn by J. Embiid),,92-93,,
2:58.0,Oklahoma City full timeout,,92-93,,
2:58.0,,,92-94,1,J. Embiid makes free throw 1 of 2
2:58.0,,,92-95,1,J. Embiid makes free throw 2 of 2
2:44.0,R. Westbrook makes 2-pt shot from 16 ft,2,94-95,,
2:23.0,,,94-95,,J. Embiid misses 2-pt shot from 4 ft
2:21.0,Defensive rebound by E. Kanter,,94-95,,
2:13.0,E. Kanter misses 2-pt shot from 1 ft,,94-95,,
2:11.0,,,94-95,,Defensive rebound by D. Saric
2:03.0,,,94-95,,D. Saric misses 3-pt shot from 26 ft
2:00.0,Defensive rebound by R. Westbrook,,94-95,,
1:49.0,,,94-95,,Shooting block foul by J. Embiid (drawn by A. Roberson)
1:49.0,A. Roberson makes free throw 1 of 2,1,95-95,,
1:49.0,A. Roberson misses free throw 2 of 2,,95-95,,
1:48.0,Offensive rebound by A. Roberson,,95-95,,
1:47.0,Jump ball: R. Covington vs. A. Roberson (R. Westbrook gains possession),,,,Jump ball: R. Covington vs. A. Roberson (R. Westbrook gains possession)
1:36.0,R. Westbrook misses 2-pt shot from 1 ft,,95-95,,
1:34.0,,,95-95,,Defensive rebound by D. Saric
1:27.0,,,95-95,,G. Henderson misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by S. Adams,,95-95,,
1:24.0,Oklahoma City full timeout,,95-95,,
1:07.0,R. Westbrook makes 2-pt shot from 17 ft,2,97-95,,
0:51.0,,,97-97,2,J. Embiid makes 2-pt shot from 13 ft
0:35.0,,,97-97,,Personal foul by G. Henderson (drawn by R. Westbrook)
0:35.0,R. Westbrook makes free throw 1 of 2,1,98-97,,
0:35.0,R. Westbrook makes free throw 2 of 2,1,99-97,,
0:35.0,,,99-97,,Philadelphia full timeout
0:23.0,,,99-97,,J. Embiid misses 2-pt shot from 3 ft
0:21.0,,,99-97,,Offensive rebound by Team
0:21.0,,,99-97,,Philadelphia full timeout
0:16.0,,,99-97,,G. Henderson misses 2-pt shot from 6 ft (block by A. Roberson)
0:13.0,Defensive rebound by E. Kanter,,99-97,,
0:11.0,V. Oladipo misses 2-pt shot from 2 ft (block by J. Embiid),,99-97,,
0:10.0,Offensive rebound by E. Kanter,,99-97,,
0:10.0,E. Kanter makes 2-pt shot from 1 ft,2,101-97,,
0:10.0,,,101-97,,Philadelphia full timeout
0:05.0,,,101-97,,Offensive charge foul by J. Embiid
0:05.0,,,101-97,,Turnover by J. Embiid (offensive foul)
0:05.0,Oklahoma City full timeout,,101-97,,
0:05.0,S. Christon enters the game for A. Roberson,,101-97,,
0:04.0,,,101-97,,Personal foul by R. Covington (drawn by V. Oladipo)
0:04.0,V. Oladipo makes free throw 1 of 2,1,102-97,,
0:04.0,V. Oladipo makes free throw 2 of 2,1,103-97,,
0:04.0,A. Abrines enters the game for E. Kanter,,101-97,,
0:04.0,A. Roberson enters the game for A. Abrines,,101-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
