time,Portland,pts.away,score,pts.home,Cleveland
2:47.0,,,118-133,2,C. Andersen makes 2-pt shot from 9 ft (assist by R. Jefferson)
2:34.0,P. Connaughton makes 2-pt shot from 1 ft (assist by S. Napier),2,120-133,,
2:21.0,,,120-133,,J. McRae misses 2-pt shot from 14 ft
2:18.0,Defensive rebound by P. Connaughton,,120-133,,
2:05.0,Turnover by N. Vonleh (traveling),,120-133,,
1:50.0,,,120-133,,D. Liggins misses 2-pt shot from 1 ft (block by T. Quarterman)
1:49.0,Defensive rebound by N. Vonleh,,120-133,,
1:42.0,J. Layman misses 3-pt shot from 24 ft,,120-133,,
1:40.0,,,120-133,,Defensive rebound by J. Jones
1:30.0,,,120-133,,J. McRae misses 2-pt shot from 3 ft (block by T. Quarterman)
1:30.0,,,120-133,,Offensive rebound by Team
1:27.0,,,120-135,2,J. McRae makes 2-pt shot from 18 ft (assist by R. Jefferson)
1:15.0,S. Napier misses 3-pt shot from 25 ft,,120-135,,
1:15.0,,,120-135,,Defensive rebound by C. Andersen
1:07.0,,,120-137,2,D. Liggins makes 2-pt shot from 1 ft
1:07.0,,,120-137,,Shooting foul by J. Layman (drawn by D. Liggins)
1:07.0,,,120-137,,D. Liggins misses free throw 1 of 1
1:06.0,Defensive rebound by J. Layman,,120-137,,
0:53.0,P. Connaughton makes 2-pt shot from 2 ft,2,122-137,,
0:35.0,,,122-137,,C. Andersen misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by N. Vonleh,,122-137,,
0:27.0,S. Napier misses 2-pt shot from 4 ft (block by C. Andersen),,122-137,,
0:26.0,,,122-137,,Defensive rebound by D. Liggins
0:23.0,,,122-137,,Turnover by D. Liggins (bad pass; steal by J. Layman)
0:18.0,T. Quarterman makes 3-pt shot from 25 ft,3,125-137,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
