time,Orlando,pts.away,score,pts.home,Chicago
2:06.0,Defensive rebound by M. Georges-Hunt,,69-114,,
1:54.0,D. Augustin misses 3-pt shot from 26 ft,,69-114,,
1:52.0,,,69-114,,Defensive rebound by I. Canaan
1:47.0,,,69-114,,A. Morrow misses 3-pt shot from 27 ft
1:46.0,Defensive rebound by P. Garino,,69-114,,
1:31.0,D. Rudez makes 2-pt shot from 20 ft (assist by M. Georges-Hunt),2,71-114,,
1:19.0,,,71-117,3,D. Valentine makes 3-pt shot from 25 ft (assist by C. Felicio)
1:07.0,Shooting foul by J. Lauvergne (drawn by M. Georges-Hunt),,71-117,,
1:07.0,M. Georges-Hunt makes free throw 1 of 2,1,72-117,,
1:07.0,M. Georges-Hunt makes free throw 2 of 2,1,73-117,,
0:56.0,,,73-119,2,C. Felicio makes 2-pt shot at rim (assist by J. Lauvergne)
0:41.0,D. Augustin makes 2-pt shot from 22 ft,2,75-119,,
0:18.0,,,75-122,3,D. Valentine makes 3-pt shot from 24 ft (assist by I. Canaan)
0:02.0,D. Rudez misses 2-pt shot from 19 ft,,75-122,,
0:01.0,,,75-122,,Defensive rebound by J. Lauvergne
0:00.0,End of 4th quarter,,,,End of 4th quarter
