time,LA Clippers,pts.away,score,pts.home,LA Lakers
5:14.0,,,90-99,2,B. Ingram makes 2-pt shot from 12 ft
4:47.0,J. Crawford makes 2-pt shot from 2 ft,2,92-99,,
4:26.0,,,92-101,2,L. Williams makes 2-pt shot from 15 ft
4:02.0,A. Rivers misses 2-pt shot from 6 ft,,92-101,,
3:58.0,,,92-101,,Defensive rebound by B. Ingram
3:40.0,,,92-103,2,L. Williams makes 2-pt shot from 2 ft
3:40.0,LA Clippers full timeout,,92-103,,
3:30.0,,,92-103,,Personal foul by J. Randle (drawn by M. Speights)
3:30.0,M. Speights makes free throw 1 of 2,1,93-103,,
3:30.0,M. Speights makes free throw 2 of 2,1,94-103,,
3:20.0,,,94-105,2,L. Williams makes 2-pt shot from 3 ft
3:01.0,M. Speights misses 3-pt shot from 24 ft,,94-105,,
3:01.0,,,94-105,,Defensive rebound by B. Ingram
2:41.0,,,94-107,2,D. Russell makes 2-pt shot from 2 ft
2:41.0,LA Clippers full timeout,,94-107,,
2:25.0,Turnover by A. Rivers (bad pass; steal by L. Williams),,94-107,,
2:08.0,,,94-107,,B. Ingram misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by A. Rivers,,94-107,,
2:01.0,J. Crawford makes 3-pt shot from 25 ft (assist by A. Rivers),3,97-107,,
1:39.0,,,97-107,,L. Williams misses 2-pt shot from 2 ft (block by W. Johnson)
1:38.0,Defensive rebound by W. Johnson,,97-107,,
1:28.0,J. Crawford misses 3-pt shot from 27 ft,,97-107,,
1:27.0,Offensive rebound by W. Johnson,,97-107,,
1:21.0,,,97-107,,Personal take foul by L. Williams
1:21.0,J. Crawford makes free throw 1 of 2,1,98-107,,
1:21.0,J. Crawford makes free throw 2 of 2,1,99-107,,
1:21.0,B. Bass enters the game for R. Felton,,98-107,,
1:08.0,,,99-107,,D. Russell misses 2-pt shot from 1 ft
1:06.0,Defensive rebound by W. Johnson,,99-107,,
0:59.0,A. Rivers misses 3-pt shot from 25 ft,,99-107,,
0:58.0,,,99-107,,Defensive rebound by N. Young
0:52.0,Personal take foul by A. Rivers,,99-107,,
0:39.0,,,99-110,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
0:32.0,M. Speights makes 3-pt shot from 26 ft (assist by B. Bass),3,102-110,,
0:31.0,Personal take foul by J. Crawford (drawn by J. Randle),,102-110,,
0:31.0,,,102-111,1,J. Randle makes free throw 1 of 2
0:31.0,,,102-111,,J. Randle misses free throw 2 of 2
0:28.0,Defensive rebound by M. Speights,,102-111,,
0:25.0,Turnover by J. Crawford (lost ball; steal by J. Randle),,102-111,,
0:01.0,,,102-111,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
