time,Phoenix,pts.away,score,pts.home,Washington
5:39.0,,,91-90,1,B. Beal makes free throw 2 of 2
5:28.0,Shooting foul by M. Gortat (drawn by E. Bledsoe),,91-90,,
5:28.0,E. Bledsoe makes free throw 1 of 2,1,92-90,,
5:28.0,E. Bledsoe makes free throw 2 of 2,1,93-90,,
5:12.0,,,93-93,3,B. Beal makes 3-pt shot from 22 ft (assist by J. Wall)
4:49.0,D. Booker misses 3-pt shot from 27 ft,,93-93,,
4:47.0,,,93-93,,Defensive rebound by M. Gortat
4:31.0,,,93-93,,B. Beal misses 3-pt shot from 27 ft
4:29.0,,,93-93,,Offensive rebound by M. Morris
4:22.0,,,93-95,2,J. Wall makes 2-pt shot from 14 ft
4:05.0,Turnover by A. Len (lost ball),,93-95,,
3:51.0,,,93-95,,J. Wall misses 2-pt shot from 15 ft (block by E. Bledsoe)
3:48.0,Defensive rebound by J. Dudley,,93-95,,
3:45.0,E. Bledsoe misses 2-pt shot from 6 ft,,93-95,,
3:45.0,Offensive rebound by Team,,93-95,,
3:45.0,,,93-95,,Personal foul by M. Gortat (drawn by A. Len)
3:28.0,Shooting foul by B. Beal (drawn by A. Len),,93-95,,
3:28.0,A. Len misses free throw 1 of 2,,93-95,,
3:28.0,Offensive rebound by Team,,93-95,,
3:28.0,A. Len makes free throw 2 of 2,1,94-95,,
3:14.0,,,94-97,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
2:56.0,D. Booker misses 2-pt shot from 22 ft,,94-97,,
2:55.0,,,94-97,,Defensive rebound by B. Beal
2:55.0,Personal foul by D. Booker (drawn by B. Beal),,94-97,,
2:55.0,Phoenix full timeout,,94-97,,
2:55.0,,,94-98,1,B. Beal makes free throw 1 of 2
2:55.0,,,94-99,1,B. Beal makes free throw 2 of 2
2:55.0,P. Tucker enters the game for B. Knight,,94-98,,
2:23.0,E. Bledsoe misses 3-pt shot from 26 ft,,94-99,,
2:20.0,Offensive rebound by D. Booker,,94-99,,
2:18.0,D. Booker makes 3-pt shot from 26 ft,3,97-99,,
2:08.0,,,97-99,,M. Morris misses 3-pt shot from 27 ft
2:06.0,Defensive rebound by E. Bledsoe,,97-99,,
2:03.0,E. Bledsoe misses 2-pt shot from 2 ft (block by J. Wall),,97-99,,
2:02.0,Offensive rebound by Team,,97-99,,
1:57.0,D. Booker makes 2-pt shot from 18 ft (assist by J. Dudley),2,99-99,,
1:44.0,,,99-99,,J. Wall misses 2-pt shot from 17 ft
1:43.0,,,99-99,,Offensive rebound by M. Morris
1:41.0,,,99-99,,M. Morris misses 2-pt shot from 2 ft
1:40.0,Defensive rebound by A. Len,,99-99,,
1:27.0,D. Booker makes 2-pt shot from 15 ft,2,101-99,,
1:27.0,,,101-99,,Washington full timeout
1:08.0,,,101-99,,M. Gortat misses 2-pt shot from 1 ft (block by A. Len)
1:08.0,,,101-99,,Offensive rebound by J. Wall
1:08.0,,,101-101,2,J. Wall makes 2-pt shot at rim
1:08.0,,,101-101,,Shooting foul by E. Bledsoe (drawn by J. Wall)
1:08.0,,,101-102,1,J. Wall makes free throw 1 of 1
1:08.0,,,101-101,,K. Oubre enters the game for M. Thornton
0:57.0,J. Dudley misses 3-pt shot from 23 ft,,101-102,,
0:56.0,,,101-102,,Defensive rebound by K. Oubre
0:38.0,,,101-104,2,J. Wall makes 2-pt shot from 17 ft
0:38.0,Phoenix full timeout,,101-104,,
0:31.0,E. Bledsoe misses 2-pt shot from 3 ft (block by M. Gortat),,101-104,,
0:28.0,Offensive rebound by Team,,101-104,,
0:26.0,D. Booker misses 2-pt shot from 2 ft,,101-104,,
0:25.0,,,101-104,,Defensive rebound by B. Beal
0:21.0,Personal take foul by J. Dudley (drawn by J. Wall),,101-104,,
0:21.0,,,101-105,1,J. Wall makes free throw 1 of 2
0:21.0,,,101-106,1,J. Wall makes free throw 2 of 2
0:21.0,Phoenix full timeout,,101-106,,
0:14.0,D. Booker misses 3-pt shot from 28 ft,,101-106,,
0:13.0,Offensive rebound by E. Bledsoe,,101-106,,
0:09.0,E. Bledsoe misses 2-pt shot from 23 ft,,101-106,,
0:07.0,,,101-106,,Defensive rebound by Team
0:07.0,,,101-106,,Washington full timeout
0:07.0,Personal take foul by A. Len (drawn by M. Morris),,101-106,,
0:07.0,,,101-106,,M. Morris misses free throw 1 of 2
0:07.0,,,101-106,,Offensive rebound by Team
0:07.0,,,101-106,,M. Morris misses free throw 2 of 2
0:07.0,Defensive rebound by A. Len,,101-106,,
0:07.0,,,101-106,,M. Thornton enters the game for M. Gortat
0:02.0,Turnover by D. Booker (lost ball; steal by J. Wall),,101-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
