time,Memphis,pts.away,score,pts.home,Atlanta
5:27.0,,,92-80,,Defensive rebound by Team
5:09.0,Personal block foul by M. Gasol (drawn by K. Bazemore),,92-80,,
5:09.0,,,92-81,1,K. Bazemore makes free throw 1 of 2
5:09.0,,,92-82,1,K. Bazemore makes free throw 2 of 2
4:56.0,M. Conley misses 3-pt shot from 25 ft,,92-82,,
4:55.0,,,92-82,,Defensive rebound by T. Hardaway
4:47.0,,,92-82,,Turnover by T. Hardaway (bad pass; steal by J. Green)
4:33.0,J. Green makes 2-pt shot at rim (assist by M. Conley),2,94-82,,
4:32.0,,,94-82,,Atlanta full timeout
4:32.0,,,94-82,,P. Millsap enters the game for D. Howard
4:18.0,,,94-82,,K. Bazemore misses 2-pt shot from 1 ft
4:12.0,,,94-82,,Offensive rebound by T. Waller-Prince
4:12.0,,,94-84,2,T. Waller-Prince makes 2-pt shot from 1 ft
3:55.0,M. Gasol misses 2-pt shot from 1 ft,,94-84,,
3:54.0,Offensive rebound by T. Allen,,94-84,,
3:53.0,T. Allen misses 2-pt shot from 1 ft,,94-84,,
3:53.0,Offensive rebound by M. Gasol,,94-84,,
3:53.0,,,94-84,,Personal foul by J. Calderon (drawn by M. Gasol)
3:37.0,M. Conley makes 2-pt shot from 1 ft,2,96-84,,
3:28.0,,,96-84,,T. Hardaway misses 3-pt shot from 26 ft
3:27.0,Defensive rebound by M. Conley,,96-84,,
3:10.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,99-84,,
2:49.0,,,99-86,2,T. Waller-Prince makes 2-pt shot at rim (assist by K. Bazemore)
2:35.0,Turnover by V. Carter (lost ball),,99-86,,
2:21.0,,,99-86,,Turnover by K. Bazemore (bad pass; steal by T. Allen)
2:17.0,M. Conley makes 2-pt shot at rim (assist by T. Allen),2,101-86,,
2:17.0,,,101-86,,Atlanta full timeout
2:17.0,,,101-86,,M. Muscala enters the game for P. Millsap
2:17.0,,,101-86,,M. Delaney enters the game for K. Bazemore
2:17.0,,,101-86,,R. Kelly enters the game for T. Hardaway
2:03.0,,,101-86,,T. Waller-Prince misses 2-pt shot from 19 ft
2:02.0,Defensive rebound by T. Allen,,101-86,,
1:50.0,T. Douglas enters the game for V. Carter,,101-86,,
1:50.0,A. Harrison enters the game for J. Green,,101-86,,
1:50.0,T. Daniels enters the game for M. Gasol,,101-86,,
1:50.0,J. Ennis enters the game for T. Allen,,101-86,,
1:50.0,B. Wright enters the game for M. Conley,,101-86,,
1:43.0,T. Douglas misses 2-pt shot from 16 ft,,101-86,,
1:42.0,,,101-86,,Defensive rebound by Team
1:42.0,Loose ball foul by B. Wright (drawn by M. Muscala),,101-86,,
1:42.0,,,101-87,1,M. Muscala makes free throw 1 of 2
1:42.0,,,101-87,,M. Muscala misses free throw 2 of 2
1:41.0,Defensive rebound by A. Harrison,,101-87,,
1:21.0,J. Ennis misses 3-pt shot from 23 ft,,101-87,,
1:19.0,,,101-87,,Defensive rebound by T. Waller-Prince
1:07.0,,,101-87,,M. Delaney misses 2-pt shot from 21 ft
1:04.0,Defensive rebound by T. Daniels,,101-87,,
0:56.0,Turnover by T. Douglas (step out of bounds),,101-87,,
0:47.0,,,101-87,,T. Waller-Prince misses 2-pt shot from 19 ft
0:44.0,Defensive rebound by A. Harrison,,101-87,,
0:40.0,Shooting foul by M. Delaney (drawn by J. Ennis),,101-87,,
0:40.0,J. Ennis makes free throw 1 of 2,1,102-87,,
0:40.0,J. Ennis makes free throw 2 of 2,1,103-87,,
0:30.0,,,103-89,2,R. Kelly makes 2-pt shot from 17 ft (assist by J. Calderon)
0:09.0,A. Harrison misses 2-pt shot from 21 ft,,103-89,,
0:08.0,,,103-89,,Defensive rebound by J. Calderon
0:03.0,,,103-91,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by M. Muscala)
0:00.0,End of 4th quarter,,,,End of 4th quarter
