time,Golden State,pts.away,score,pts.home,Milwaukee
9:14.0,Golden State full timeout,,109-99,,
9:14.0,,,109-100,1,G. Antetokounmpo makes free throw 2 of 2
9:14.0,P. McCaw enters the game for A. Iguodala,,109-99,,
8:55.0,K. Durant makes 2-pt shot from 16 ft,2,111-100,,
8:41.0,,,111-100,,M. Beasley misses 2-pt shot from 8 ft
8:40.0,Defensive rebound by S. Livingston,,111-100,,
8:21.0,S. Livingston misses 2-pt shot from 13 ft,,111-100,,
8:19.0,Offensive rebound by D. West,,111-100,,
8:10.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. West),3,114-100,,
7:48.0,,,114-102,2,M. Beasley makes 2-pt shot at rim (assist by M. Dellavedova)
7:32.0,K. Thompson makes 2-pt shot from 14 ft (assist by P. McCaw),2,116-102,,
7:20.0,,,116-102,,M. Teletovic misses 3-pt shot from 27 ft
7:19.0,Defensive rebound by K. Durant,,116-102,,
6:59.0,P. McCaw misses 2-pt shot from 14 ft,,116-102,,
6:57.0,,,116-102,,Defensive rebound by J. Terry
6:52.0,,,116-105,3,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Terry)
6:51.0,Golden State full timeout,,116-105,,
6:51.0,D. Green enters the game for K. Durant,,116-105,,
6:51.0,S. Curry enters the game for K. Thompson,,116-105,,
6:51.0,,,116-105,,M. Brogdon enters the game for M. Dellavedova
6:51.0,,,116-105,,J. Parker enters the game for M. Beasley
6:28.0,S. Livingston misses 2-pt shot from 14 ft,,116-105,,
6:28.0,Offensive rebound by Team,,116-105,,
6:28.0,,,116-105,,Loose ball foul by M. Teletovic (drawn by D. West)
6:08.0,D. West misses 2-pt shot from 3 ft,,116-105,,
6:06.0,Offensive rebound by D. West,,116-105,,
6:03.0,S. Curry misses 3-pt shot from 27 ft,,116-105,,
6:01.0,,,116-105,,Defensive rebound by M. Teletovic
5:56.0,,,116-107,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Teletovic)
5:36.0,S. Curry makes 2-pt shot from 1 ft (assist by D. West),2,118-107,,
5:20.0,,,118-107,,Turnover by J. Terry (bad pass; steal by S. Curry)
5:14.0,S. Curry misses 3-pt shot from 27 ft,,118-107,,
5:12.0,,,118-107,,Defensive rebound by G. Antetokounmpo
5:05.0,,,118-107,,G. Antetokounmpo misses 2-pt shot from 3 ft (block by D. Green)
5:05.0,,,118-107,,Offensive rebound by Team
5:05.0,Official timeout,,118-107,,
5:05.0,A. Iguodala enters the game for S. Livingston,,118-107,,
5:05.0,K. Durant enters the game for D. West,,118-107,,
5:05.0,,,118-107,,M. Dellavedova enters the game for M. Brogdon
4:53.0,,,118-110,3,G. Antetokounmpo makes 3-pt shot from 28 ft (assist by J. Terry)
4:39.0,Turnover by D. Green (bad pass; steal by M. Dellavedova),,118-110,,
4:33.0,,,118-110,,M. Teletovic misses 3-pt shot from 25 ft
4:32.0,,,118-110,,Offensive rebound by J. Parker
4:30.0,,,118-110,,J. Parker misses 2-pt shot from 2 ft (block by D. Green)
4:27.0,,,118-110,,Offensive rebound by J. Parker
4:26.0,,,118-112,2,J. Parker makes 2-pt shot at rim
4:10.0,K. Durant misses 2-pt shot from 7 ft,,118-112,,
4:07.0,,,118-112,,Defensive rebound by M. Teletovic
4:05.0,,,118-112,,Shooting foul by S. Curry (drawn by G. Antetokounmpo)
4:05.0,,,118-113,1,G. Antetokounmpo makes free throw 1 of 2
4:05.0,,,118-114,1,G. Antetokounmpo makes free throw 2 of 2
4:05.0,,,118-113,,T. Snell enters the game for J. Terry
4:05.0,K. Thompson enters the game for P. McCaw,,118-113,,
3:43.0,K. Durant misses 3-pt shot from 25 ft,,118-114,,
3:41.0,Offensive rebound by A. Iguodala,,118-114,,
3:39.0,A. Iguodala makes 2-pt shot at rim,2,120-114,,
3:35.0,,,120-114,,Turnover by M. Teletovic (lost ball)
3:22.0,Turnover by K. Thompson (bad pass; steal by J. Parker),,120-114,,
3:07.0,,,120-117,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Parker)
2:47.0,S. Curry makes 2-pt shot from 2 ft,2,122-117,,
2:33.0,,,122-119,2,J. Parker makes 2-pt shot from 1 ft
2:33.0,,,122-119,,Shooting foul by K. Durant (drawn by J. Parker)
2:33.0,,,122-119,,Milwaukee full timeout
2:33.0,,,122-120,1,J. Parker makes free throw 1 of 1
2:20.0,K. Durant misses 3-pt shot from 24 ft,,122-120,,
2:19.0,Offensive rebound by Team,,122-120,,
2:03.0,Turnover by K. Thompson (bad pass; steal by G. Antetokounmpo),,122-120,,
1:58.0,,,122-120,,G. Antetokounmpo misses 2-pt shot at rim
1:57.0,Defensive rebound by K. Durant,,122-120,,
1:48.0,D. Green misses 2-pt shot at rim,,122-120,,
1:46.0,,,122-120,,Defensive rebound by M. Teletovic
1:35.0,,,122-120,,M. Teletovic misses 3-pt shot from 27 ft
1:33.0,Defensive rebound by S. Curry,,122-120,,
1:14.0,S. Curry misses 3-pt shot from 27 ft,,122-120,,
1:13.0,Offensive rebound by A. Iguodala,,122-120,,
0:56.0,D. Green misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,122-120,,
0:51.0,,,122-120,,Defensive rebound by T. Snell
0:36.0,,,122-120,,Milwaukee full timeout
0:30.0,,,122-120,,G. Antetokounmpo misses 2-pt shot from 12 ft
0:29.0,Defensive rebound by S. Curry,,122-120,,
0:11.0,K. Durant misses 2-pt shot from 19 ft,,122-120,,
0:10.0,,,122-120,,Defensive rebound by T. Snell
0:10.0,,,122-120,,Milwaukee full timeout
0:09.0,,,122-120,,Turnover by T. Snell (bad pass; steal by D. Green)
0:09.0,,,122-120,,Personal foul by G. Antetokounmpo (drawn by K. Thompson)
0:09.0,K. Thompson makes free throw 1 of 2,1,123-120,,
0:09.0,K. Thompson makes free throw 2 of 2,1,124-120,,
0:02.0,,,124-120,,Shooting foul by D. Green (drawn by G. Antetokounmpo)
0:02.0,,,124-121,1,G. Antetokounmpo makes free throw 1 of 2
0:02.0,,,124-121,,G. Antetokounmpo misses free throw 2 of 2
0:02.0,Z. Pachulia enters the game for S. Curry,,124-121,,
0:02.0,,,124-121,,M. Plumlee enters the game for J. Parker
0:02.0,,,124-121,,J. Henson enters the game for T. Snell
0:00.0,,,124-121,,Offensive rebound by M. Plumlee
0:00.0,,,124-121,,G. Antetokounmpo misses 2-pt shot from 12 ft
0:00.0,,,124-121,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
