time,LA Clippers,pts.away,score,pts.home,Atlanta
4:22.0,,,101-93,,Defensive rebound by T. Hardaway
4:14.0,,,101-95,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by T. Hardaway)
3:54.0,J. Crawford makes 2-pt shot from 18 ft (assist by D. Jordan),2,103-95,,
3:29.0,,,103-98,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Hardaway)
3:10.0,J. Crawford makes 2-pt shot from 17 ft,2,105-98,,
3:09.0,,,105-98,,Atlanta full timeout
3:09.0,L. Mbah a Moute enters the game for W. Johnson,,105-98,,
3:09.0,,,105-98,,K. Bazemore enters the game for T. Sefolosha
3:09.0,,,105-98,,P. Millsap enters the game for T. Hardaway
3:00.0,,,105-100,2,K. Bazemore makes 2-pt shot from 5 ft (assist by D. Schroder)
2:38.0,J. Crawford makes 2-pt shot from 2 ft (assist by J. Redick),2,107-100,,
2:18.0,,,107-100,,Shooting foul by L. Mbah a Moute (drawn by P. Millsap)
2:18.0,,,107-100,,P. Millsap misses free throw 1 of 2
2:18.0,,,107-100,,Offensive rebound by Team
2:18.0,,,107-101,1,P. Millsap makes free throw 2 of 2
2:08.0,J. Crawford makes 2-pt shot from 19 ft,2,109-101,,
2:08.0,Shooting foul by K. Bazemore (drawn by J. Crawford),,109-101,,
2:08.0,J. Crawford misses free throw 1 of 1,,109-101,,
2:06.0,,,109-101,,Defensive rebound by D. Howard
1:48.0,,,109-101,,P. Millsap misses 2-pt shot from 12 ft
1:47.0,Defensive rebound by J. Redick,,109-101,,
1:30.0,Turnover by J. Crawford (bad pass; steal by D. Howard),,109-101,,
1:27.0,,,109-103,2,K. Bazemore makes 2-pt shot from 1 ft
1:27.0,LA Clippers full timeout,,109-103,,
1:27.0,R. Felton enters the game for L. Mbah a Moute,,109-103,,
1:11.0,J. Crawford misses 2-pt shot from 16 ft,,109-103,,
1:09.0,Offensive rebound by D. Jordan,,109-103,,
0:54.0,A. Rivers makes 3-pt shot from 26 ft (assist by R. Felton),3,112-103,,
0:49.0,Violation by D. Jordan (def goaltending),,112-103,,
0:49.0,,,112-105,2,D. Schroder makes 2-pt shot from 1 ft
0:30.0,R. Felton makes 3-pt shot from 23 ft (assist by D. Jordan),3,115-105,,
0:30.0,,,115-105,,Atlanta full timeout
0:30.0,,,115-105,,M. Dunleavy enters the game for D. Howard
0:30.0,,,115-105,,T. Hardaway enters the game for M. Delaney
0:23.0,,,115-105,,P. Millsap misses 3-pt shot from 24 ft
0:20.0,Defensive rebound by R. Felton,,115-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
