time,Detroit,pts.away,score,pts.home,Miami
5:48.0,Official timeout,,42-54,,
5:48.0,,,42-54,,J. Richardson misses free throw 1 of 2
5:48.0,,,42-54,,Offensive rebound by Team
5:48.0,,,42-55,1,J. Richardson makes free throw 2 of 2
5:48.0,J. Leuer enters the game for M. Morris,,42-54,,
5:48.0,,,42-54,,D. Williams enters the game for J. Johnson
5:24.0,A. Drummond misses 2-pt shot from 10 ft,,42-55,,
5:23.0,,,42-55,,Defensive rebound by W. Reed
5:04.0,,,42-55,,J. Richardson misses 3-pt shot from 24 ft
5:03.0,Defensive rebound by A. Drummond,,42-55,,
4:56.0,R. Jackson makes 2-pt shot from 2 ft,2,44-55,,
4:27.0,,,44-55,,R. McGruder misses 3-pt shot from 28 ft
4:26.0,Defensive rebound by R. Jackson,,44-55,,
4:13.0,T. Harris makes 2-pt shot from 9 ft,2,46-55,,
3:53.0,,,46-57,2,W. Ellington makes 2-pt shot from 20 ft (assist by J. Richardson)
3:39.0,R. Jackson makes 2-pt shot from 4 ft,2,48-57,,
3:18.0,,,48-57,,D. Williams misses 2-pt shot from 9 ft
3:17.0,Defensive rebound by A. Drummond,,48-57,,
3:14.0,Turnover by R. Jackson (bad pass),,48-57,,
3:14.0,,,48-57,,T. Johnson enters the game for R. McGruder
3:04.0,,,48-57,,T. Johnson misses 2-pt shot from 16 ft (block by T. Harris)
3:03.0,Defensive rebound by K. Caldwell-Pope,,48-57,,
3:00.0,A. Drummond misses 2-pt shot from 2 ft,,48-57,,
2:59.0,Offensive rebound by J. Leuer,,48-57,,
2:52.0,A. Drummond misses 2-pt shot from 3 ft,,48-57,,
2:51.0,,,48-57,,Defensive rebound by D. Williams
2:44.0,,,48-60,3,T. Johnson makes 3-pt shot from 24 ft (assist by D. Williams)
2:31.0,,,48-60,,Miami full timeout
2:31.0,S. Johnson enters the game for T. Harris,,48-60,,
2:17.0,R. Jackson makes 3-pt shot from 25 ft,3,51-60,,
2:17.0,Shooting foul by W. Reed (drawn by R. Jackson),,51-60,,
2:17.0,R. Jackson makes free throw 1 of 1,1,52-60,,
2:17.0,,,51-60,,J. Johnson enters the game for W. Reed
2:00.0,,,52-62,2,T. Johnson makes 2-pt shot from 20 ft (assist by D. Williams)
1:38.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,54-62,,
