time,Orlando,pts.away,score,pts.home,Miami
5:07.0,Defensive rebound by E. Payton,,100-96,,
4:50.0,E. Payton makes 2-pt shot from 1 ft (assist by A. Gordon),2,102-96,,
4:24.0,,,102-96,,G. Dragic misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by N. Vucevic,,102-96,,
4:19.0,,,102-96,,Personal foul by W. Ellington (drawn by E. Payton)
4:19.0,,,102-96,,T. Johnson enters the game for W. Ellington
4:09.0,E. Payton misses 2-pt shot from 6 ft (block by G. Dragic),,102-96,,
4:08.0,Offensive rebound by Team,,102-96,,
4:06.0,Turnover by A. Gordon (bad pass; steal by T. Johnson),,102-96,,
4:03.0,,,102-96,,Shooting foul by N. Vucevic (drawn by T. Johnson)
4:03.0,,,102-97,1,T. Johnson makes free throw 1 of 2
4:03.0,,,102-98,1,T. Johnson makes free throw 2 of 2
3:52.0,N. Vucevic misses 2-pt shot from 18 ft,,102-98,,
3:51.0,,,102-98,,Defensive rebound by H. Whiteside
3:42.0,,,102-98,,Turnover by D. Waiters (lost ball)
3:41.0,,,102-98,,Loose ball foul by D. Waiters (drawn by N. Vucevic)
3:41.0,N. Vucevic makes free throw 1 of 2,1,103-98,,
3:41.0,N. Vucevic misses free throw 2 of 2,,103-98,,
3:40.0,,,103-98,,Defensive rebound by J. Johnson
3:19.0,,,103-98,,G. Dragic misses 2-pt shot from 10 ft
3:18.0,Defensive rebound by E. Payton,,103-98,,
3:11.0,E. Fournier makes 2-pt shot from 2 ft,2,105-98,,
3:11.0,,,105-98,,Miami full timeout
3:05.0,,,105-101,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. Waiters)
2:50.0,E. Fournier makes 2-pt shot from 17 ft,2,107-101,,
2:31.0,,,107-101,,Turnover by J. Johnson (bad pass)
2:15.0,,,107-101,,Personal foul by H. Whiteside (drawn by N. Vucevic)
2:15.0,N. Vucevic misses free throw 1 of 2,,107-101,,
2:15.0,Offensive rebound by Team,,107-101,,
2:15.0,N. Vucevic makes free throw 2 of 2,1,108-101,,
2:04.0,,,108-103,2,G. Dragic makes 2-pt shot from 2 ft (assist by H. Whiteside)
1:45.0,N. Vucevic misses 2-pt shot from 20 ft,,108-103,,
1:44.0,,,108-103,,Defensive rebound by T. Johnson
1:42.0,,,108-103,,Shooting foul by S. Ibaka (drawn by G. Dragic)
1:42.0,,,108-104,1,G. Dragic makes free throw 1 of 2
1:42.0,,,108-105,1,G. Dragic makes free throw 2 of 2
1:30.0,E. Fournier makes 2-pt shot from 2 ft,2,110-105,,
1:14.0,,,110-107,2,D. Waiters makes 2-pt shot from 18 ft
1:01.0,E. Fournier makes 3-pt shot from 25 ft,3,113-107,,
0:55.0,,,113-107,,G. Dragic misses 2-pt shot from 12 ft
0:54.0,Defensive rebound by E. Fournier,,113-107,,
0:35.0,E. Payton misses 2-pt shot from 12 ft,,113-107,,
0:34.0,,,113-107,,Defensive rebound by H. Whiteside
0:27.0,,,113-107,,J. Johnson misses 2-pt shot from 2 ft
0:26.0,Defensive rebound by N. Vucevic,,113-107,,
0:25.0,,,113-107,,Personal foul by J. Johnson (drawn by N. Vucevic)
0:25.0,N. Vucevic misses free throw 1 of 2,,113-107,,
0:25.0,Offensive rebound by Team,,113-107,,
0:25.0,N. Vucevic makes free throw 2 of 2,1,114-107,,
0:25.0,,,114-107,,Miami full timeout
0:25.0,J. Green enters the game for N. Vucevic,,114-107,,
0:21.0,,,114-107,,D. Waiters misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by Team,,114-107,,
0:19.0,,,114-107,,Personal foul by T. Johnson (drawn by S. Ibaka)
0:19.0,S. Ibaka makes free throw 1 of 2,1,115-107,,
0:19.0,S. Ibaka makes free throw 2 of 2,1,116-107,,
0:19.0,,,116-107,,Miami full timeout
0:13.0,,,116-107,,D. Waiters misses 2-pt shot from 1 ft (block by S. Ibaka)
0:12.0,Defensive rebound by E. Fournier,,116-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
