time,Cleveland,pts.away,score,pts.home,Charlotte
0:51.0,,,98-82,2,K. Walker makes 2-pt shot from 1 ft
0:34.0,Shooting foul by R. Hibbert (drawn by K. Felder),,98-82,,
0:34.0,K. Felder makes free throw 1 of 2,1,99-82,,
0:34.0,K. Felder misses free throw 2 of 2,,99-82,,
0:32.0,,,99-82,,Defensive rebound by M. Kidd-Gilchrist
0:08.0,,,99-82,,K. Walker misses 2-pt shot from 19 ft
0:07.0,Defensive rebound by C. Frye,,99-82,,
0:01.0,L. James misses 3-pt shot from 25 ft,,99-82,,
0:00.0,,,99-82,,Defensive rebound by K. Walker
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,L. James misses 3-pt shot from 24 ft,,99-82,,
11:36.0,,,99-82,,Defensive rebound by Team
11:17.0,,,99-84,2,N. Batum makes 2-pt shot from 16 ft (assist by R. Sessions)
11:00.0,L. James misses 2-pt shot from 3 ft (block by M. Williams),,99-84,,
10:58.0,Offensive rebound by L. James,,99-84,,
10:52.0,Shooting foul by M. Williams (drawn by C. Frye),,99-84,,
10:52.0,C. Frye makes free throw 1 of 2,1,100-84,,
10:52.0,C. Frye makes free throw 2 of 2,1,101-84,,
10:52.0,K. Love enters the game for L. James,,100-84,,
10:52.0,I. Shumpert enters the game for J. McRae,,100-84,,
10:38.0,,,101-84,,M. Williams misses 2-pt shot from 13 ft
10:36.0,Defensive rebound by R. Jefferson,,101-84,,
10:24.0,K. Love makes 2-pt shot from 17 ft,2,103-84,,
9:58.0,,,103-87,3,J. Lamb makes 3-pt shot from 24 ft
9:43.0,Turnover by I. Shumpert (bad pass; steal by M. Williams),,103-87,,
9:37.0,,,103-89,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
9:37.0,Cleveland full timeout,,103-89,,
9:25.0,I. Shumpert makes 2-pt shot from 1 ft,2,105-89,,
9:05.0,,,105-89,,M. Williams misses 2-pt shot from 7 ft
9:04.0,Defensive rebound by C. Frye,,105-89,,
8:56.0,K. Love misses 3-pt shot from 24 ft,,105-89,,
8:55.0,,,105-89,,Defensive rebound by J. Lamb
8:45.0,,,105-91,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by J. Lamb)
8:32.0,,,105-91,,Personal foul by J. Lamb (drawn by I. Shumpert)
8:25.0,I. Shumpert misses 3-pt shot from 23 ft,,105-91,,
8:23.0,,,105-91,,Defensive rebound by R. Sessions
8:14.0,,,105-91,,R. Sessions misses 2-pt shot from 20 ft
8:12.0,,,105-91,,Offensive rebound by F. Kaminsky
8:12.0,,,105-93,2,F. Kaminsky makes 2-pt shot at rim
7:49.0,K. Love misses 2-pt shot from 7 ft (block by N. Batum),,105-93,,
7:47.0,,,105-93,,Defensive rebound by N. Batum
7:35.0,,,105-96,3,M. Williams makes 3-pt shot from 22 ft (assist by J. Lamb)
7:33.0,Cleveland full timeout,,105-96,,
7:33.0,,,105-96,,K. Walker enters the game for J. Lamb
7:20.0,K. Love misses 2-pt shot from 17 ft (block by N. Batum),,105-96,,
7:18.0,,,105-96,,Defensive rebound by M. Williams
7:05.0,,,105-96,,F. Kaminsky misses 3-pt shot from 25 ft
7:04.0,,,105-96,,Offensive rebound by R. Sessions
6:55.0,,,105-96,,Turnover by K. Walker (bad pass; steal by K. Felder)
6:45.0,K. Felder makes 2-pt shot from 1 ft,2,107-96,,
6:21.0,,,107-96,,Turnover by Team (shot clock)
6:11.0,K. Felder makes 2-pt shot from 19 ft,2,109-96,,
5:56.0,,,109-98,2,M. Williams makes 2-pt shot from 21 ft (assist by K. Walker)
5:37.0,K. Love misses 2-pt shot from 2 ft,,109-98,,
5:36.0,,,109-98,,Defensive rebound by N. Batum
5:34.0,,,109-100,2,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum)
5:34.0,,,109-100,,Shooting foul by K. Felder (drawn by K. Walker)
5:34.0,Official timeout,,109-100,,
5:34.0,,,109-101,1,K. Walker makes free throw 1 of 1
5:34.0,L. James enters the game for C. Frye,,109-100,,
5:34.0,T. Thompson enters the game for R. Jefferson,,109-100,,
5:34.0,,,109-100,,M. Kidd-Gilchrist enters the game for R. Sessions
5:13.0,L. James misses 2-pt shot from 21 ft,,109-101,,
5:11.0,Offensive rebound by I. Shumpert,,109-101,,
5:07.0,L. James misses 3-pt shot from 28 ft,,109-101,,
5:07.0,Offensive rebound by K. Love,,109-101,,
5:07.0,K. Love makes 2-pt shot from 1 ft,2,111-101,,
5:07.0,Shooting foul by F. Kaminsky (drawn by K. Love),,111-101,,
5:07.0,K. Love makes free throw 1 of 1,1,112-101,,
5:07.0,,,111-101,,C. Zeller enters the game for F. Kaminsky
4:53.0,,,112-104,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
4:31.0,L. James makes 2-pt shot from 13 ft,2,114-104,,
4:17.0,,,114-104,,M. Williams misses 3-pt shot from 25 ft
4:16.0,Defensive rebound by L. James,,114-104,,
4:13.0,Turnover by K. Love (lost ball),,114-104,,
4:06.0,Personal foul by I. Shumpert (drawn by C. Zeller),,114-104,,
3:53.0,,,114-104,,K. Walker misses 3-pt shot from 28 ft
3:51.0,Defensive rebound by K. Love,,114-104,,
3:44.0,L. James misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,114-104,,
3:44.0,Offensive rebound by Team,,114-104,,
3:44.0,J. McRae enters the game for K. Felder,,114-104,,
3:28.0,K. Love misses 3-pt shot from 25 ft,,114-104,,
3:26.0,Offensive rebound by K. Love,,114-104,,
3:25.0,K. Love misses 2-pt shot from 1 ft,,114-104,,
3:24.0,Offensive rebound by Team,,114-104,,
