time,New Orleans,pts.away,score,pts.home,Sacramento
3:31.0,,,89-95,,Shooting foul by A. Davis (drawn by D. Cousins)
3:31.0,,,89-96,1,D. Cousins makes free throw 1 of 2
3:31.0,,,89-97,1,D. Cousins makes free throw 2 of 2
3:19.0,,,89-97,,Personal foul by D. Collison (drawn by A. Davis)
3:12.0,A. Davis makes 2-pt shot from 9 ft (assist by J. Holiday),2,91-97,,
2:50.0,,,91-97,,D. Collison misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by D. Cunningham,,91-97,,
2:39.0,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday),2,93-97,,
2:16.0,,,93-99,2,M. Barnes makes 2-pt shot from 3 ft (assist by D. Cousins)
2:16.0,New Orleans full timeout,,93-99,,
2:03.0,Turnover by J. Holiday (bad pass; steal by D. Cousins),,93-99,,
1:46.0,Personal foul by A. Davis (drawn by D. Cousins),,93-99,,
1:46.0,,,93-100,1,D. Cousins makes free throw 1 of 2
1:46.0,,,93-101,1,D. Cousins makes free throw 2 of 2
1:46.0,New Orleans full timeout,,93-101,,
1:34.0,A. Davis makes 3-pt shot from 26 ft (assist by J. Holiday),3,96-101,,
1:26.0,,,96-101,,Turnover by Team (turnover)
1:13.0,Turnover by J. Holiday (bad pass),,96-101,,
1:00.0,,,96-101,,Turnover by D. Collison (dbl dribble)
1:00.0,New Orleans full timeout,,96-101,,
1:00.0,T. Evans enters the game for S. Hill,,96-101,,
0:56.0,A. Davis misses 3-pt shot from 26 ft,,96-101,,
0:55.0,,,96-101,,Defensive rebound by D. Cousins
0:35.0,,,96-101,,Turnover by D. Cousins (lost ball)
0:30.0,L. Galloway misses 3-pt shot from 26 ft,,96-101,,
0:29.0,,,96-101,,Defensive rebound by D. Collison
0:24.0,Personal foul by J. Holiday (drawn by D. Cousins),,96-101,,
0:24.0,,,96-102,1,D. Cousins makes free throw 1 of 2
0:24.0,,,96-103,1,D. Cousins makes free throw 2 of 2
0:24.0,New Orleans full timeout,,96-103,,
0:22.0,D. Cunningham makes 3-pt shot from 25 ft (assist by J. Holiday),3,99-103,,
0:19.0,Personal take foul by T. Evans (drawn by D. Collison),,99-103,,
0:19.0,,,99-104,1,D. Collison makes free throw 1 of 2
0:19.0,,,99-105,1,D. Collison makes free throw 2 of 2
0:19.0,,,99-104,,B. McLemore enters the game for A. Tolliver
0:12.0,D. Cunningham misses 3-pt shot from 25 ft,,99-105,,
0:11.0,,,99-105,,Defensive rebound by D. Cousins
0:00.0,End of 4th quarter,,,,End of 4th quarter
