time,Charlotte,pts.away,score,pts.home,Brooklyn
6:59.0,,,98-100,2,B. Lopez makes 2-pt shot from 3 ft (assist by S. Kilpatrick)
6:42.0,K. Walker misses 2-pt shot from 9 ft,,98-100,,
6:40.0,Offensive rebound by J. Lamb,,98-100,,
6:38.0,J. Lamb makes 2-pt shot from 3 ft,2,100-100,,
6:30.0,,,100-100,,B. Bogdanovic enters the game for C. LeVert
6:30.0,N. Batum enters the game for M. Kidd-Gilchrist,,100-100,,
6:17.0,,,100-100,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
6:16.0,,,100-100,,Offensive rebound by B. Lopez
6:15.0,,,100-100,,Shooting foul by C. Zeller (drawn by B. Lopez)
6:15.0,,,100-101,1,B. Lopez makes free throw 1 of 2
6:15.0,,,100-102,1,B. Lopez makes free throw 2 of 2
6:15.0,R. Hibbert enters the game for C. Zeller,,100-101,,
5:49.0,R. Hibbert misses 2-pt shot from 20 ft,,100-102,,
5:48.0,,,100-102,,Defensive rebound by S. Kilpatrick
5:39.0,,,100-104,2,S. Kilpatrick makes 2-pt shot from 1 ft (assist by B. Lopez)
5:29.0,Charlotte full timeout,,100-104,,
5:29.0,M. Kidd-Gilchrist enters the game for J. Lamb,,100-104,,
5:29.0,C. Zeller enters the game for R. Hibbert,,100-104,,
5:14.0,C. Zeller makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,102-104,,
4:55.0,,,102-106,2,S. Kilpatrick makes 2-pt shot from 14 ft
4:35.0,Turnover by K. Walker (bad pass),,102-106,,
4:19.0,,,102-108,2,B. Bogdanovic makes 2-pt shot from 9 ft
4:01.0,N. Batum misses 2-pt shot from 19 ft,,102-108,,
3:59.0,Offensive rebound by Team,,102-108,,
3:49.0,K. Walker misses 3-pt shot from 26 ft,,102-108,,
3:48.0,,,102-108,,Defensive rebound by S. Kilpatrick
3:35.0,,,102-108,,B. Lopez misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by M. Kidd-Gilchrist,,102-108,,
3:27.0,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,105-108,,
3:05.0,,,105-111,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
2:43.0,M. Williams misses 3-pt shot from 24 ft,,105-111,,
2:42.0,Offensive rebound by Team,,105-111,,
2:42.0,,,105-111,,Loose ball foul by R. Hollis-Jefferson (drawn by C. Zeller)
2:42.0,,,105-111,,Brooklyn full timeout
2:27.0,M. Williams misses 2-pt shot from 9 ft (block by R. Hollis-Jefferson),,105-111,,
2:26.0,Offensive rebound by C. Zeller,,105-111,,
2:25.0,C. Zeller misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,105-111,,
2:24.0,Offensive rebound by Team,,105-111,,
2:22.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams),3,108-111,,
2:22.0,Shooting foul by R. Hollis-Jefferson (drawn by N. Batum),,108-111,,
2:22.0,N. Batum makes free throw 1 of 1,1,109-111,,
2:08.0,,,109-111,,S. Kilpatrick misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by N. Batum,,109-111,,
1:57.0,C. Zeller misses 2-pt shot from 2 ft,,109-111,,
1:55.0,Offensive rebound by C. Zeller,,109-111,,
1:55.0,C. Zeller makes 2-pt shot from 2 ft,2,111-111,,
1:36.0,,,111-114,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by B. Lopez)
1:22.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,113-114,,
1:06.0,,,113-117,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by R. Foye)
1:06.0,Charlotte full timeout,,113-117,,
1:06.0,J. Lamb enters the game for M. Kidd-Gilchrist,,113-117,,
1:05.0,Turnover by K. Walker (lost ball),,113-117,,
1:05.0,M. Kidd-Gilchrist enters the game for J. Lamb,,113-117,,
0:42.0,,,113-117,,S. Kilpatrick misses 2-pt shot from 4 ft
0:40.0,Defensive rebound by C. Zeller,,113-117,,
0:33.0,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker),3,116-117,,
0:09.0,,,116-117,,B. Bogdanovic misses 3-pt shot from 28 ft
0:09.0,Defensive rebound by C. Zeller,,116-117,,
0:09.0,Charlotte full timeout,,116-117,,
0:09.0,J. Lamb enters the game for M. Kidd-Gilchrist,,116-117,,
0:09.0,,,116-117,,T. Booker enters the game for B. Lopez
0:05.0,K. Walker misses 2-pt shot from 2 ft (block by T. Booker),,116-117,,
0:04.0,Offensive rebound by C. Zeller,,116-117,,
0:04.0,C. Zeller makes 2-pt shot from 1 ft,2,118-117,,
0:02.0,,,118-117,,Brooklyn full timeout
0:02.0,M. Kidd-Gilchrist enters the game for J. Lamb,,118-117,,
0:02.0,,,118-117,,B. Lopez enters the game for R. Hollis-Jefferson
0:01.0,,,118-120,3,R. Foye makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
0:00.0,End of 4th quarter,,,,End of 4th quarter
