time,Denver,pts.away,score,pts.home,Milwaukee
6:56.0,,,72-48,,Turnover by G. Antetokounmpo (lost ball; steal by J. Murray)
6:46.0,G. Harris makes 3-pt shot from 29 ft (assist by J. Murray),3,75-48,,
6:46.0,,,75-48,,Milwaukee full timeout
6:46.0,,,75-48,,K. Middleton enters the game for J. Terry
6:25.0,,,75-48,,Shooting foul by J. Murray (drawn by K. Middleton)
6:25.0,,,75-49,1,K. Middleton makes free throw 1 of 2
6:25.0,,,75-50,1,K. Middleton makes free throw 2 of 2
6:09.0,W. Chandler makes 2-pt shot from 18 ft,2,77-50,,
5:45.0,,,77-50,,J. Henson misses 2-pt shot from 2 ft
5:43.0,Defensive rebound by G. Harris,,77-50,,
5:36.0,N. Jokic makes 2-pt shot at rim (assist by D. Gallinari),2,79-50,,
5:15.0,,,79-50,,G. Antetokounmpo misses 2-pt shot from 16 ft
5:14.0,Defensive rebound by N. Jokic,,79-50,,
4:53.0,G. Harris misses 3-pt shot from 27 ft,,79-50,,
4:52.0,,,79-50,,Defensive rebound by G. Antetokounmpo
4:44.0,,,79-53,3,T. Snell makes 3-pt shot from 25 ft (assist by K. Middleton)
4:22.0,W. Chandler makes 3-pt shot from 27 ft (assist by N. Jokic),3,82-53,,
4:07.0,,,82-53,,Turnover by K. Middleton (lost ball; steal by J. Murray)
3:50.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,84-53,,
3:35.0,,,84-55,2,M. Brogdon makes 2-pt shot from 1 ft
3:08.0,Turnover by N. Jokic (3 sec),,84-55,,
3:08.0,,,84-55,,M. Dellavedova enters the game for M. Brogdon
3:08.0,,,84-55,,G. Monroe enters the game for J. Henson
3:08.0,M. Plumlee enters the game for N. Jokic,,84-55,,
3:08.0,W. Barton enters the game for G. Harris,,84-55,,
3:08.0,E. Mudiay enters the game for J. Murray,,84-55,,
3:05.0,J. Murray enters the game for E. Mudiay,,84-55,,
2:55.0,,,84-55,,Shooting foul by M. Plumlee (drawn by G. Antetokounmpo)
2:55.0,Denver full timeout,,84-55,,
2:55.0,,,84-56,1,G. Antetokounmpo makes free throw 1 of 2
2:55.0,,,84-57,1,G. Antetokounmpo makes free throw 2 of 2
2:55.0,E. Mudiay enters the game for J. Murray,,84-55,,
2:31.0,W. Barton misses 3-pt shot from 25 ft,,84-57,,
2:30.0,Offensive rebound by W. Barton,,84-57,,
2:18.0,Turnover by D. Gallinari (bad pass; steal by M. Dellavedova),,84-57,,
2:12.0,,,84-60,3,K. Middleton makes 3-pt shot from 27 ft (assist by M. Dellavedova)
1:46.0,D. Gallinari misses 3-pt shot from 28 ft,,84-60,,
1:44.0,,,84-60,,Defensive rebound by T. Snell
1:24.0,,,84-62,2,G. Antetokounmpo makes 2-pt shot from 18 ft
1:24.0,Denver full timeout,,84-62,,
1:24.0,J. Hernangomez enters the game for D. Gallinari,,84-62,,
1:11.0,E. Mudiay makes 2-pt shot from 1 ft,2,86-62,,
1:00.0,Inbound foul by W. Chandler,,86-62,,
1:00.0,,,86-63,1,K. Middleton makes free throw 1 of 1
0:56.0,,,86-66,3,K. Middleton makes 3-pt shot from 26 ft (assist by M. Dellavedova)
0:34.0,E. Mudiay misses 3-pt shot from 30 ft,,86-66,,
0:32.0,,,86-66,,Defensive rebound by G. Monroe
0:19.0,,,86-66,,T. Snell misses 3-pt shot from 23 ft
0:18.0,Defensive rebound by E. Mudiay,,86-66,,
0:00.0,E. Mudiay misses 2-pt shot from 15 ft,,86-66,,
0:00.0,Offensive rebound by Team,,86-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,86-68,2,M. Dellavedova makes 2-pt shot from 13 ft
11:22.0,W. Barton misses 2-pt shot from 2 ft,,86-68,,
11:20.0,Offensive rebound by W. Barton,,86-68,,
11:20.0,W. Barton makes 2-pt shot from 1 ft,2,88-68,,
11:06.0,,,88-68,,Turnover by M. Dellavedova (bad pass)
10:49.0,G. Harris misses 3-pt shot from 24 ft,,88-68,,
10:48.0,Offensive rebound by W. Barton,,88-68,,
10:46.0,W. Barton misses 2-pt shot from 1 ft,,88-68,,
10:44.0,Offensive rebound by M. Plumlee,,88-68,,
10:44.0,M. Plumlee makes 2-pt shot from 2 ft,2,90-68,,
10:35.0,Personal block foul by M. Plumlee (drawn by M. Dellavedova),,90-68,,
10:28.0,,,90-71,3,K. Middleton makes 3-pt shot from 28 ft (assist by G. Monroe)
10:05.0,Offensive charge foul by G. Harris,,90-71,,
10:05.0,Turnover by G. Harris (offensive foul),,90-71,,
9:52.0,,,90-73,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton)
9:26.0,Turnover by J. Hernangomez (lost ball; steal by M. Brogdon),,90-73,,
9:07.0,,,90-75,2,M. Dellavedova makes 2-pt shot from 6 ft (assist by G. Monroe)
9:07.0,Denver full timeout,,90-75,,
8:54.0,G. Harris misses 3-pt shot from 28 ft,,90-75,,
8:52.0,Offensive rebound by J. Hernangomez,,90-75,,
8:49.0,Turnover by J. Hernangomez (lost ball; steal by K. Middleton),,90-75,,
8:41.0,,,90-77,2,M. Dellavedova makes 2-pt shot from 13 ft (assist by K. Middleton)
8:27.0,W. Barton makes 2-pt shot from 2 ft,2,92-77,,
7:57.0,,,92-77,,G. Monroe misses 2-pt shot from 14 ft
7:56.0,,,92-77,,Offensive rebound by K. Middleton
7:56.0,,,92-77,,Shooting foul by J. Hernangomez (drawn by K. Middleton)
7:56.0,,,92-78,1,K. Middleton makes free throw 1 of 2
7:56.0,,,92-78,,K. Middleton misses free throw 2 of 2
7:56.0,D. Gallinari enters the game for J. Hernangomez,,92-78,,
7:56.0,N. Jokic enters the game for M. Plumlee,,92-78,,
7:55.0,Defensive rebound by N. Jokic,,92-78,,
7:39.0,E. Mudiay makes 2-pt shot from 21 ft (assist by N. Jokic),2,94-78,,
7:27.0,,,94-80,2,M. Dellavedova makes 2-pt shot from 1 ft (assist by G. Monroe)
7:13.0,E. Mudiay misses 3-pt shot from 26 ft,,94-80,,
7:12.0,,,94-80,,Defensive rebound by G. Monroe
7:01.0,,,94-80,,K. Middleton misses 2-pt shot from 6 ft
6:59.0,,,94-80,,Offensive rebound by G. Monroe
6:57.0,,,94-82,2,G. Monroe makes 2-pt shot from 1 ft
6:45.0,Shooting foul by K. Middleton (drawn by W. Barton),,94-82,,
6:45.0,W. Barton makes free throw 1 of 2,1,95-82,,
6:45.0,W. Barton makes free throw 2 of 2,1,96-82,,
6:45.0,J. Murray enters the game for E. Mudiay,,95-82,,
6:30.0,,,96-84,2,M. Dellavedova makes 2-pt shot from 4 ft (assist by G. Monroe)
6:07.0,Turnover by G. Harris (step out of bounds),,96-84,,
6:07.0,W. Chandler enters the game for W. Barton,,96-84,,
6:07.0,,,96-84,,G. Antetokounmpo enters the game for K. Middleton
5:57.0,,,96-84,,Offensive foul by G. Monroe
5:57.0,,,96-84,,Turnover by G. Monroe (offensive foul)
5:57.0,Official timeout,,96-84,,
5:41.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Murray),2,98-84,,
5:28.0,,,98-86,2,M. Brogdon makes 2-pt shot from 1 ft
5:21.0,,,98-86,,Personal foul by M. Brogdon (drawn by D. Gallinari)
5:14.0,J. Murray makes 3-pt shot from 26 ft (assist by N. Jokic),3,101-86,,
5:01.0,Personal foul by G. Harris (drawn by M. Dellavedova),,101-86,,
4:55.0,,,101-86,,M. Dellavedova misses 2-pt shot from 14 ft
4:54.0,Defensive rebound by Team,,101-86,,
4:45.0,J. Murray misses 3-pt shot from 26 ft,,101-86,,
4:44.0,,,101-86,,Defensive rebound by G. Antetokounmpo
4:35.0,,,101-86,,Turnover by M. Dellavedova (bad pass; steal by W. Chandler)
4:22.0,N. Jokic makes 2-pt shot from 17 ft,2,103-86,,
4:05.0,,,103-86,,M. Brogdon misses 2-pt shot at rim
4:03.0,Defensive rebound by W. Chandler,,103-86,,
3:56.0,J. Murray misses 3-pt shot from 25 ft,,103-86,,
3:55.0,,,103-86,,Defensive rebound by G. Monroe
3:46.0,,,103-89,3,M. Dellavedova makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
3:26.0,N. Jokic makes 2-pt shot from 6 ft,2,105-89,,
3:25.0,,,105-89,,Milwaukee full timeout
3:25.0,,,105-89,,J. Henson enters the game for M. Dellavedova
3:25.0,,,105-89,,K. Middleton enters the game for G. Monroe
3:25.0,,,105-89,,T. Snell enters the game for J. Terry
3:05.0,,,105-91,2,T. Snell makes 2-pt shot from 15 ft
2:40.0,Shooting foul by G. Antetokounmpo (drawn by W. Chandler),,105-91,,
2:40.0,W. Chandler misses free throw 1 of 2,,105-91,,
2:40.0,Offensive rebound by Team,,105-91,,
2:40.0,W. Chandler makes free throw 2 of 2,1,106-91,,
2:25.0,,,106-93,2,M. Brogdon makes 2-pt shot from 1 ft (assist by K. Middleton)
2:25.0,,,106-93,,Shooting foul by W. Chandler (drawn by M. Brogdon)
2:25.0,,,106-94,1,M. Brogdon makes free throw 1 of 1
2:08.0,Shooting foul by T. Snell (drawn by W. Chandler),,106-94,,
2:08.0,W. Chandler makes free throw 1 of 2,1,107-94,,
2:08.0,W. Chandler makes free throw 2 of 2,1,108-94,,
1:59.0,,,108-96,2,J. Henson makes 2-pt shot at rim (assist by M. Brogdon)
