time,Brooklyn,pts.away,score,pts.home,Portland
3:07.0,Defensive rebound by C. LeVert,,108-119,,
3:01.0,J. Lin makes 3-pt shot from 25 ft (assist by C. LeVert),3,111-119,,
3:01.0,,,111-119,,Portland full timeout
2:51.0,Personal foul by R. Hollis-Jefferson (drawn by D. Lillard),,111-119,,
2:40.0,,,111-121,2,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic)
2:31.0,J. Lin makes 3-pt shot from 24 ft,3,114-121,,
2:07.0,,,114-121,,D. Lillard misses 2-pt shot from 12 ft
2:06.0,,,114-121,,Offensive rebound by Team
1:52.0,,,114-124,3,A. Aminu makes 3-pt shot from 25 ft (assist by J. Nurkic)
1:45.0,J. Lin misses 3-pt shot from 25 ft (block by D. Lillard),,114-124,,
1:44.0,,,114-124,,Defensive rebound by C. McCollum
1:25.0,,,114-124,,Turnover by J. Nurkic (3 sec)
1:22.0,Shooting foul by J. Nurkic (drawn by J. Lin),,114-124,,
1:22.0,J. Lin makes free throw 1 of 2,1,115-124,,
1:22.0,J. Lin makes free throw 2 of 2,1,116-124,,
1:22.0,Q. Acy enters the game for B. Lopez,,115-124,,
1:22.0,S. Dinwiddie enters the game for S. Kilpatrick,,115-124,,
1:00.0,,,116-126,2,D. Lillard makes 2-pt shot at rim
1:00.0,Brooklyn full timeout,,116-126,,
1:00.0,B. Lopez enters the game for R. Hollis-Jefferson,,116-126,,
1:00.0,S. Kilpatrick enters the game for S. Dinwiddie,,116-126,,
0:58.0,S. Kilpatrick misses 3-pt shot from 25 ft,,116-126,,
0:57.0,,,116-126,,Defensive rebound by D. Lillard
0:51.0,Personal take foul by B. Lopez (drawn by D. Lillard),,116-126,,
0:51.0,,,116-127,1,D. Lillard makes free throw 1 of 2
0:51.0,,,116-128,1,D. Lillard makes free throw 2 of 2
0:51.0,Brooklyn full timeout,,116-128,,
0:47.0,J. Lin misses 2-pt shot from 4 ft (block by D. Lillard),,116-128,,
0:46.0,,,116-128,,Defensive rebound by C. McCollum
0:25.0,,,116-130,2,C. McCollum makes 2-pt shot from 5 ft
0:19.0,Q. Acy misses 3-pt shot from 25 ft,,116-130,,
0:18.0,,,116-130,,Defensive rebound by J. Nurkic
0:00.0,End of 4th quarter,,,,End of 4th quarter
