time,Indiana,pts.away,score,pts.home,Philadelphia
2:59.0,,,113-104,,Flagrant foul type 1 by G. Henderson (drawn by P. George)
2:59.0,,,113-104,,Turnover by G. Henderson (offensive foul)
2:59.0,Technical foul by P. George,,113-104,,
2:59.0,,,113-105,1,N. Stauskas makes technical free throw
2:59.0,R. Christmas misses flagrant free throw 1 of 2,,113-105,,
2:59.0,Offensive rebound by Team,,113-105,,
2:59.0,R. Christmas makes flagrant free throw 2 of 2,1,114-105,,
2:59.0,Indiana full timeout,,114-105,,
2:59.0,R. Christmas enters the game for P. George,,113-105,,
2:59.0,,,114-105,,T. McConnell enters the game for G. Henderson
2:59.0,,,114-105,,T. Luwawu-Cabarrot enters the game for J. Anderson
2:59.0,L. Stephenson enters the game for R. Christmas,,114-105,,
2:51.0,L. Stephenson misses 2-pt shot from 13 ft,,114-105,,
2:50.0,,,114-105,,Defensive rebound by T. Luwawu-Cabarrot
2:41.0,Violation by L. Stephenson (kicked ball),,114-105,,
2:36.0,,,114-105,,A. Poythress misses 2-pt shot from 10 ft
2:32.0,Defensive rebound by C. Miles,,114-105,,
2:20.0,J. Teague misses 2-pt shot from 6 ft,,114-105,,
2:17.0,Offensive rebound by T. Young,,114-105,,
2:17.0,T. Young misses 2-pt shot from 1 ft,,114-105,,
2:13.0,Offensive rebound by T. Young,,114-105,,
2:01.0,T. Young misses 2-pt shot from 5 ft,,114-105,,
2:01.0,Offensive rebound by M. Turner,,114-105,,
2:01.0,M. Turner makes 2-pt shot at rim,2,116-105,,
2:01.0,,,116-105,,Philadelphia full timeout
2:01.0,M. Ellis enters the game for L. Stephenson,,116-105,,
1:49.0,,,116-108,3,A. Poythress makes 3-pt shot from 24 ft (assist by R. Holmes)
1:28.0,M. Turner makes 2-pt shot from 17 ft (assist by J. Teague),2,118-108,,
1:22.0,,,118-108,,Turnover by T. McConnell (lost ball)
0:58.0,J. Teague misses 3-pt shot from 26 ft,,118-108,,
0:57.0,,,118-108,,Defensive rebound by T. McConnell
0:51.0,,,118-111,3,N. Stauskas makes 3-pt shot from 29 ft (assist by T. McConnell)
0:37.0,Turnover by M. Turner (bad pass; steal by R. Holmes),,118-111,,
0:32.0,,,118-111,,A. Poythress misses 3-pt shot from 27 ft
0:29.0,,,118-111,,Offensive rebound by R. Holmes
0:29.0,,,118-111,,R. Holmes misses 2-pt shot at rim
0:27.0,Defensive rebound by M. Turner,,118-111,,
0:26.0,,,118-111,,Personal foul by N. Stauskas (drawn by J. Teague)
0:26.0,J. Teague makes free throw 1 of 2,1,119-111,,
0:26.0,J. Teague makes free throw 2 of 2,1,120-111,,
0:26.0,,,120-111,,Philadelphia full timeout
0:16.0,,,120-111,,A. Poythress misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by C. Miles,,120-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
