time,Houston,pts.away,score,pts.home,Cleveland
2:36.0,Personal foul by E. Gordon (drawn by L. James),,109-113,,
2:36.0,Official timeout,,109-113,,
2:36.0,,,109-113,,L. James misses free throw 1 of 2
2:36.0,,,109-113,,Offensive rebound by Team
2:36.0,,,109-114,1,L. James makes free throw 2 of 2
2:36.0,,,109-113,,T. Thompson enters the game for M. Dunleavy
2:18.0,R. Anderson makes 3-pt shot from 23 ft (assist by T. Ariza),3,112-114,,
1:58.0,,,112-117,3,L. James makes 3-pt shot from 25 ft (assist by J. Smith)
1:43.0,Shooting foul by T. Thompson (drawn by J. Harden),,112-117,,
1:43.0,J. Harden makes free throw 1 of 2,1,113-117,,
1:43.0,J. Harden makes free throw 2 of 2,1,114-117,,
1:31.0,,,114-119,2,K. Irving makes 2-pt shot from 2 ft
1:26.0,Shooting foul by L. James (drawn by J. Harden),,114-119,,
1:26.0,J. Harden makes free throw 1 of 3,1,115-119,,
1:26.0,J. Harden misses free throw 2 of 3,,115-119,,
1:26.0,Offensive rebound by Team,,115-119,,
1:26.0,J. Harden makes free throw 3 of 3,1,116-119,,
1:08.0,,,116-122,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
1:00.0,T. Ariza misses 3-pt shot from 28 ft,,116-122,,
0:59.0,Offensive rebound by R. Anderson,,116-122,,
0:53.0,E. Gordon misses 3-pt shot from 25 ft,,116-122,,
0:52.0,,,116-122,,Defensive rebound by T. Thompson
0:35.0,,,116-125,3,K. Irving makes 3-pt shot from 28 ft
0:35.0,Houston full timeout,,116-125,,
0:35.0,,,116-125,,I. Shumpert enters the game for K. Love
0:27.0,J. Harden makes 2-pt shot at rim,2,118-125,,
0:27.0,,,118-125,,Cleveland full timeout
0:27.0,,,118-125,,K. Love enters the game for T. Thompson
0:26.0,Personal foul by N. Hilario (drawn by K. Irving),,118-125,,
0:26.0,,,118-126,1,K. Irving makes free throw 1 of 2
0:26.0,,,118-127,1,K. Irving makes free throw 2 of 2
0:26.0,Houston full timeout,,118-127,,
0:26.0,,,118-126,,T. Thompson enters the game for K. Love
0:20.0,J. Harden makes 2-pt shot from 1 ft,2,120-127,,
0:20.0,,,120-127,,Cleveland full timeout
0:20.0,,,120-127,,K. Love enters the game for T. Thompson
0:17.0,,,120-127,,Cleveland full timeout
0:14.0,Personal foul by R. Anderson (drawn by L. James),,120-127,,
0:14.0,,,120-127,,L. James misses free throw 1 of 2
0:14.0,,,120-127,,Offensive rebound by Team
0:14.0,,,120-128,1,L. James makes free throw 2 of 2
0:14.0,Houston full timeout,,120-128,,
0:14.0,,,120-127,,T. Thompson enters the game for K. Love
0:10.0,Turnover by N. Hilario (lost ball; steal by I. Shumpert),,120-128,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
