time,Charlotte,pts.away,score,pts.home,Utah
10:53.0,,,46-54,,J. Ingles misses 3-pt shot from 23 ft
10:53.0,,,46-54,,Offensive rebound by R. Gobert
10:49.0,,,46-54,,R. Gobert misses 2-pt shot from 2 ft
10:46.0,,,46-54,,Offensive rebound by R. Gobert
10:46.0,,,46-56,2,R. Gobert makes 2-pt shot from 1 ft
10:33.0,K. Walker misses 3-pt shot from 25 ft,,46-56,,
10:33.0,,,46-56,,Defensive rebound by J. Ingles
10:24.0,,,46-56,,J. Ingles misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by M. Williams,,46-56,,
10:11.0,N. Batum makes 3-pt shot from 23 ft (assist by K. Walker),3,49-56,,
9:53.0,,,49-58,2,G. Hayward makes 2-pt shot from 19 ft (assist by B. Diaw)
9:37.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,52-58,,
9:22.0,,,52-60,2,G. Hill makes 2-pt shot from 21 ft
9:08.0,K. Walker misses 2-pt shot from 20 ft (block by G. Hill),,52-60,,
9:08.0,Offensive rebound by Team,,52-60,,
9:08.0,,,52-60,,Personal foul by G. Hill (drawn by M. Kidd-Gilchrist)
9:04.0,Turnover by N. Batum (bad pass; steal by R. Gobert),,52-60,,
8:57.0,,,52-63,3,G. Hayward makes 3-pt shot from 23 ft (assist by J. Ingles)
8:41.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,55-63,,
8:21.0,,,55-63,,J. Ingles misses 3-pt shot from 22 ft
8:20.0,Defensive rebound by K. Walker,,55-63,,
8:16.0,,,55-63,,Personal foul by G. Hill (drawn by K. Walker)
8:05.0,M. Williams makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,58-63,,
7:44.0,,,58-63,,B. Diaw misses 2-pt shot from 6 ft
7:43.0,,,58-63,,Offensive rebound by Team
7:43.0,,,58-63,,A. Burks enters the game for J. Ingles
7:34.0,,,58-63,,G. Hayward misses 2-pt shot from 17 ft
7:34.0,Defensive rebound by M. Williams,,58-63,,
7:34.0,,,58-63,,Personal foul by R. Gobert (drawn by M. Williams)
7:19.0,,,58-63,,Personal foul by G. Hill (drawn by K. Walker)
7:19.0,,,58-63,,D. Exum enters the game for G. Hill
7:08.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by N. Batum),3,61-63,,
6:48.0,,,61-63,,D. Exum misses 3-pt shot from 23 ft
6:48.0,Defensive rebound by M. Williams,,61-63,,
6:37.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by R. Gobert),,61-63,,
6:36.0,,,61-63,,Defensive rebound by B. Diaw
6:28.0,,,61-63,,Turnover by D. Exum (bad pass; steal by F. Kaminsky)
6:22.0,,,61-63,,Shooting block foul by D. Exum (drawn by M. Williams)
6:22.0,M. Williams makes free throw 1 of 2,1,62-63,,
6:22.0,M. Williams makes free throw 2 of 2,1,63-63,,
6:22.0,,,62-63,,T. Lyles enters the game for B. Diaw
6:22.0,,,62-63,,D. Favors enters the game for R. Gobert
6:02.0,,,63-65,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Exum)
5:44.0,N. Batum makes 2-pt shot from 2 ft,2,65-65,,
5:31.0,,,65-65,,G. Hayward misses 2-pt shot from 5 ft
5:30.0,Defensive rebound by M. Kidd-Gilchrist,,65-65,,
5:11.0,F. Kaminsky misses 3-pt shot from 26 ft,,65-65,,
5:10.0,,,65-65,,Defensive rebound by G. Hayward
4:55.0,,,65-65,,A. Burks misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by M. Williams,,65-65,,
4:48.0,Shooting foul by D. Exum (drawn by M. Kidd-Gilchrist),,65-65,,
4:48.0,,,65-65,,Utah full timeout
4:48.0,M. Kidd-Gilchrist misses free throw 1 of 2,,65-65,,
4:48.0,Offensive rebound by Team,,65-65,,
4:48.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,66-65,,
4:48.0,,,65-65,,J. Johnson enters the game for G. Hayward
4:31.0,,,66-67,2,J. Johnson makes 2-pt shot from 12 ft
4:19.0,,,66-67,,Personal foul by A. Burks (drawn by N. Batum)
4:19.0,N. Batum makes free throw 1 of 2,1,67-67,,
4:19.0,N. Batum makes free throw 2 of 2,1,68-67,,
4:01.0,,,68-67,,T. Lyles misses 2-pt shot from 15 ft
4:01.0,Defensive rebound by M. Kidd-Gilchrist,,68-67,,
3:48.0,M. Williams misses 2-pt shot from 8 ft,,68-67,,
